TargetGene,TF,Library/PMID,Tissue,Paper_link
PTGS1,KLF10,23178857,Liver,http://www.ncbi.nlm.nih.gov/pubmed/?term=23178857
PTGS2,APC,10772828,colon,http://www.ncbi.nlm.nih.gov/pubmed/?term=10772828
PTGS2,APC,12566320,"Liver, colon",http://www.ncbi.nlm.nih.gov/pubmed/?term=12566320
PTGS2,APC,11396184,"colon, rectum",http://www.ncbi.nlm.nih.gov/pubmed/?term=11396184
PTGS2,AR,11396184,prostate,http://www.ncbi.nlm.nih.gov/pubmed/?term=18386814
PTGS2,ATF2,11278336,"colon, lung, prostate, mammary gland",http://www.ncbi.nlm.nih.gov/pubmed/?term=11278336
PTGS2,ATF2,12057991,Uterus,http://www.ncbi.nlm.nih.gov/pubmed/?term=12057991
PTGS2,ATF4,21244365,Liver,http://www.ncbi.nlm.nih.gov/pubmed/?term=21244365
PTGS2,CDX1,21613300,Uterus,http://www.ncbi.nlm.nih.gov/pubmed/?term=21613300
PTGS2,CDX2,15013430,"colon, rectum",http://www.ncbi.nlm.nih.gov/pubmed/?term=15013430
PTGS2,CEBPB,18820298,skin,http://www.ncbi.nlm.nih.gov/pubmed/?term=18820298
PTGS2,CEBPB,10956548,placenta,http://www.ncbi.nlm.nih.gov/pubmed/?term=10956548
PTGS2,CEBPB,17556653,"Skin, leukocytes, blood",http://www.ncbi.nlm.nih.gov/pubmed/?term=17556653
PTGS2,CEBPB,7559624,vasculature,http://www.ncbi.nlm.nih.gov/pubmed/?term=7559624
PTGS2,CEBPB,16699180,"colon, rectum",http://www.ncbi.nlm.nih.gov/pubmed/?term=16699180
PTGS2,CEBPD,11278336,"colon, lung, prostate, mammary gland",http://www.ncbi.nlm.nih.gov/pubmed/?term=11278336
PTGS2,CTNNB1,11396184,"colon, rectum",http://www.ncbi.nlm.nih.gov/pubmed/?term=11396184
PTGS2,DR1,11840453,Fibroblasts,http://www.ncbi.nlm.nih.gov/pubmed/?term=11840453
PTGS2,EGR1,15517885,"Liver, Kidney",http://www.ncbi.nlm.nih.gov/pubmed/?term=15517885
PTGS2,EGR2,24007274,"Stem Cells,  Bone Marrow, Adipose Tissue",http://www.ncbi.nlm.nih.gov/pubmed/?term=24007274
PTGS2,ELF3,15794755,"Leukocytes, Vasculature",http://www.ncbi.nlm.nih.gov/pubmed/?term=15794755
PTGS2,ENO1,198466622,Stomach,http://www.ncbi.nlm.nih.gov/pubmed/?term=19846662
PTGS2,EP300,12471036,skin,http://www.ncbi.nlm.nih.gov/pubmed/?term=12471036
PTGS2,EP300,12057991,Uterus,http://www.ncbi.nlm.nih.gov/pubmed/?term=12057991
