Database,TF,TargetGene,Tissue,Experiment
SPP,FOXP1,APOC2,prostate,DHT | FOXP1 ChIP-Seq
SPP,DHT,APOC2,prostate,"DHT | FOXP1 ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
SPP,CTCF,APOC2,leukocytes,"CTCF IP - F36P cells, Rep 5 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM11992 cells, Rep 1, CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - F36P cells, Rep 6 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - GM2588 cells, Rep 2 , CTCF IP - HL-60 cells, Rep 3 , CTCF IP - F36P cells, Rep 9 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - U-937 cells, Rep 2 , CTCF IP - UT-7 cells, Rep 3 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM12874 cells, CTCF IP - GM11811 cells, Rep 2, CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - U-937 cells, Rep 1 , CTCF IP - F36P cells, Rep 1 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM12865 cells, Rep 3 , CTCF IP - GM12801 cells , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM12869 cells , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM11992 cells, Rep 2, CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM11881 cells, CTCF IP - F36P cells, Rep 3 , CTCF IP - F36P cells, Rep 11 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - F36P cells, Rep 7 , CTCF IP - GM06986 cells, CTCF IP - K562 cells, Rep 16 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM12815 cells, Rep 2, CTCF IP - KU812 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 2 , CTCF IP - GM12006 cells, Rep 1, CTCF IP - GM18526 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 7 , CTCF IP - K562 cells, Rep 9 , CTCF IP - F36P cells, Rep 17 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM11894 cells, Rep 2, CTCF IP - GM12155 cells, Rep 2, CTCF IP - GM12866 cells , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM12828 cells, CTCF IP - GM12892 cells, Rep 2 , CTCF IP - F36P cells, Rep 19 , CTCF IP - GM12868 cells , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM12878 cells , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - K562 cells, Rep 14 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 2, CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM12870 cells , CTCF IP - K562 cells, Rep 15 , CTCF IP - GM12867 cells , CTCF IP - GM12749 cells, Rep 2, CTCF IP - HL , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 5 , CTCF IP - GM12864 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM12005 cells, Rep 2, CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM12005 cells, Rep 1, CTCF IP - GM10847 cells, Rep 2 , CTCF IP - GM11811 cells, Rep 1, CTCF IP - CD14+ cells , CTCF ChIP-Seq - GM12878, CTCF IP - KU812 cells, Rep 5 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12489 cells, Rep 1, CTCF IP - F36P cells, Rep 14 , CTCF IP - GM12006 cells, Rep 2, CTCF IP -  CD20+ cells , CTCF IP - K562 cells, CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - NB4 cells , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - F36P cells, Rep 13 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM12234 cells, CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12287 cells, Rep 1, CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM12155 cells, Rep 1, CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM07037 cells, CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 9 , CTCF IP - UT-7 cells, Rep 6 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM12749 cells, Rep 1, CTCF IP - K562 cells, CTCF IP - GM18486 cells, Rep 2 , CTCF IP - GM07346 cells, CTCF IP -  DND , CTCF IP - MS1 cells, Rep 2 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM12489 cells, Rep 2, CTCF IP - F36P cells, Rep 2 , CTCF IP - F36P cells, Rep 15 , CTCF IP - UT-7 cells, Rep 5 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM12874 cells, Rep 1 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12872 cells, CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM19099 cells, Rep 1 , CTCF IP, CTCF IP - GM19099 cells, Rep 2 , CTCF IP - K562 cells, CTCF IP - K562 cells, Rep 2 , CTCF IP - F36P cells, Rep 10 , CTCF IP - GM12154 cells, Rep 2, CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - K562 cells , CTCF IP - GM11831 cells, CTCF IP - GM12871 cells "
SPP,IRF4,APOC2,leukocytes,"IRF4 IP, IRF4 IP - GM12878 cells"
SPP,REST,APOC2,leukocytes,"REST IP -  K562 cells, REST IP - GM12878 cells, Rep 14 , REST IP - GM12878 cells, Rep 16 , REST IP - K562 cells "
SPP,STAT5A,APOC2,leukocytes,"STAT5A IP - K562 cells, STAT5A IP - GM12878 cells"
SPP,SMAD1,APOC2,hspcs,"SMAD1 IP - Rep 3, SMAD1 IP - Rep 2"
SPP,TCF12,APOC2,liver,TCF12 IP - HepG2 cells
SPP,E2F1,APOC2,mammarygland,E2F1 IP
SPP,ATF3,APOC2,lung,ATF3 IP - A549 cells
