Database,TF,TargetGene,Tissue,Experiment
SPP,MAX,PLTP,leukocytes,"MAX IP - K562 cells, Rep 2, MAX IP - K562 cells, MAX IP - GM12878 cells, MAX IP - NB4 cells"
SPP,FOXA1,PLTP,prostate,"R1881 | FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq - C4- Rep 2B, POU2F1 KD + DHT | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP-abl, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , FOXA1 ChIP-Seq - LNCaP, FOXA1 KD | FOXA1 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq"
SPP,R1881,PLTP,prostate,"R1881 | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2"
SPP,GABPA,PLTP,leukocytes,"GABPA IP - GM12878 cells, Rep 4 , GABPA IP - Jurkat, Rep 2, GABPA IP - K562 cells, GABPA IP - GM12878 cells, Rep 2 , GABPA IP - GM12878 cells, Rep 1 "
SPP,SPI1,PLTP,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP - HL cells, SPI1 IP"
SPP,MYC,PLTP,mammarygland,MYC IP | 4HT - MCF10A cells
SPP,4HT,PLTP,mammarygland,"MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h"
SPP,GATA1,PLTP,hspcs,"GATA1 IP - Rep 3, GATA1 IP - Rep 2, GATA1 IP - PBDE cells, Rep 1, GATA1 IP - Rep 1"
SPP,REST,PLTP,cns,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - SK cells"
SPP,FOXA1,PLTP,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1"
SPP,DEX,PLTP,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, JUN IP | DEX"
SPP,ELF1,PLTP,cns,ELF1 IP - SK-N-SH cells
SPP,MYB,PLTP,leukocytes,"MYB IP - Jurkat, Rep 2"
SPP,JUN,PLTP,vasculature,"JUN IP, JUN IP - HUVEC cells"
SPP,DHT,PLTP,prostate,"DHT | FOXA1 ChIP-Seq - C4- Rep 2B, POU2F1 KD + DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq"
SPP,CEBPB,PLTP,leukocytes,"CEBPB IP| oxLDL  - Rep 207, CEBPB IP - Rep 203, CEBPB IP | oxLDL  - Rep 206, CEBPB IP, CEBPB IP - K562 cells, CEBPB IP | oxLDL  - Rep 208, CEBPB IP - Rep 201, CEBPB IP, CEBPB IP - Rep 204, CEBPB ChIP-Seq - K562, CEBPB IP | oxLDL  - Rep 205, CEBPB IP - Rep 202"
SPP,TP53,PLTP,bone,"TP53 IP - Rep 2, TP53 IP | TP53 OE, TP53 IP - Rep 1, TP53 IP | TP53EE/RR OE, TP53 IP | TP53RR OE, TP53 IP"
SPP,NANOG,PLTP,stemcells,"NANOG IP - Rep 4 , NANOG IP - H1 cells"
SPP,SOX2,PLTP,stemcells,SOX2 IP
SPP,POU2F1,PLTP,prostate,POU2F1 KD + DHT | FOXA1 ChIP-Seq
SPP,FOXA1,PLTP,liver,"FOXA1 IP - HepG2 cells, Rep 2, FOXA1 IP - HepG2 cells, Rep 1"
SPP,CEBPB,PLTP,liver,"CEBPB IP | FORSK - HepG2 cells, CEBPB IP - HepG2 cells, CEBPB ChIP-Seq - HepG2"
SPP,FORSK,PLTP,liver,CEBPB IP | FORSK - HepG2 cells
SPP,E2F1,PLTP,mammarygland,E2F1 IP
SPP,GTF2B,PLTP,uterus,"GTF2B IP - Rep 2, GTF2B IP - Rep 3"
SPP,JUN,PLTP,leukocytes,"JUN IP - K562 cells, Rep 2, JUN IP | IFNA1-13 - 30 min , JUN IP - K562 cells, Rep 1, JUN IP | IFNG - K562 cells, 30 min"
SPP,E2F6,PLTP,leukocytes,E2F6 IP - K562 cells
SPP,RELA,PLTP,adiposetissue,"RELA IP, RELA IP"
SPP,TP63,PLTP,skin,TP63 IP
