Database,TF,TargetGene,Tissue,Experiment
SPP,FOXA1,PNLIP,pancreas,"FOXA1 IP, FOXA1 IP"
SPP,FOSL1,PNLIP,mammarygland,FOSL1 IP
SPP,JUN,PNLIP,mammarygland,"JUN IP - Rep 2, JUN IP - Rep 1"
SPP,FOXA1,PNLIP,mammarygland,"FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1"
SPP,FOSL1,PNLIP,colon,FOSL1 IP - HCT116 cells
SPP,GATA4,PNLIP,stomach,GATA4 IP - AGS
SPP,FOS,PNLIP,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h"
SPP,FOXA1,PNLIP,prostate,"FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, GATA2 KD + R1881 | FOXA1 ChIP-Seq, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP, CON KD | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 KD | FOXA1 ChIP-Seq"
SPP,MAFK,PNLIP,liver,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2"
SPP,CEBPB,PNLIP,lung,"CEBPB ChIP-Seq - IMR90, CEBPB ChIP-Seq - A549"
SPP,JUND,PNLIP,vasculature,JUND IP
SPP,ATF3,PNLIP,colon,ATF3 IP | CAMPTO
SPP,MAX,PNLIP,stemcells,"MAX IP - H1 cells, MAX IP - H1 cells"
