TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper_Link
VDR,"ELOVL6,FADS2,FADS1",20736230,https://pubmed.ncbi.nlm.nih.gov/20736230/,"ELOVL6,FADS2,FADS1",Leukocytes,https://genome.cshlp.org/content/20/10/1352
GATA2,"ELOVL1,ACOT7,ELOVL5,ELOVL6,HSD17B12,FADS2,SCD",19941826,https://pubmed.ncbi.nlm.nih.gov/19941826/,"ELOVL1,ACOT7,ELOVL5,ELOVL6,FADS2,SCD",Erythroid lineage,https://www.cell.com/molecular-cell/fulltext/S1097-2765(09)00814-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276509008144%3Fshowall%3Dtrue
EOMES,"HSD17B12,FADS2,SCD,FADS1",21245162,https://pubmed.ncbi.nlm.nih.gov/21245162/,"HSD17B12,FADS2,SCD,FADS1","Stem cells, embryonic tissue
",https://genesdev.cshlp.org/content/25/3/238.full
ELF5,"ELOVL5,ELOVL6,ACOT2,ACOT4",23300383,https://pubmed.ncbi.nlm.nih.gov/23300383/,"ELOVL5,ELOVL6,ACOT2,ACOT4",Mammary Gland,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001461#s5
FOXP1,"ACOT7,ELOVL5,ELOVL2,ELOVL3,ELOVL6,HACD3,FADS2,ACOT2,FADS1",21924763,https://pubmed.ncbi.nlm.nih.gov/21924763/,"ACOT7,ELOVL5,ELOVL2,ELOVL3,ELOVL6,HACD3,FADS2,ACOT2,FADS1","Stem cells, Embryonic Tissue",https://www.cell.com/cell/fulltext/S0092-8674(11)00949-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867411009494%3Fshowall%3Dtrue
WT1,"HACD1,ACOT7,ELOVL5,TECR,ELOVL6,FADS2,ACOT2",25993318,https://pubmed.ncbi.nlm.nih.gov/25993318/,"HACD1,ACOT7,ELOVL5,TECR,ELOVL6,FADS2,ACOT2",Kidney,https://www.sciencedirect.com/science/article/pii/S2157171615321699?via%3Dihub#s0045
TCF4,"ELOVL1,ACOT7",18268006,https://pubmed.ncbi.nlm.nih.gov/18268006/,"ELOVL1,ACOT7","Colon, rectum",https://www.tandfonline.com/doi/full/10.1128/MCB.02175-07?scroll=top&needAccess=true
SALL1,ELOVL6,21062744,https://pubmed.ncbi.nlm.nih.gov/21062744/,ELOVL6,"Stem cells, embryonic tissue",https://www.sciencedirect.com/science/article/pii/S0021925820562911?via%3Dihub#sec1
MITF,"ELOVL1,HACD1,ACOT7,ELOVL4,SCD5,ELOVL6,HACD3,FADS2,SCD,FADS1",21258399,https://pubmed.ncbi.nlm.nih.gov/21258399/,"ELOVL1,HACD1,ACOT7,ELOVL4,SCD5,ELOVL6,HACD3,FADS2,SCD,FADS1",Skin,https://www.nature.com/articles/onc2010612
TP63,"ACOT7,ELOVL4,ELOVL5,ELOVL6,BAAT,HACD2,FADS1",23658742,https://pubmed.ncbi.nlm.nih.gov/23658742/,"ACOT7,FADS1",Prostate ,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062547#s4
