Database,TF,TargetGene,Tissue,Experiment
SPP,GATA6,TECR,stomach,"GATA6 IP - AGS, GATA6 IP - YCC3"
SPP,E2F1,TECR,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
SPP,HES6,TECR,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 4, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
SPP,MAFK,TECR,liver,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2"
SPP,CTCF,TECR,leukocytes,"CTCF IP - Â DND , CTCF IP - GM19238 cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - MS1 cells, Rep 3 , CTCF IP, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 2 "
SPP,TCF7L2,TECR,mammarygland,TCF7L2 ChIP-Seq
SPP,HOXA4,TECR,colon,HOXA4 IP 
SPP,FOXA1,TECR,lung,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells"
SPP,GATA2,TECR,cns,GATA2 ChIP-Seq SH-SY5Y
SPP,ELF1,TECR,cns,ELF1 IP - SK-N-SH cells
SPP,USF1,TECR,colon,USF1 IP - HCT116 cells
SPP,TBP,TECR,leukocytes,"TBP IP - K562 cells, TBP IP - GM12878 cells"
SPP,CREB1,TECR,prostate,"CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2"
SPP,GABPA,TECR,leukocytes,"GABPA IP - Jurkat, Rep 2, GABPA IP - Jurkat, Rep 1, GABPA IP - K562 cells"
SPP,EGR1,TECR,liver,EGR1 IP - MCF7 cells
SPP,ZBTB7A,TECR,uterus,ZBTB7A IP - ECC1 cells
SPP,FOXA1,TECR,pancreas,"FOXA1 IP, FOXA1 IP, FOXA1 IP | KLF5 KO"
SPP,CEBPB,TECR,leukocytes,"CEBPB ChIP-Seq - K562, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP - K562 cells, CEBPB IP - Rep 204, CEBPB IP, CEBPB IP, CEBPB IP | oxLDL  - Rep 208, CEBPB IP - Rep 203"
SPP,CEBPB,TECR,colon,"CEBPB IP | 125DVD3, CEBPB IP - HCT116 cells, CEBPB IP"
SPP,125DVD3,TECR,colon,"CEBPB IP | 125DVD3, CDX2 IP | 125DVD3"
SPP,RUNX1,TECR,leukocytes,"RUNX1 IP - Rep 2, RUNX1 IP, RUNX1 IP"
SPP,REST,TECR,leukocytes,"REST IP - HL60 cells, REST IP - K562 cells, REST IP - GM12878 cells, Rep 16 "
SPP,TEAD4,TECR,uterus,TEAD4 IP - ECC1 cells
SPP,JUN,TECR,mammarygland,"JUN IP - Rep 1, JUN IP, JUN IP | CPDA, JUN IP - Rep 2, JUN IP | DEX"
SPP,MXI1,TECR,uterus,MXI1 IP - HeLa cells
SPP,SPI1,TECR,leukocytes,"SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - K562 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP"
SPP,E2F4,TECR,leukocytes,"E2F4 IP - K562 cells, E2F4 IP - GM12878 cells"
SPP,MAZ,TECR,liver,MAZ IP - HepG2 cells
SPP,TP53,TECR,bone,TP53 IP | TP53EE/RR OE
SPP,FOXA1,TECR,prostate,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 KD |Â GATA2 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CON KD |Â FOXA1 ChIP-Seq, FOXA1 ChIP-Seq"
SPP,ATF3,TECR,colon,"ATF3 IP | CAMPTO, ATF3 IP, ATF3 IP - HCT116 cells"
SPP,ZEB1,TECR,liver,ZEB1 IP - HepG2 cells
SPP,ARNTL,TECR,colon,ARNTL IP - Rep 1 
SPP,TP73,TECR,bone,"TP73 IP - alpha isoform, Rep 2, TP73 IP - beta isoform, Rep 2, TP73 IP - alpha isoform, Rep 1, TP73 IP - beta isoform, Rep 1"
SPP,EGR1,TECR,leukocytes,EGR1 IP - K562 cells
SPP,STAT3,TECR,leukocytes,"STAT3 IP - U-2932, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY7, STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-2"
SPP,BHLHE40,TECR,leukocytes,"BHLHE40 IP - K562 cells, BHLHE40 IP - GM12878 cells"
SPP,TP63,TECR,skin,"TP63 IP, TP63 IP, TP63 IP - Adriam, Rep 1, TP63 IP | BANF1 KD, TP63 IP"
SPP,KLF5,TECR,stomach,KLF5 IP - KATOIII
SPP,MAX,TECR,liver,"MAX IP - HepG2 cells, MAX IP - MCF7 cells, MAX IP - HepG2 cells"
SPP,FOS,TECR,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 36 h"
SPP,MEF2B,TECR,kidney,"MEF2B IP | MEF2B D83V OE - Rep 1, MEF2B IP | MEF2B OE - Rep 1, MEF2B IP | MEF2B OE - Rep 2"
SPP,MAX,TECR,stemcells,MAX IP - H1 cells
SPP,MXI1,TECR,leukocytes,"MXI1 IP - GM12878 cells, MXI1 IP - K562 cells"
SPP,SP1,TECR,stemcells,"SP1 IP - Rep 1 , SP1 IP - Rep 2 , SP1 IP - H1 cells"
SPP,SP2,TECR,liver,SP2 IP - HepG2 cells
SPP,RELA,TECR,leukocytes,"RELA IP | TNF - GM12892 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells"
SPP,TNF,TECR,leukocytes,"RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells"
SPP,TEAD4,TECR,liver,TEAD4 IP - HepG2 cells
SPP,YY1,TECR,leukocytes,"YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1"
SPP,TP63,TECR,esophagus,TP63 IP - KYSE-70
SPP,HOXA6,TECR,colon,HOXA6 IP 
SPP,BICALU,TECR,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
SPP,FOS,TECR,leukocytes,"FOS IP - GM12878 cells, FOS IP - K562 cells"
SPP,USF1,TECR,stemcells,USF1 IP - H1 cells
SPP,JUN,TECR,vasculature,"JUN IP, JUN IP - HUVEC cells"
SPP,MYB,TECR,leukocytes,"MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5"
SPP,JUND,TECR,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
SPP,NANOG,TECR,stemcells,"NANOG IP - Rep 2 , NANOG IP - Rep 2, NANOG IP - H1 cells, NANOG IP - Rep 8 , NANOG IP - Rep 6 , NANOG IP - Rep 5 , NANOG IP - Rep 3 "
SPP,RELA,TECR,adiposetissue,"RELA IP, RELA IP, RELA IP"
SPP,BCL3,TECR,lung,BCL3 IP - A549 cells
SPP,STAT5A,TECR,leukocytes,"STAT5A IP - GM12878 cells, STAT5A IP - K562 cells"
SPP,CEBPB,TECR,mammarygland,CEBPB IP - MCF7 cells
SPP,TCF21,TECR,vasculature,TCF21 IP
SPP,ERG,TECR,leukocytes,ERG IP - Rep 1
SPP,FOSL2,TECR,lung,FOSL2 IP - A549 cells
SPP,GATA1,TECR,leukocytes,GATA1 ChIP-Seq - SC266
SPP,CEBPB,TECR,liver,"CEBPB IP - HepG2 cells, CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells"
SPP,USF1,TECR,cns,"USF1 IP | ATRA - SK-N-SH cells, USF1 IP - SK-N-SH cells"
SPP,ATRA,TECR,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
SPP,FOSL2,TECR,liver,FOSL2 IP - HepG2 cells
SPP,4HT,TECR,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, E2F4 IP | 4HT - MCF10 cells, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 12 h, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h"
