Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
0,0,0,SPP,RELA,ACLY,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells"
1,1,1,SPP,BAY082,ACLY,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA"
2,2,2,SPP,TCF21,ACLY,vasculature,"TCF21 IP, TCF21 IP"
3,3,3,SPP,USF1,ACLY,lung,"USF1 IP | DEX - A549 cells, USF1 IP - A549 cells, Rep 2"
4,4,4,SPP,DEX,ACLY,lung,"USF1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells , FOXA1 IP | DEX - A549 cells, CREB1 IP | DEX - A549 cells"
5,5,5,SPP,CREB1,ACLY,lung,"CREB1 IP - A549 cells, Rep 1, CREB1 IP | DEX - A549 cells, CREB1 IP - A549 cells, Rep 2"
6,6,6,SPP,ETS1,ACLY,leukocytes,"ETS1 IP - K562 cells, ETS1 IP - GM12878 cells, ETS1 IP"
7,7,7,SPP,THAP11,ACLY,stemcells,"THAP11 IP - Rep 1 , THAP11 IP - Rep 2 , THAP11 IP - Rep 3 , THAP11 IP - Rep 5 , THAP11 IP - Rep 4 "
8,8,8,SPP,CTCF,ACLY,leukocytes,"CTCF IP, CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 2 "
9,9,9,SPP,GATA3,ACLY,cns,GATA3 IP - SK-N-SH cells
10,10,10,SPP,FOXA1,ACLY,mammarygland,"DHT | FOXA1 ChIP-Seq, FOXA1 IP - T47D cells"
11,11,11,SPP,DHT,ACLY,mammarygland,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
12,12,12,SPP,FOSL2,ACLY,cns,FOSL2 IP - SK-N-SH cells
13,13,13,SPP,MXI1,ACLY,leukocytes,MXI1 IP - GM12878 cells
14,14,14,SPP,USF1,ACLY,colon,USF1 IP - HCT116 cells
15,15,15,SPP,CTCF,ACLY,skin,"CTCF IP - AG04449 cells, Rep 2 , CTCF IP - HFFC cells, Rep 3 , CTCF IP - AG04449 cells, Rep 1 "
16,16,16,SPP,SIX5,ACLY,leukocytes,"SIX5 IP - K562 cells, Rep 2, SIX5 IP - K562 cells, Rep 1, SIX5 IP - GM12878 cells"
17,17,17,SPP,CEBPB,ACLY,stemcells,"CEBPB IP, CEBPB IP - H1 cells, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
18,18,18,SPP,FOS,ACLY,mammarygland,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h"
19,19,19,SPP,4HT,ACLY,mammarygland,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h, E2F4 IP | 4HT - MCF10 cells"
20,20,20,SPP,CTCF,ACLY,cns,"CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - BE(2)-C cells, Rep 1 , CTCF IP - spinal cord astrocyte cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - HCPEpiC cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 1 , CTCF IP - spinal cord astrocyte cells, Rep 1 , CTCF IP - SK-N-SH cells "
21,21,21,SPP,ELF3,ACLY,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO"
22,22,22,SPP,CEBPB,ACLY,leukocytes,"CEBPB ChIP-Seq - K562, CEBPB IP | oxLDL  - Rep 208, CEBPB IP, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP - K562 cells"
23,23,23,SPP,MAZ,ACLY,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
24,24,24,SPP,REST,ACLY,liver,"REST IP - HepG2 cells, Rep 2, REST IP - HepG2 cells, Rep 1"
25,25,25,SPP,BACH1,ACLY,stemcells,BACH1 IP - H1 cells
26,26,26,SPP,ZNF143,ACLY,leukocytes,"ZNF143 IP - K562, ZNF143 IP - HPB-ALL, ZNF143 IP - K562 cells, ZNF143 IP - GM12878 cells"
27,27,27,SPP,MYC,ACLY,leukocytes,"MYC IP - K562 cells, Rep 1, MYC IP - NB4 cells, MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, MYC IP - K562 cells, Rep 2"
28,28,28,SPP,MAX,ACLY,leukocytes,"MAX IP - GM12878 cells, MAX IP - NB4 cells, MAX IP - K562 cells, MAX IP - K562 cells, Rep 2"
29,29,29,SPP,RELA,ACLY,adiposetissue,"RELA IP, RELA IP, RELA IP, RELA IP"
30,30,30,SPP,TBP,ACLY,uterus,TBP IP - HeLa cells
31,31,31,SPP,MYC,ACLY,mammarygland,"DHT | MYC ChIP-Seq, MYC IP - MCF-10A cells, MYC IP"
32,32,32,SPP,CTCF,ACLY,lung,"CTCF ChIP-Seq - A549, CTCF IP - IMR cells, CTCF IP - A549 cells, Rep 2 , CTCF IP - A549 cells , CTCF IP | DEX - A549 cells , CTCF IP - HPF cells, Rep 1 , CTCF IP - AG04450 cells, Rep 1 "
33,33,33,SPP,CTCF,ACLY,vasculature,"CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HPAF cells, Rep 1 "
34,34,34,SPP,IRF1,ACLY,leukocytes,"IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNA1-13 - K562 cells, 6 h"
35,35,35,SPP,IFNG,ACLY,leukocytes,"IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 4, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 3, MYC IP | IFNG - K562 cells, 6 h"
36,36,36,SPP,E2F1,ACLY,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
37,37,37,SPP,BICALU,ACLY,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
38,38,38,SPP,FOS,ACLY,leukocytes,FOS IP - K562 cells
39,39,39,SPP,GABPA,ACLY,leukocytes,"GABPA IP - K562 cells, GABPA IP - Jurkat, Rep 1, GABPA IP - GM12878 cells, Rep 4 , GABPA IP - GM12878 cells, Rep 1 , GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, Rep 2 , GABPA IP - GM12878 cells"
40,40,40,SPP,ELF1,ACLY,cns,ELF1 IP - SK-N-SH cells
