Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
0,0,0,SPP,TP63,ACSL1,skin,"TP63 IP, TP63 IP | BANF1 KD, TP63 IP, TP63 IP"
1,1,1,SPP,CTCF,ACSL1,cns,"CTCF IP - SK cells, CTCF IP - SK-N-SH cells "
2,2,2,SPP,JUND,ACSL1,cns,JUND IP - SK-N-SH cells
3,3,3,SPP,ELF1,ACSL1,leukocytes,ELF1 IP - SK-N-SH cells
4,4,4,SPP,ATF3,ACSL1,leukocytes,ATF3 IP - K562 cells
5,5,5,SPP,GATA1,ACSL1,leukocytes,GATA1 ChIP-Seq - SC266
6,6,6,SPP,CTCF,ACSL1,leukocytes,"CTCF IP - GM18526 cells, Rep 1 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP -  DND , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM11831 cells, CTCF IP - GM06990 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM12871 cells , CTCF IP - F36P cells, Rep 15 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - F36P cells, Rep 7 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - F36P cells, Rep 3 , CTCF IP - F36P cells, Rep 11 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - F36P cells, Rep 19 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - K562 cells, Rep 15 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP -  CD20+ cells , CTCF ChIP-Seq - GM12878, CTCF IP - K562 cells, CTCF IP - GM18486 cells, Rep 1 , CTCF IP, CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM18526 cells, Rep 2 "
7,7,7,SPP,FOXM1,ACSL1,leukocytes,FOXM1 IP - GM12878 cells
8,8,8,SPP,SP1,ACSL1,leukocytes,SP1 IP - GM12878 cells
9,9,9,SPP,BHLHE40,ACSL1,leukocytes,BHLHE40 IP - GM12878 cells
10,10,10,SPP,BATF,ACSL1,leukocytes,BATF IP - GM12878 cells
11,11,11,SPP,REST,ACSL1,cns,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - PFSK1 cells, Rep 2, REST IP - SK-N-SH cells, REST IP - U87 cells, REST IP - SK cells"
12,12,12,SPP,REST,ACSL1,uterus,"REST IP - SK-N-SH cells, REST IP - ECC1 cells"
13,13,13,SPP,MEF2C,ACSL1,leukocytes,MEF2C IP - GM12878 cells
14,14,14,SPP,RUNX1,ACSL1,leukocytes,"RUNX1 IP, RUNX1 IP - Rep 1, SPI1 IP | RUNX1 KD, RUNX1 IP - Rep 2, CEBPA IP | RUNX1 KD, RUNX1 IP, RUNX1 IP - N terminus 1, RUNX1 IP - N terminus 2"
15,15,15,SPP,RELA,ACSL1,leukocytes,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM19193 cells"
16,16,16,SPP,TNF,ACSL1,leukocytes,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM19193 cells"
17,17,17,SPP,YY1,ACSL1,leukocytes,"YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - K562 cells, Rep 1, YY1 IP - GM12891 cells"
18,18,18,SPP,TCF3,ACSL1,leukocytes,TCF3 IP - GM12878 cells
19,19,19,SPP,TP53,ACSL1,bone,"TP53 IP, TP53 IP - Rep 2, TP53 IP | NUTL3 - SJSA-1, TP53 IP | TP53EE/RR OE"
20,20,20,SPP,CEBPB,ACSL1,leukocytes,"CEBPB IP | oxLDL  - Rep 208, CEBPB IP - Rep 203, CEBPB IP | oxLDL  - Rep 205, CEBPB IP, CEBPB IP, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP - Rep 201, CEBPB IP, CEBPB IP, CEBPB IP | oxLDL  - Rep 206, CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP| oxLDL  - Rep 207, CEBPB IP, CEBPB IP - K562 cells, CEBPB ChIP-Seq - K562, CEBPB IP, CEBPB IP - Rep 204, CEBPB IP, CEBPB IP - GM12878 cells"
21,21,21,SPP,USF2,ACSL1,liver,USF2 IP - HepG2 cells
22,22,22,SPP,CEBPB,ACSL1,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
23,23,23,SPP,TCF12,ACSL1,cns,TCF12 IP - SK-N-SH cells
24,24,24,SPP,CTCF,ACSL1,skeletalmuscle,"CTCF IP - HSMM cells, Rep 2 , CTCF IP - HSMM cells, Rep 1 "
25,25,25,SPP,GATA4,ACSL1,stemcells,"GATA4 IP - Rep 9 , GATA4 IP - Rep 10 , GATA4 IP - Rep 11 , GATA4 IP - Rep 8 "
26,26,26,SPP,MYC,ACSL1,mammarygland,"MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq"
27,27,27,SPP,4HT,ACSL1,mammarygland,"MYC IP | 4HT - MCF10A cells, STAT3 IP | 4HT - MCF10 cells, 12 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 36 h, FOS IP | 4HT - MCF10A cells, 36 h"
28,28,28,SPP,ETV5,ACSL1,colon,ETV5 IP 
29,29,29,SPP,CTCF,ACSL1,erythroidlineage,"CTCF IP - Erythroid cells, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 11 , CTCF IP - Erythroid cells, Rep 2"
30,30,30,SPP,MAX,ACSL1,uterus,"MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1"
31,31,31,SPP,SOX2,ACSL1,stemcells,"SOX2 IP - Rep 3 , SOX2 IP - Rep 2, SOX2 IP"
32,32,32,SPP,HEY1,ACSL1,liver,HEY1 IP - HepG2 cells
33,33,33,SPP,SPI1,ACSL1,leukocytes,"ROSI | SPI1 ChIP-Seq, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - GM12878 cells, Rep 1 , SPI1 IP - GM12891 cells, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - U-937 cells, Rep 4 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP"
34,34,34,SPP,ROSI,ACSL1,leukocytes,ROSI | SPI1 ChIP-Seq
35,35,35,SPP,TEAD4,ACSL1,colon,TEAD4 IP - HCT116 cells
36,36,36,SPP,SRF,ACSL1,stemcells,"SRF IP - Rep 7 , SRF IP - Rep 6 "
37,37,37,SPP,RELA,ACSL1,adiposetissue,"RELA IP, RELA IP, RELA IP"
38,38,38,SPP,MXI1,ACSL1,lung,MXI1 IP - IMR cells
39,39,39,SPP,ZBTB7A,ACSL1,leukocytes,ZBTB7A IP - SK-N-SH cells
40,40,40,SPP,FOXA1,ACSL1,prostate,"FOXA1 KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP-abl, CON KD + R1881 | FOXA1 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 + FBS | GATA2 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CON KD  | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, EtOH | FOXA1 ChIP-Seq - , DHT | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
41,41,41,SPP,FOS,ACSL1,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 36 h"
42,42,42,SPP,TCF12,ACSL1,uterus,TCF12 IP - ECC1 cells
43,43,43,SPP,E2F3,ACSL1,colon,E2F3 IP 
44,44,44,SPP,FOSL2,ACSL1,cns,FOSL2 IP - SK-N-SH cells
45,45,45,SPP,ELF1,ACSL1,liver,ELF1 IP - HepG2 cells
46,46,46,SPP,MAFF,ACSL1,liver,MAFF IP - HepG2 cells
47,47,47,SPP,FOXA1,ACSL1,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
48,48,48,SPP,FOXA1,ACSL1,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells"
49,49,49,SPP,DEX,ACSL1,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, JUN IP | DEX, DEX | FOXA1 ChIP-Seq - Rep 2"
50,50,50,SPP,CEBPB,ACSL1,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
51,51,51,SPP,TCF7L2,ACSL1,hspcs,"TCF7L2 IP - Rep 2, TCF7L2 IP - Rep 1"
52,52,52,SPP,R1881,ACSL1,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | GATA2 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
