Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
0,0,0,SPP,ZBTB7A,ELOVL5,uterus,ZBTB7A IP - ECC1 cells
1,1,1,SPP,JUN,ELOVL5,leukocytes,"JUN IP - K562 cells, Rep 1, JUN IP | IFNG - K562 cells, 30 min, JUN IP - K562 cells, Rep 2, JUN IP | IFNA1-13 - 30 min "
2,2,2,SPP,TCF3,ELOVL5,leukocytes,TCF3 IP - GM12878 cells
3,3,3,SPP,TBP,ELOVL5,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells"
4,4,4,SPP,GATA2,ELOVL5,leukocytes,"GATA2 IP - K562 cells, GATA2 IP - K562 cells"
5,5,5,SPP,GABPA,ELOVL5,leukocytes,"GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, Rep 2 , GABPA IP - HL cells, GABPA IP - Jurkat, Rep 1, GABPA IP - K562 cells, GABPA IP - GM12878 cells, Rep 3 , GABPA IP - GM12878 cells, Rep 1 , GABPA IP - GM12878 cells, Rep 4 "
6,6,6,SPP,MYB,ELOVL5,leukocytes,"MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 2"
7,7,7,SPP,CEBPB,ELOVL5,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
8,8,8,SPP,SPI1,ELOVL5,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 6 , SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP - U-937 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP - GM12878 cells, SPI1 IP - K562 cells, SPI1 IP - U-937 cells, Rep 5 , SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP - HL cells"
9,9,9,SPP,STAT1,ELOVL5,leukocytes,"STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2, STAT1 IP - Rep 3, STAT1 IP - Rep 5"
