Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
0,0,0,SPP,USF1,HSD17B3,cns,USF1 IP - SK-N-SH cells
1,1,1,SPP,CTCF,HSD17B3,leukocytes,CTCF IP - K562 cells
2,2,2,SPP,GATA3,HSD17B3,mammarygland,GATA3 IP - MCF7 cells
3,3,3,SPP,JUND,HSD17B3,cns,"JUND IP - SK-N-SH cells , JUND IP - SK-N-SH cells"
4,4,4,SPP,PBX3,HSD17B3,cns,PBX3 IP - SK-N-SH cells
5,5,5,SPP,TEAD4,HSD17B3,cns,TEAD4 IP - SK-N-SH cells
6,6,6,SPP,MEF2B,HSD17B3,kidney,MEF2B IP | MEF2B OE - Rep 2
7,7,7,SPP,FOS,HSD17B3,uterus,FOS IP - HeLa cells
8,8,8,SPP,JUND,HSD17B3,colon,JUND IP - HCT116 cells
9,9,9,SPP,SRF,HSD17B3,colon,SRF IP - HCT116 cells
10,10,10,SPP,GATA3,HSD17B3,cns,GATA3 IP - SK-N-SH cells
11,11,11,SPP,SIX2,HSD17B3,kidney,"SIX2 IP - 17 weeks, Rep 1, SIX2 IP - 17 weeks, Rep 2"
12,12,12,SPP,USF2,HSD17B3,uterus,USF2 IP - HeLa cells
13,13,13,SPP,YY1,HSD17B3,cns,YY1 IP | ATRA - SK-N-SH cells
14,14,14,SPP,ATRA,HSD17B3,cns,YY1 IP | ATRA - SK-N-SH cells
15,15,15,SPP,JUN,HSD17B3,vasculature,JUN IP - HUVEC cells
16,16,16,SPP,JUND,HSD17B3,vasculature,JUND IP
17,17,17,SPP,TP63,HSD17B3,skin,"TP63 IP, TP63 IP, TP63 IP"
18,18,18,SPP,MAFK,HSD17B3,liver,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2"
19,19,19,SPP,FOS,HSD17B3,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP - MCF10A cells"
20,20,20,SPP,4HT,HSD17B3,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h"
21,21,21,SPP,CTCF,HSD17B3,liver,"CTCF IP - SK-N-SH cells, CTCF IP, CTCF IP - HepG2 cells, Rep 1 "
22,22,22,SPP,MAX,HSD17B3,uterus,"MAX IP - HeLa cells, Rep 2, MAX IP - HeLa cells, Rep 1"
23,23,23,SPP,TP53,HSD17B3,bone,TP53 IP | NUTL3
24,24,24,SPP,NUTL3,HSD17B3,bone,TP53 IP | NUTL3
25,25,25,SPP,MXI1,HSD17B3,uterus,MXI1 IP - HeLa cells
26,26,26,SPP,CEBPB,HSD17B3,uterus,CEBPB ChIP-Seq - HeLaS3
27,27,27,SPP,FOXA1,HSD17B3,pancreas,"FOXA1 IP, FOXA1 IP | KLF5 KO"
28,28,28,SPP,PAX5,HSD17B3,leukocytes,PAX5 IP - GM12891 cells
29,29,29,SPP,FOSL1,HSD17B3,colon,FOSL1 IP - HCT116 cells
30,30,30,SPP,TP53,HSD17B3,mammarygland,"TP53 IP | NUTL3 - MCF-7, TP53 IP"
31,31,31,SPP,ZNF384,HSD17B3,leukocytes,ZNF384 IP - K562 cells
32,32,32,SPP,TCF12,HSD17B3,cns,TCF12 IP - SK-N-SH cells
33,33,33,SPP,GATA1,HSD17B3,hspcs,GATA1 IP - Rep 4
34,34,34,SPP,JUN,HSD17B3,mammarygland,"JUN IP - Rep 2, JUN IP - Rep 1"
35,35,35,SPP,JUN,HSD17B3,uterus,JUN IP - HeLa cells
36,36,36,SPP,JUND,HSD17B3,uterus,JUND IP - HeLa cells
37,37,37,SPP,TP73,HSD17B3,bone,"TP73 IP - alpha isoform, Rep 1"
38,38,38,SPP,STAT3,HSD17B3,uterus,STAT3 IP - HeLa cells
39,39,39,SPP,TEAD1,HSD17B3,cns,TEAD1 IP - Rep 2
40,40,40,SPP,MAX,HSD17B3,colon,MAX IP - HCT116 cells
41,41,41,SPP,MAX,HSD17B3,cns,MAX IP - SK-N-SH cells
42,42,42,SPP,TP63,HSD17B3,lung,TP63 IP - HCC95
43,43,43,SPP,FOSL1,HSD17B3,mammarygland,FOSL1 IP
44,44,44,SPP,FOSL2,HSD17B3,liver,FOSL2 IP - HepG2 cells
45,45,45,SPP,FOSL2,HSD17B3,cns,FOSL2 IP - SK-N-SH cells
46,46,46,SPP,CEBPB,HSD17B3,colon,CEBPB IP - HCT116 cells
47,47,47,SPP,SP1,HSD17B3,colon,SP1 IP - HCT116 cells
48,48,48,SPP,KLF5,HSD17B3,pancreas,FOXA1 IP | KLF5 KO
49,49,49,SPP,CEBPB,HSD17B3,leukocytes,CEBPB IP
50,50,50,SPP,ATF3,HSD17B3,colon,ATF3 IP | CAMPTO
