TF,Overlapping Genes,Genes mentioned in the paper,Pubmed_ID,Pubmed_Link,Tissue
NR1H3,"ELOVL5, ACACA, SCD, FASN",SCD,23393188,https:pubmed.ncbi.nlm.nih.gov23393188,Vasculature
SOX2,"ELOVL1, HACD1, ELOVL5, ACSL5, ELOVL7, ACACA, SOAT1",not found,20726797,  paid,"Colon, Rectum"
HNF4A,"ACSS2, SOAT1, SCD, SLC25A20
","ACSS2,SOAT1, SCD, SLC25A20
",19761587,https:pubmed.ncbi.nlm.nih.gov19761587,"Liver, pancreas, colon, stomach"
TP63,FASN,not found,17297297,https:pubmed.ncbi.nlm.nih.gov17297297,Skin
WT1,"HACD1, ELOVL5, TECR, HSD17B3, ACACA, SOAT1,FASN
","TECR, HSD17B3, ACACA, SOAT1, FASN",25993318,https:pubmed.ncbi.nlm.nih.gov25993318,Kidney
GATA3,"ELOVL4, ELOVL5, ELOVL2,  SOAT1,FASN",not found,24758297,https:pubmed.ncbi.nlm.nih.gov24758297,Mammary Gland
GATA6,"ELOVL1, HACD1, TECR,  SOAT1,FASN",not found,25053715,paid,Colon
CLOCK,"ACSL5, ACLY","ACSL5, ACLY",20551151,https:pubmed.ncbi.nlm.nih.gov20551151,Kidney
FOXA2,"ELOVL, ELOVL2, ACSL5, ACACA, ACLY, FASN
",not found,19822575,https:pubmed.ncbi.nlm.nih.gov19822575,Liver
PPARD,"ACSL5, SLC25A20","ACSL5, SLC25A20",23208498,https:pubmed.ncbi.nlm.nih.gov23208498,Mammary Gland
GATA1,"HACD1, ACSS2,ELOVL5, ACSL5, SCD
","ACSS2, ELOVL5, ACSL5, SCD",21571218,https:pubmed.ncbi.nlm.nih.gov21571218,Bone Marrow
TFAP2C,"ELOVL5, TECR, FASN","ELOVL5, TECR, FASN",20629094,https:pubmed.ncbi.nlm.nih.gov20629094,Mammary Gland
GATA4,"ACSS2, ACSL5, ELOVL7, SOAT1",not found,25053715,paid,Colon
VDR,"ELOVL1, HSD17B3, FASN",not found,24763502,https:pubmed.ncbi.nlm.nih.gov24763502,Bone Marrow
FOXP1,"ACSS2, ELOVL5, ELOVL2, ELOVL3, ACLY, SOAT1",not found,21924763,https:pubmed.ncbi.nlm.nih.gov21924763,inner cell mass of the blastocyst
MYC,"ELOVL5,TECR",ELOVL5,18940864,https:pubmed.ncbi.nlm.nih.gov18940864,Bone Marrow
DACH1,"ACACA, SOAT1, FASN","ACACA, SOAT1, FASN",20351289,https:pubmed.ncbi.nlm.nih.gov20351289,Mammary Gland
EGR1,"ELOVL, HACD1, ELOVL2,TECR, ACACA, SOAT1, SCD
","SCD, SOAT1, ELOVL2",20690147,https:pubmed.ncbi.nlm.nih.gov20690147,Bone Marrow
TP53,"ELOVL2, FASN","ELOVL2, FASN",22127205,https:pubmed.ncbi.nlm.nih.gov22127205,"Bone,Cartilage,Adipose tissue,Fibroblasts"
AR,"HACD, ELOVL3, ELOVL4, HSD17B3, ACACA",ACACA,19668381,https:pubmed.ncbi.nlm.nih.gov19668381,Prostate
EOMES,"ACLY, SCD","ACLY, SCD",21245162,https:pubmed.ncbi.nlm.nih.gov21245162,Embryonic tissue
ELF1,"ACSS2, SOAT1",not found,20517297,https:pubmed.ncbi.nlm.nih.gov20517297,Leukocytes
MITF,"ELOVL1,HACD1, ELOVL4, ACACA, SOAT1, SCD, FASN",not found,21258399,paid,
SMAD3,"TECR, SOAT1, SCD",not found,18955504,paid,Skin
SOX11,"ACSS2, SCD
","ACSS2, SCD",23321250,https:pubmed.ncbi.nlm.nih.gov23321250,Leukocytes
RBPJ,"ACSS2, ELOVL5,TECR",not found,21746931,https:www.ncbi.nlm.nih.govpmcarticlesPMC3169132pdfpnas.201108892.pdf,Leukocytes
HIF1A,SCD,SCD,21447827,https:www.ncbi.nlm.nih.govpmcarticlesPMC3374576?report=printable,Mammary Gland
NR3C1,"ACSL5,ACACA",not found,21868756,https:www.ncbi.nlm.nih.govpmcarticlesPMC3514452pdfnihms320652.pdf,Mammary Gland
IRF1,ACSL5,ACSL5,21803131,https:www.ncbi.nlm.nih.govpmcarticlesPMC3167955pdfnihms319654.pdf,Bone Marrow
