,Database,TF,TargetGene,Tissue,Experiment
0,SPP,NFYA,CBR1,uterus,NFYA IP - HeLa cells
1,SPP,GABPA,CBR1,leukocytes,"GABPA IP - GM12878 cells, Rep 2 , GABPA IP - HL cells, GABPA IP - GM12878 cells, GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, Rep 5 , GABPA IP, GABPA IP - GM12878 cells, Rep 4 , GABPA IP - Jurkat, Rep 1, GABPA IP - K562 cells, GABPA IP - GM12878 cells, Rep 3 , GABPA IP - GM12878 cells, Rep 1 "
2,SPP,FOS,CBR1,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h"
3,SPP,4HT,CBR1,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, E2F4 IP | 4HT - MCF10 cells, MYC IP | 4HT - MCF10A cells"
4,SPP,HEY1,CBR1,liver,HEY1 IP - HepG2 cells
5,SPP,USF2,CBR1,leukocytes,"USF2 IP - K562 cells, USF2 IP - GM12878 cells"
6,SPP,GATA4,CBR1,stemcells,"GATA4 IP - Rep 7 , GATA4 IP - Rep 1 , GATA4 IP - Rep 4 "
7,SPP,ELF3,CBR1,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO"
8,SPP,TBP,CBR1,stemcells,TBP IP - H1 cells
9,SPP,IRF1,CBR1,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP - Rep 1, IRF1 IP - Rep 2, IRF1 IP - Rep 3"
10,SPP,IFNG,CBR1,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 6, IRF1 IP - Rep 1, STAT1 IP - Rep 2, IRF1 IP - Rep 2, IRF1 IP - Rep 3"
11,SPP,CREB1,CBR1,prostate,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl"
12,SPP,FOXA1,CBR1,prostate,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, EtOH | FOXA1 ChIP-Seq - , AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
