,Database,TF,TargetGene,Tissue,Experiment
0,SPP,HEY1,CYP4F2,liver,HEY1 IP - HepG2 cells
1,SPP,FOXA1,CYP4F2,prostate,"CON KD  | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq"
2,SPP,TP63,CYP4F2,skin,"TP63 IP, TP63 IP | BANF1 KD, TP63 IP"
3,SPP,USF1,CYP4F2,liver,USF1 IP - HepG2 cells
4,SPP,MAFK,CYP4F2,liver,"MAFK IP - HepG2 cells, Rep 2, MAFK IP - HepG2 cells, Rep 1"
5,SPP,ZEB1,CYP4F2,liver,ZEB1 IP - HepG2 cells
6,SPP,MAX,CYP4F2,liver,"MAX IP - HepG2 cells, MAX IP - MCF7 cells"
7,SPP,TP53,CYP4F2,bone,"TP53 IP | TP53 OE, TP53 IP - ActD, TP53 IP - Rep 1, TP53 IP | TP53EE/RR OE, TP53 IP | NUTL3 - SJSA-1, TP53 IP | NUTL3, TP53 IP | TP53RR OE, TP53 IP - Rep 2, TP53 pS15 IP - ActD"
8,SPP,TP53,CYP4F2,stemcells,TP53 IP - DNA damage
9,SPP,FOXA1,CYP4F2,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, 17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2, TNF | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
10,SPP,DEX,CYP4F2,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1"
11,SPP,R1881,CYP4F2,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq, ERG IP | R1881"
12,SPP,USF2,CYP4F2,liver,USF2 IP - HepG2 cells
13,SPP,MYC,CYP4F2,mammarygland,DHT | MYC ChIP-Seq
14,SPP,DHT,CYP4F2,mammarygland,DHT | MYC ChIP-Seq
15,SPP,GATA6,CYP4F2,stomach,GATA6 IP - YCC3
16,SPP,TP53,CYP4F2,colon,"TP53 IP | NUTL3 - HCT-116, TP53 IP | CAMPTO"
17,SPP,ERG,CYP4F2,prostate,"ERG ChIP-Seq, ERG IP - Rep 1, ERG IP | R1881, DMSO | ERG ChIP-Seq - Rep 1"
18,SPP,TP53,CYP4F2,skin,"TP53 IP - Adriam, TP53 IP, TP53 IP"
19,SPP,SREBF1,CYP4F2,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
20,SPP,22RHC; INS,CYP4F2,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
21,SPP,FOS,CYP4F2,leukocytes,FOS IP - K562 cells
22,SPP,SNAPC4,CYP4F2,lung,SNAPC4 IP
23,SPP,TP53,CYP4F2,leukocytes,TP53 IP - Doxo DNA damage
24,SPP,GABPA,CYP4F2,leukocytes,GABPA IP
25,SPP,SPI1,CYP4F2,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP"
26,SPP,BHLHE40,CYP4F2,liver,BHLHE40 IP - HepG2 cells
27,SPP,BCL3,CYP4F2,leukocytes,BCL3 IP - GM12878 cells
28,SPP,GATA3,CYP4F2,mammarygland,"GATA3 IP - MCF7 cells, GATA3 IP - MCF-7 cells"
29,SPP,TP73,CYP4F2,bone,"TP73 IP - beta isoform, Rep 1, TP73 IP - beta isoform, Rep 2"
30,SPP,MAFK,CYP4F2,lung,MAFK IP - IMR cells
31,SPP,FOXA2,CYP4F2,liver,FOXA2 IP - HepG2 cells
32,SPP,17BE2; TNF,CYP4F2,mammarygland,17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2
33,SPP,TNF,CYP4F2,mammarygland,TNF | FOXA1 ChIP-Seq - Rep 2
34,SPP,MAFF,CYP4F2,liver,MAFF IP - HepG2 cells
35,SPP,USF1,CYP4F2,uterus,USF1 IP - ECC1 cells
36,SPP,NUTL3,CYP4F2,bone,TP53 IP | NUTL3
37,SPP,CREB1,CYP4F2,liver,CREB1 IP - HepG2 cells
38,SPP,FOSL2,CYP4F2,liver,FOSL2 IP - HepG2 cells
39,SPP,17BE2,CYP4F2,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
40,SPP,TBP,CYP4F2,liver,TBP IP - HepG2 cells
41,SPP,TAL1,CYP4F2,leukocytes,TAL1 IP - MOLT3
42,SPP,E2F1,CYP4F2,mammarygland,E2F1 IP - MCF7 cells
43,SPP,TP53,CYP4F2,mammarygland,TP53 IP | NUTL3 - MCF-7
44,SPP,NFYB,CYP4F2,leukocytes,NFYB IP - K562 cells
45,SPP,CAMPTO,CYP4F2,colon,TP53 IP | CAMPTO
46,SPP,MYB,CYP4F2,leukocytes,MYB IP - MOLT3
47,SPP,DHT,CYP4F2,prostate,DHT | FOXA1 ChIP-Seq
48,SPP,ZNF217,CYP4F2,mammarygland,ZNF217 IP - MCF7 cells
49,SPP,BANF1,CYP4F2,skin,TP63 IP | BANF1 KD
50,SPP,TCF12,CYP4F2,liver,TCF12 IP - MCF7 cells
51,SPP,SP1,CYP4F2,liver,SP1 IP - HepG2 cells
52,SPP,FOXA1,CYP4F2,liver,"FOXA1 IP - HepG2 cells, Rep 1"
53,SPP,ELF1,CYP4F2,mammarygland,ELF1 IP - MCF7 cells
