,Database,TF,TargetGene,Tissue,Experiment
0,SPP,E2F1,PLA2G4A,uterus,"E2F1 IP - HeLa cells, Rep 1"
1,SPP,CEBPB,PLA2G4A,leukocytes,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP - Rep 204, CEBPB IP | oxLDL  - Rep 206, CEBPB IP | oxLDL  - Rep 208, CEBPB IP - Rep 203"
2,SPP,CTCF,PLA2G4A,esophagus,"CTCF IP - HEEpiC cells, Rep 2 "
3,SPP,IRF1,PLA2G4A,leukocytes,"IRF1 IP - Rep 3, IRF1 IP - Rep 2, IRF1 IP - Rep 1"
4,SPP,IFNG,PLA2G4A,leukocytes,"IRF1 IP - Rep 3, IRF1 IP - Rep 2, STAT1 IP - Rep 5, STAT1 IP - Rep 1, IRF1 IP - Rep 1, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
5,SPP,MAX,PLA2G4A,leukocytes,"MAX IP - GM12878 cells, MAX IP - NB4 cells"
6,SPP,ELF3,PLA2G4A,pancreas,"ELF3 IP, ELF3 IP | KLF5 KO, ELF3 IP"
7,SPP,CEBPB,PLA2G4A,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
8,SPP,RUNX1,PLA2G4A,hspcs,RUNX1 IP
9,SPP,SPI1,PLA2G4A,leukocytes,"SPI1 IP - U-937 cells, Rep 6 , SPI1 IP - HL cells, SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 3 , SPI1 IP, SPI1 IP"
10,SPP,PRDM1,PLA2G4A,uterus,PRDM1 IP - HeLa cells
11,SPP,GATA1,PLA2G4A,hspcs,"GATA1 IP - PBDE cells, Rep 1"
12,SPP,E2F4,PLA2G4A,mammarygland,E2F4 IP | 4HT - MCF10 cells
13,SPP,4HT,PLA2G4A,mammarygland,"E2F4 IP | 4HT - MCF10 cells, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h"
14,SPP,MYC,PLA2G4A,mammarygland,"MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells"
15,SPP,GATA4,PLA2G4A,stomach,GATA4 IP - AGS
16,SPP,CTCF,PLA2G4A,leukocytes,"CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12878 cells, Rep 2 "
17,SPP,JUN,PLA2G4A,liver,JUN IP - HepG2 cells
18,SPP,CEBPB,PLA2G4A,colon,"CEBPB IP | 125DVD3, CEBPB IP - HCT116 cells, CEBPB IP"
19,SPP,125DVD3,PLA2G4A,colon,"CEBPB IP | 125DVD3, CDX2 IP | 125DVD3"
20,SPP,JUND,PLA2G4A,cns,"JUND IP - SK-N-SH cells, JUND IP - SK-N-SH cells "
21,SPP,FOS,PLA2G4A,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h"
22,SPP,REST,PLA2G4A,leukocytes,"REST IP - HL60 cells, REST IP - GM12878 cells, Rep 2"
23,SPP,KLF5,PLA2G4A,pancreas,ELF3 IP | KLF5 KO
24,SPP,MEF2C,PLA2G4A,leukocytes,MEF2C IP - GM12878 cells
25,SPP,FOXA1,PLA2G4A,prostate,"FOXA1 ChIP-Seq, FOXA1 KD + DHT | POU2F1 ChIP-Seq, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - VCaP"
26,SPP,KLF11,PLA2G4A,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
27,SPP,ROSI,PLA2G4A,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
28,SPP,REST,PLA2G4A,lung,REST IP - A549 cells
29,SPP,USF1,PLA2G4A,uterus,USF1 IP - ECC1 cells
30,SPP,POU2F1,PLA2G4A,prostate,FOXA1 KD + DHT | POU2F1 ChIP-Seq
31,SPP,DHT,PLA2G4A,prostate,FOXA1 KD + DHT | POU2F1 ChIP-Seq
32,SPP,MAFK,PLA2G4A,leukocytes,"MAFK IP - GM12878 cells, MAFK IP - K562 cells"
33,SPP,MAFF,PLA2G4A,leukocytes,MAFF IP - K562 cells
34,SPP,USF1,PLA2G4A,colon,USF1 IP - HCT116 cells
35,SPP,E2F4,PLA2G4A,leukocytes,E2F4 IP - K562 cells
36,SPP,YY1,PLA2G4A,leukocytes,YY1 IP - GM12891 cells
37,SPP,ZNF274,PLA2G4A,leukocytes,"ZNF274 IP - K562 cells, Rep 1"
38,SPP,FOXA1,PLA2G4A,lung,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells"
39,SPP,GATA6,PLA2G4A,stomach,GATA6 IP - YCC3
40,SPP,FOXA2,PLA2G4A,lung,FOXA2 IP - A549 cells
41,SPP,SIX2,PLA2G4A,kidney,"SIX2 IP - 17 weeks, Rep 2, SIX2 IP - 17 weeks, Rep 1"
42,SPP,NFKB1,PLA2G4A,leukocytes,"NFKB1 IP - Rep 2, NFKB1 IP - Rep 1"
43,SPP,JUN,PLA2G4A,vasculature,JUN IP
44,SPP,JUND,PLA2G4A,uterus,JUND IP - HeLa cells
45,SPP,MTA3,PLA2G4A,leukocytes,MTA3 IP - GM12878 cells
46,SPP,E2F1,PLA2G4A,mammarygland,E2F1 IP
47,SPP,USF1,PLA2G4A,lung,"USF1 IP | DEX - A549 cells, USF1 IP - A549 cells, Rep 1, USF1 IP - A549 cells, Rep 2"
48,SPP,DEX,PLA2G4A,lung,"USF1 IP | DEX - A549 cells, FOXA1 IP | DEX - A549 cells"
49,SPP,CEBPB,PLA2G4A,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
50,SPP,EGR1,PLA2G4A,colon,EGR1 IP - HCT116 cells
51,SPP,MAX,PLA2G4A,cns,MAX IP - SK-N-SH cells
52,SPP,E2F6,PLA2G4A,lung,E2F6 IP - A549 cells
53,SPP,MAFK,PLA2G4A,liver,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2"
54,SPP,AR,PLA2G4A,prostate,"AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq"
55,SPP,STAT1,PLA2G4A,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 1, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
56,SPP,E2F6,PLA2G4A,uterus,E2F6 IP - HeLa cells
57,SPP,MAX,PLA2G4A,stemcells,"MAX IP - H1 cells, MAX IP - H1 cells"
58,SPP,MXI1,PLA2G4A,uterus,MXI1 IP - HeLa cells
59,SPP,CEBPA,PLA2G4A,leukocytes,"CEBPA IP - U-937 cells, Rep 2 "
60,SPP,E2F6,PLA2G4A,leukocytes,E2F6 IP - K562 cells
61,SPP,MAX,PLA2G4A,uterus,"MAX IP - HeLa cells, Rep 2, MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1"
62,SPP,ELF1,PLA2G4A,colon,ELF1 IP - HCT116 cells
63,SPP,MAX,PLA2G4A,colon,MAX IP - HCT116 cells
64,SPP,CTCF,PLA2G4A,vasculature,CTCF IP - HUVEC cells 
65,SPP,E2F6,PLA2G4A,stemcells,E2F6 IP - H1 cells
66,SPP,LYL1,PLA2G4A,leukocytes,LYL1 IP - HL-60
67,SPP,FOS,PLA2G4A,vasculature,FOS IP - HUVEC cells
68,SPP,RUNX1,PLA2G4A,leukocytes,SPI1 IP | RUNX1 KD
69,SPP,RELA,PLA2G4A,adiposetissue,RELA IP
70,SPP,USF2,PLA2G4A,uterus,USF2 IP - HeLa cells
71,SPP,MAX,PLA2G4A,lung,"MAX IP - A549 cells, MAX IP - A549 cells"
72,SPP,ATF2,PLA2G4A,leukocytes,ATF2 IP - GM12878 cells
73,SPP,USF1,PLA2G4A,cns,USF1 IP | ATRA - SK-N-SH cells
74,SPP,ATRA,PLA2G4A,cns,USF1 IP | ATRA - SK-N-SH cells
75,SPP,SP1,PLA2G4A,stemcells,SP1 IP - H1 cells
76,SPP,TBP,PLA2G4A,uterus,TBP IP - HeLa cells
77,SPP,NFKB2,PLA2G4A,leukocytes,NFKB2 IP - Rep 1
78,SPP,TCF12,PLA2G4A,lung,TCF12 IP - A549 cells
79,SPP,TFAP4,PLA2G4A,leukocytes,TFAP4 IP - Rep 2
80,SPP,MXI1,PLA2G4A,lung,MXI1 IP - IMR cells
81,SPP,FOSL2,PLA2G4A,cns,FOSL2 IP - SK-N-SH cells
82,SPP,TP53,PLA2G4A,bone,"TP53 IP - Rep 1, TP53 pS15 IP - ActD, TP53 pS15 IP - Etopo"
83,SPP,USF1,PLA2G4A,stemcells,USF1 IP - H1 cells
84,SPP,ERG,PLA2G4A,prostate,ERG ChIP-Seq - tumor
85,SPP,MXI1,PLA2G4A,stemcells,MXI1 IP - H1 cells
86,SPP,SP1,PLA2G4A,colon,SP1 IP - HCT116 cells
87,SPP,JUND,PLA2G4A,colon,JUND IP - HCT116 cells
88,SPP,CDX2,PLA2G4A,colon,CDX2 IP | 125DVD3
89,SPP,BATF,PLA2G4A,leukocytes,BATF IP - GM12878 cells
90,SPP,MYC,PLA2G4A,uterus,MYC IP - HeLa cells
91,SPP,CEBPB,PLA2G4A,uterus,CEBPB ChIP-Seq - HeLaS3
92,SPP,JUND,PLA2G4A,liver,JUND IP - HepG2 cells
93,SPP,GATA1,PLA2G4A,leukocytes,GATA1 ChIP-Seq - K562
94,SPP,MAFK,PLA2G4A,lung,MAFK IP - IMR cells
95,SPP,MAFF,PLA2G4A,liver,MAFF IP - HepG2 cells
96,SPP,FOXM1,PLA2G4A,leukocytes,FOXM1 IP - GM12878 cells
97,SPP,GABPA,PLA2G4A,leukocytes,GABPA IP - GM12878 cells
98,SPP,RELA,PLA2G4A,leukocytes,RELA IP | TNF - GM12891 cells
99,SPP,TNF,PLA2G4A,leukocytes,RELA IP | TNF - GM12891 cells
100,SPP,MAFK,PLA2G4A,uterus,MAFK IP - HeLa cells
101,SPP,MEF2A,PLA2G4A,leukocytes,MEF2A IP - GM12878 cells
102,SPP,MYC,PLA2G4A,leukocytes,MYC IP - NB4 cells
103,SPP,SP1,PLA2G4A,lung,SP1 IP - A549 cells
104,SPP,GTF2F1,PLA2G4A,uterus,GTF2F1 IP - HeLa cells
105,SPP,TCF7L2,PLA2G4A,uterus,TCF7L2 IP - HeLa cells
106,SPP,SRF,PLA2G4A,leukocytes,"SRF IP - GM12878 cells, Rep 2"
107,SPP,ELF1,PLA2G4A,lung,ELF1 IP - A549 cells
108,SPP,ZNF263,PLA2G4A,kidney,ZNF263 IP - HEK293 cells
109,SPP,GABPA,PLA2G4A,liver,GABPA IP - HepG2 cells
110,SPP,JUND,PLA2G4A,vasculature,JUND IP
111,SPP,SRF,PLA2G4A,colon,SRF IP - HCT116 cells
112,SPP,MAX,PLA2G4A,vasculature,MAX IP - HUVEC cells
113,SPP,FOXA1,PLA2G4A,mammarygland,FOXA1 IP | 17BE2 - MCF-7
114,SPP,17BE2,PLA2G4A,mammarygland,FOXA1 IP | 17BE2 - MCF-7
115,SPP,POU5F1,PLA2G4A,stemcells,POU5F1 IP - Rep 1
116,SPP,IRF4,PLA2G4A,leukocytes,IRF4 IP
117,SPP,FOS,PLA2G4A,leukocytes,FOS IP - K562 cells
