,Database,TF,TargetGene,Tissue,Experiment
0,SPP,ELF1,PTGES,colon,ELF1 IP - HCT116 cells
1,SPP,JUN,PTGES,vasculature,JUN IP
2,SPP,JUND,PTGES,uterus,JUND IP - HeLa cells
3,SPP,E2F1,PTGES,mammarygland,"E2F1 IP, E2F1 IP - MCF7 cells"
4,SPP,FOXA1,PTGES,mammarygland,"FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP | 17BE2 - T47D, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
5,SPP,EGR1,PTGES,stemcells,EGR1 IP - H1 cells
6,SPP,MAZ,PTGES,lung,MAZ IP - IMR cells
7,SPP,REST,PTGES,cns,"REST IP - SK cells, REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - PFSK-N-SH cells1 cells, Rep 1"
8,SPP,MXI1,PTGES,uterus,MXI1 IP - HeLa cells
9,SPP,EGR1,PTGES,colon,EGR1 IP - HCT116 cells
10,SPP,JUND,PTGES,lung,JUND IP - A549 cells
11,SPP,TP63,PTGES,skin,"TP63 IP, TP63 IP | BANF1 KD, TP63 IP, TP63 IP"
12,SPP,TCF12,PTGES,cns,TCF12 IP - SK-N-SH cells
13,SPP,FOSL1,PTGES,mammarygland,FOSL1 IP
14,SPP,ELF3,PTGES,pancreas,"ELF3 IP | KLF5 KO, ELF3 IP, ELF3 IP"
15,SPP,KLF5,PTGES,pancreas,"ELF3 IP | KLF5 KO, KLF5 IP"
16,SPP,FOS,PTGES,uterus,FOS IP - HeLa cells
17,SPP,NFKB2,PTGES,leukocytes,"NFKB2 IP - Rep 1, NFKB2 IP - Rep 2"
18,SPP,TCF21,PTGES,vasculature,"TCF21 IP, TCF21 IP, TCF21 IP, TCF21 IP"
