,Database,TF,TargetGene,Tissue,Experiment
0,SPP,GATA2,PTGIS,vasculature,GATA2 IP - HUVEC cells
1,SPP,EGR1,PTGIS,leukocytes,EGR1 IP - K562 cells
2,SPP,CEBPB,PTGIS,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
3,SPP,TEAD4,PTGIS,lung,TEAD4 IP - A549 cells
4,SPP,REST,PTGIS,leukocytes,"REST IP - GM12878 cells, Rep 27 , REST IP - GM12878 cells, Rep 15 , REST IP - GM12878 cells, Rep 12 , REST IP - GM12878 cells, Rep 16 , REST IP - GM12878 cells, Rep 4 , REST IP - GM12878 cells, Rep 5 , REST IP - GM12878 cells, Rep 2, REST IP - GM12878 cells, Rep 13 , REST IP - GM12878 cells, Rep 14 , REST IP - GM12878 cells, Rep 10 , REST IP - GM12878 cells, Rep 1, REST IP - GM12878 cells, Rep 7 "
5,SPP,FOXA2,PTGIS,stemcells,"FOXA2 IP - Rep 1 , FOXA2 IP - ES D7, FOXA2 IP - ES D2, FOXA2 IP - Rep 5 "
6,SPP,ZNF143,PTGIS,stemcells,ZNF143 IP - H1 cells
7,SPP,SP1,PTGIS,stemcells,SP1 IP - H1 cells
8,SPP,MAZ,PTGIS,uterus,MAZ IP - HeLa cells
9,SPP,EGR1,PTGIS,colon,EGR1 IP - HCT116 cells
10,SPP,CEBPB,PTGIS,bone,"CEBPB IP, CEBPB IP"
11,SPP,GATA3,PTGIS,cns,GATA3 IP - SK-N-SH cells
12,SPP,FOXA1,PTGIS,mammarygland,"TNF | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D, DEX | FOXA1 ChIP-Seq - Rep 1"
13,SPP,TNF,PTGIS,mammarygland,TNF | FOXA1 ChIP-Seq - Rep 2
