TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
RELA,"ALOX12,ALOX12B,ALOX5,PTGDS,GGT1,PTGIS,PLA2G4A,PTGES",24523406,https://pubmed.ncbi.nlm.nih.gov/24523406/,"ALOX12,ALOX12B,ALOX5,PTGDS,GGT1,PTGIS,PLA2G4A,PTGES",Lung,https://www.jbc.org/article/S0021-9258(20)41510-8/fulltext
ESR1,"CYP1B1,LTA4H",15608294,https://pubmed.ncbi.nlm.nih.gov/15608294/,not found,,
BACH1,"ALOX15,CYP1B1,GGT5,PLA2G4A,CYP1A1,PTGES",22875853,https://pubmed.ncbi.nlm.nih.gov/22875853/,"ALOX15,CYP1B1, GGT5 ,PLA2G4A,CYP1A1,PTGES",Mammary Gland,https://www.jbc.org/article/S0021-9258(20)62856-3/fulltext
ESR2,"CYP1B1,CYP1A1,PTGES",21235772,https://pubmed.ncbi.nlm.nih.gov/21235772/,"CYP1B1,CYP1A1,PTGES",Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-12-36#Abs1
GATA4,"HPGD,ALOX5,GGT1,GPX2,PLA2G4A,PTGR2,PTGES",25053715,https://pubmed.ncbi.nlm.nih.gov/25053715/,not found,,paid https://gut.bmj.com/content/64/5/707
DLX4,CBR1,19119308,https://pubmed.ncbi.nlm.nih.gov/19119308/,CBR1,Mammary Gland,https://www.ijbs.com/v05p0001.htm#headingA2
IRF1,"HPGD,CYP1A1",19129219,https://pubmed.ncbi.nlm.nih.gov/19129219/,"HPGD,CYP1A1",Mammary Gland,https://academic.oup.com/nar/article/37/4/1073/2410148?login=false#82580087
TP63,GPX2,17297297,https://pubmed.ncbi.nlm.nih.gov/17297297/,GPX2,"Skin, Lung, Liver, Pancreas, Stomach",https://www.tandfonline.com/doi/abs/10.4161/cc.6.3.3802
ARNT,"CYP1B1,CYP1A2,TBXAS1,CYP1A1",22903824,https://pubmed.ncbi.nlm.nih.gov/22903824/,"CYP1B1,CYP1A2,TBXAS1,CYP1A1",Mammary Gland,https://academic.oup.com/toxsci/article/130/2/349/1725824
TCF21,"CYP1B1,LTA4H,PTGIS,TBXAS1,CYP1A1,PTGES",26020271,https://pubmed.ncbi.nlm.nih.gov/26020271/,not found,Heart,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005202#sec012
