,Database,TF,TargetGene,Tissue,Experiment
0,SPP,YY1,ACADS,leukocytes,"YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, Rep 2, YY1 IP - K562 cells, YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1"
1,SPP,MAX,ACADS,uterus,"MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells"
2,SPP,MXI1,ACADS,leukocytes,MXI1 IP - GM12878 cells
3,SPP,CREB1,ACADS,liver,"CREB1 IP, CREB1 IP - HepG2 cells"
4,SPP,FOXA1,ACADS,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, EtOH | FOXA1 ChIP-Seq - , FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2"
5,SPP,R1881,ACADS,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1"
6,SPP,GATA2,ACADS,prostate,GATA2 KD + R1881 | FOXA1 ChIP-Seq
7,SPP,GATA2,ACADS,hspcs,GATA2 IP
8,SPP,MYB,ACADS,leukocytes,"MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 2"
9,SPP,MAX,ACADS,leukocytes,"MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - NB4 cells, MAX IP - K562 cells"
10,SPP,FOS,ACADS,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h"
11,SPP,CEBPB,ACADS,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
12,SPP,CTCF,ACADS,leukocytes,"CTCF IP - GM18486 cells, Rep 2 , CTCF IP, CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 2 "
13,SPP,ZNF143,ACADS,leukocytes,ZNF143 IP - GM12878 cells
14,SPP,JUN,ACADS,leukocytes,"JUN IP - K562 cells, Rep 1, JUN IP - K562 cells, Rep 2"
15,SPP,YY1,ACADS,liver,YY1 IP - HepG2 cells
16,SPP,CEBPB,ACADS,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90"
17,SPP,CTCF,ACADS,uterus,CTCF IP - HeLa cells 
18,SPP,EBF1,ACADS,adiposetissue,EBF1 IP
19,SPP,SPI1,ACADS,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP | RUNX1 KD"
20,SPP,CEBPB,ACADS,liver,"CEBPB IP - HepG2 cells, CEBPB IP | FORSK - HepG2 cells, CEBPB ChIP-Seq - HepG2"
21,SPP,TEAD4,ACADS,leukocytes,TEAD4 IP - K562 cells
22,SPP,MYC,ACADS,leukocytes,"MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h"
23,SPP,E2F6,ACADS,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
24,SPP,GATA3,ACADS,cns,"GATA3 IP - SHSY5Y cells, GATA3 IP - SK-N-SH cells"
25,SPP,E2F3,ACADS,colon,E2F3 IP 
26,SPP,E2F1,ACADS,prostate,"BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4"
27,SPP,BICALU,ACADS,prostate,"BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
28,SPP,HES6,ACADS,prostate,"BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
29,SPP,ARID3A,ACADS,leukocytes,ARID3A IP - K562 cells
30,SPP,SMARCC1,ACADS,uterus,SMARCC1 IP - HeLa cells
31,SPP,CEBPB,ACADS,colon,"CEBPB IP - HCT116 cells, CEBPB IP, CEBPB IP | 125DVD3"
32,SPP,YY1,ACADS,stemcells,"YY1 IP - NT2 cells, YY1 IP - H1 cells"
33,SPP,KLF5,ACADS,stomach,KLF5 IP - KATOIII
34,SPP,ZBTB7A,ACADS,leukocytes,ZBTB7A IP - SK-N-SH cells
35,SPP,STAT1,ACADS,leukocytes,"STAT1 IP - Rep 2, STAT1 IP - Rep 5, STAT1 IP - Rep 3, STAT1 IP - Rep 4"
36,SPP,IFNG,ACADS,leukocytes,"STAT1 IP - Rep 2, MYC IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 5, STAT1 IP - Rep 3, STAT1 IP - Rep 4"
37,SPP,SP1,ACADS,stemcells,SP1 IP - H1 cells
38,SPP,MAFK,ACADS,leukocytes,MAFK IP - K562 cells
39,SPP,MAZ,ACADS,leukocytes,"MAZ IP - GM12878 cells, MAZ IP - K562 cells"
40,SPP,JUND,ACADS,colon,JUND IP - HCT116 cells
41,SPP,CEBPB,ACADS,bone,"CEBPB IP, CEBPB IP"
42,SPP,GATA3,ACADS,leukocytes,GATA3 IP
43,SPP,CREB1,ACADS,stemcells,CREB1 IP - H1 cells
44,SPP,GATA4,ACADS,stomach,GATA4 IP - AGS
45,SPP,CREB1,ACADS,leukocytes,CREB1 IP - GM12878 cells
46,SPP,USF1,ACADS,stemcells,USF1 IP - H1 cells
47,SPP,GATA1,ACADS,hspcs,"GATA1 IP - Rep 3, GATA1 IP - Rep 1, GATA1 IP - Rep 2"
48,SPP,CREB1,ACADS,prostate,"CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2"
49,SPP,RELA,ACADS,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA"
50,SPP,BAY082,ACADS,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA"
51,SPP,USF1,ACADS,cns,USF1 IP | ATRA - SK-N-SH cells
52,SPP,ATRA,ACADS,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
53,SPP,GATA2,ACADS,leukocytes,GATA2 IP - K562 cells
54,SPP,YY1,ACADS,cns,"YY1 IP | ATRA - SK-N-SH cells, YY1 IP - SK-N-SH cells"
55,SPP,MAX,ACADS,lung,MAX IP - A549 cells
56,SPP,TAL1,ACADS,leukocytes,TAL1 IP - K562 cells
57,SPP,E2F1,ACADS,uterus,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1"
58,SPP,JUN,ACADS,colon,JUN IP 
59,SPP,TCF21,ACADS,vasculature,"TCF21 IP, TCF21 IP, TCF21 IP"
60,SPP,JUND,ACADS,stemcells,JUND IP - H1 cells
61,SPP,TAL1,ACADS,colon,TAL1 IP 
62,SPP,TFAP4,ACADS,leukocytes,"TFAP4 IP - Rep 2, TFAP4 IP - Rep 1"
63,SPP,LYL1,ACADS,leukocytes,LYL1 IP - Kasumi-1
64,SPP,SP1,ACADS,colon,SP1 IP - HCT116 cells
65,SPP,CTCF,ACADS,mammarygland,CTCF IP - MCF7 cells
66,SPP,ELF3,ACADS,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO"
67,SPP,TBP,ACADS,stemcells,TBP IP - H1 cells
68,SPP,MYC,ACADS,mammarygland,DHT | MYC ChIP-Seq
69,SPP,DHT,ACADS,mammarygland,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq"
