,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,CPT2,lung,"CTCF IP - HPF cells, Rep 1 , CTCF IP - AG04450 cells, Rep 2 , CTCF IP - IMR cells"
1,SPP,STAT1,CPT2,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
2,SPP,IFNG,CPT2,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
3,SPP,ELF3,CPT2,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO"
4,SPP,YY1,CPT2,cns,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
5,SPP,MYB,CPT2,leukocytes,"MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 3, MYB IP - MOLT3"
6,SPP,RUNX1,CPT2,hspcs,RUNX1
7,SPP,ELF1,CPT2,colon,ELF1 IP - HCT116 cells
8,SPP,GATA2,CPT2,cns,GATA2 ChIP-Seq SH-SY5Y
9,SPP,SP1,CPT2,leukocytes,"SP1 IP - GM12878 cells, SP1 IP - K562 cells"
10,SPP,GABPA,CPT2,liver,"GABPA IP - HepG2 cells, GABPA IP, GABPA IP - MCF7 cells, GABPA IP, GABPA IP"
11,SPP,HIF1A,CPT2,bone,HIF1A IP
12,SPP,STAT3,CPT2,leukocytes,"STAT3 IP - SU-DHL-6, STAT3 IP - SU-DHL-4, STAT3 IP - OCI-LY10, STAT3 IP - OCI-LY7, STAT3 IP - U-2932"
13,SPP,ELK1,CPT2,uterus,"ELK1 IP - HeLa, ELK1 IP - HeLa cells"
14,SPP,STAT3,CPT2,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP - MCF10A cells, Rep 1, STAT3 IP - MCF10A cells, Rep 2"
15,SPP,4HT,CPT2,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 36 h, E2F4 IP | 4HT - MCF10 cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h"
16,SPP,ERG,CPT2,prostate,"JQI | ERG ChIP-Seq - Rep 1, DMSO | ERG ChIP-Seq - Rep 2, ERG ChIP-Seq, JQI | ERG ChIP-Seq - Rep 2, DMSO | ERG ChIP-Seq - Rep 1, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
