,Database,TF,TargetGene,Tissue,Experiment
0,SPP,TBP,ECHS1,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells"
1,SPP,YY1,ECHS1,leukocytes,"YY1 IP - GM12892 cells, Rep 1, YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12891 cells"
2,SPP,HMBOX1,ECHS1,lung,HMBOX1 IP
3,SPP,CREB1,ECHS1,liver,"CREB1 IP, CREB1 IP - HepG2 cells"
4,SPP,CTCF,ECHS1,leukocytes,"CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP, CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 1 , CTCF ChIP-Seq - GM12878, CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 "
5,SPP,STAT1,ECHS1,leukocytes,"STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 6, STAT1 IP - Rep 2, STAT1 IP - Rep 5"
6,SPP,IFNG,ECHS1,leukocytes,"STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 6, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 1, STAT1 IP - Rep 2, MYC IP | IFNG - K562 cells, 30 min, IRF1 IP - Rep 3, IRF1 IP - Rep 2, STAT1 IP - Rep 5"
7,SPP,MAFK,ECHS1,liver,"MAFK IP - HepG2 cells, Rep 2, MAFK IP - HepG2 cells, Rep 1"
8,SPP,POU2F2,ECHS1,leukocytes,POU2F2 IP - GM12878 cells
9,SPP,MYB,ECHS1,leukocytes,"MYB IP - MOLT3, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 5"
10,SPP,MAZ,ECHS1,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
11,SPP,GATA2,ECHS1,prostate,"GATA2 ChIP-Seq - Rep 2, GATA2 ChIP-Seq"
12,SPP,HEY1,ECHS1,liver,HEY1 IP - HepG2 cells
13,SPP,MXI1,ECHS1,cns,MXI1 IP - SK-N-SH cells 
14,SPP,BHLHE40,ECHS1,liver,BHLHE40 IP - HepG2 cells
15,SPP,BHLHE40,ECHS1,leukocytes,"BHLHE40 IP - K562 cells, BHLHE40 IP - GM12878 cells"
16,SPP,IRF1,ECHS1,colon,IRF1 IP 
17,SPP,KLF5,ECHS1,stemcells,KLF5 IP - Rep 1 
18,SPP,MAFF,ECHS1,leukocytes,MAFF IP - K562 cells
19,SPP,YY1,ECHS1,cns,"YY1 IP | ATRA - SK-N-SH cells, YY1 IP - SK-N-SH cells"
20,SPP,ATRA,ECHS1,cns,YY1 IP | ATRA - SK-N-SH cells
21,SPP,TAL1,ECHS1,leukocytes,TAL1 IP - K562 cells
22,SPP,MXI1,ECHS1,liver,MXI1 IP - HepG2 cells
23,SPP,GTF2B,ECHS1,lung,GTF2B IP
24,SPP,IRF1,ECHS1,pancreas,IRF1 IP
25,SPP,BCL3,ECHS1,leukocytes,BCL3 IP - GM12878 cells
26,SPP,TBP,ECHS1,stemcells,TBP IP - H1 cells
27,SPP,EGR1,ECHS1,colon,EGR1 IP - HCT116 cells
28,SPP,IRF4,ECHS1,leukocytes,IRF4 IP
29,SPP,ETS1,ECHS1,leukocytes,"ETS1 IP - K562 cells, ETS1 IP"
30,SPP,SPI1,ECHS1,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP"
31,SPP,CEBPB,ECHS1,colon,CEBPB IP | 125DVD3
32,SPP,125DVD3,ECHS1,colon,CEBPB IP | 125DVD3
33,SPP,SRF,ECHS1,colon,SRF IP - HCT116 cells
34,SPP,YY1,ECHS1,liver,YY1 IP - HepG2 cells
