TF,Overlapping_Genes,Pubmed_ID,Genes mentioned in the paper,Tissue,Paper Link
VDR,"HMGCS1,MSMO1,SQLE,DHCR7,FDFT1",20736230,"HMGCS1,MSMO1,SQLE,DHCR7,FDFT1",Leukocytes,https://genome.cshlp.org/content/20/10/1352
CREB1,"IDI1,FDPS,MSMO1,HMGCR,HSD17B7,PMVK,SC5D,MVD",15753290,"IDI1,FDPS,MSMO1,HMGCR,HSD17B7,PMVK,SC5D,MVD","Liver, Pancreas",https://www.pnas.org/doi/full/10.1073/pnas.0501076102
CLOCK,"IDI1,LSS,NSDHL,PMVK,MVD",20551151,"IDI1,LSS,NSDHL,PMVK,MVD",Colon,https://aacrjournals.org/mcr/article/8/7/952/90638/Mutations-in-the-Circadian-Gene-CLOCK-in
E2F4,"IDI1,FDPS,MVK,DHCR24,TM7SF2,PMVK,SC5D,MVD,DHCR7",21247883,"IDI1,FDPS,MVK,DHCR24,TM7SF2,PMVK,SC5D,MVD,DHCR7",Blood,https://academic.oup.com/nar/article/39/9/3558/1243263?login=true
ATF3,"HMGCS1,DHCR24,MSMO1,HSD17B7,LSS,TM7SF2,PLPP6",23680149,"DHCR24,MSMO1,HSD17B7,LSS,TM7SF2,PLPP6",CNS,https://www.cell.com/cancer-cell/fulltext/S1535-6108(13)00133-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1535610813001335%3Fshowall%3Dtrue
EGR1,"IDI1,HMGCS1,GGPS1,CYP51A1,DHCR24,MSMO1,HMGCR,LSS,TM7SF2,SQLE,NSDHL,EBP,MVD,DHCR7",20690147,"IDI1,HMGCS1,GGPS1,CYP51A1,DHCR24,MSMO1,HMGCR,LSS,TM7SF2,SQLE,NSDHL,EBP,MVD,DHCR7",Erythroid lineage,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/elps.201000094
RUNX1,"CYP51A1,DHCR24,HMGCR,SC5D",17652178,"CYP51A1,DHCR24,HMGCR,SC5D",Thymus,https://genesdev.cshlp.org/content/21/15/1882
TFEB,"HMGCR,PMVK,SC5D",21752829,not found,,paid https://academic.oup.com/hmg/article-abstract/20/19/3852/602520?redirectedFrom=fulltext&login=false
GATA1,"FDPS,HMGCS1,DHCR24",19941826,"FDPS,HMGCS1,DHCR24",Erythroid lineage,https://www.cell.com/molecular-cell/fulltext/S1097-2765(09)00814-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276509008144%3Fshowall%3Dtrue
FOXA1,"DHCR24,LSS,TM7SF2,PLPP6,PMVK",25552417,"DHCR24,PLPP6",Prostate,https://academic.oup.com/nar/article/43/2/848/2414789?login=false
ZNF263,SQLE,19887448,SQLE,Erythroid lineage,https://www.sciencedirect.com/science/article/pii/S0021925820588935?via%3Dihub
ELK1,"HMGCS1,GGPS1,HMGCR",19687146,"HMGCS1,GGPS1,HMGCR",Kidney,https://genome.cshlp.org/content/19/11/1963
FOXM1,"GGPS1,PMVK,MVD",25889361,"GGPS1,PMVK,MVD",Esophagus,https://molecular-cancer.biomedcentral.com/articles/10.1186/s12943-015-0339-8
SALL1,GGPS1,21062744,GGPS1,Stem cells,https://www.sciencedirect.com/science/article/pii/S0021925820562911?via%3Dihub#sec1
NANOG,"FDPS,ACAT2,SC5D,DHCR7",16153702,"FDPS,ACAT2,SC5D,DHCR7",Stem cells,https://www.sciencedirect.com/science/article/pii/S0092867405008251?via%3Dihub#sec3
YY1,"IDI1,FDPS,PMVK",22570637,"IDI1,FDPS,PMVK",Skin,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002688
SOX11,"HMGCR,PLPP6,SQLE",23321250,"HMGCR,PLPP6,SQLE",Lymph node,https://ashpublications.org/blood/article/121/12/2175/31453/SOX11-regulates-PAX5-expression-and-blocks
CUX1,"MVK,CYP51A1,HMGCR,HSD17B7,EBP,FDFT1",19635798,"MVK,CYP51A1,HMGCR,HSD17B7,EBP,FDFT1",Lung,https://www.sciencedirect.com/science/article/pii/S0021925820384398?via%3Dihub
FOXA2,"IDI1,MVK,DHCR24,HMGCR,SC5D,FDFT1",19822575,"IDI1,MVK,DHCR24,HMGCR,SC5D,FDFT1",Liver,https://academic.oup.com/nar/article/37/22/7498/2410146?login=true
SPI1,"HMGCS1,GGPS1,DHCR24,PLPP6,SQLE,PMVK",23547873,"HMGCS1,GGPS1,DHCR24,PLPP6,SQLE,PMVK",Bone Marrow,https://jhoonline.biomedcentral.com/articles/10.1186/1756-8722-6-25
FOXO3,"DHCR24,DHCR7",23340844,DHCR24,skeletal muscle,https://www.embopress.org/doi/full/10.1038/msb.2012.74
GATA2,"GGPS1,DHCR24",21666600,"GGPS1,DHCR24",Vasculature,https://www.embopress.org/doi/full/10.1038/emboj.2011.173#sec-1
ELK3,"FDPS,GGPS1,PMVK,FDFT1",25401928,not found,Vasculature,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113050
SALL4,"GGPS1,MSMO1,NSDHL",22934838,"GGPS1,MSMO1,NSDHL",Bone Marrow,https://onlinelibrary.wiley.com/doi/10.1111/j.1537-2995.2012.03888.x
JUN,"IDI1,MSMO1,MVD",21703547,not found,,paid https://www.sciencedirect.com/science/article/abs/pii/S1673852711000890?via%3Dihub
AR,ACAT2,21909140,ACAT2,Prostate,https://www.nature.com/articles/onc2011401
HIF1A,DHCR7,21447827,DHCR7,Mammary Gland,https://ashpublications.org/blood/article/117/23/e207/22454/High-resolution-genome-wide-mapping-of-HIF-binding
ELF1,"IDI1,PLPP6",20517297,not found,Prostate,https://www.embopress.org/doi/full/10.1038/emboj.2010.106
HNF4A,"HMGCS1,DHCR24",19761587,"HMGCS1,DHCR24","Colon, Duodenum, lleum, Jejunum, Rectum",https://bmcgastroenterol.biomedcentral.com/articles/10.1186/1471-230X-9-68
