,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,FDPS,leukocytes,"CTCF IP - GM19193 cells, Rep 1 , CTCF IP - K562 cells , CTCF IP, CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM07346 cells, CTCF IP -  DND , CTCF IP - GM18526 cells, Rep 1 , CTCF IP - K562 cells, Rep 12 , CTCF IP - F36P cells, Rep 2 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 5 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - F36P cells, Rep 15 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - K562 cells, Rep 2 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - F36P cells, Rep 10 , CTCF IP - GM12154 cells, Rep 2, CTCF IP - GM11831 cells, CTCF IP - GM12871 cells , CTCF IP - F36P cells, Rep 5 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - K562 cells, Rep 1 , CTCF IP - F36P cells, Rep 6 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - UT-7 cells, Rep 3 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - GM10847 cells, Rep 2 , CTCF IP - K562 cells, Rep 11 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12869 cells , CTCF IP - UT-7 cells, Rep 2 , CTCF IP - GM12865 cells, Rep 3 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - F36P cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM11881 cells, CTCF IP - GM18951 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - F36P cells, Rep 11 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM06986 cells, CTCF IP - K562 cells, Rep 16 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 2 , CTCF IP - K562 cells, CTCF IP - UT-7 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - F36P cells, Rep 17 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM12866 cells , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM12828 cells, CTCF IP - F36P cells, Rep 19 , CTCF IP - GM12868 cells , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - GM12878 cells , CTCF IP - F36P cells, Rep 7 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 2, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - K562 cells, Rep 15 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12867 cells , CTCF IP - GM12870 cells , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - F36P cells, Rep 18 , CTCF IP - GM11811 cells, Rep 1, CTCF IP - CD14+ cells , CTCF IP - HeLa cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - F36P cells, Rep 14 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP -  CD20+ cells , CTCF IP - MS1 cells, Rep 4 , CTCF IP - K562 cells, CTCF IP - NB4 cells , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - F36P cells, Rep 13 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM18951 cells, Rep 2 "
1,SPP,FLI1,FDPS,hspcs,FLI1 IP
2,SPP,FOXA2,FDPS,embryonictissue,FOXA2 IP - Rep 2
3,SPP,SRF,FDPS,mammarygland,SRF IP - MCF7 cells
4,SPP,ZNF143,FDPS,kidney,ZNF143 IP - HEK293-T-rex
5,SPP,RBPJ,FDPS,leukocytes,"RBPJ IP | COMPE, RBPJ IP | COMPE - wash"
6,SPP,COMPE,FDPS,leukocytes,"RBPJ IP | COMPE, RBPJ IP | COMPE - wash"
7,SPP,FOXP2,FDPS,cns,"FOXP2 IP - PFSK-1 cells, FOXP2 IP - SK cells"
8,SPP,CTCF,FDPS,liver,"CTCF IP - HepG2 cells, Rep 2 , CTCF IP - HepG2 cells, Rep 1 , CTCF IP - SK-N-SH cells, CTCF IP, CTCF IP - HepG2 cells "
9,SPP,GABPA,FDPS,liver,"GABPA IP, GABPA IP - MCF7 cells, GABPA IP, GABPA IP - HepG2 cells, GABPA IP"
