,Database,TF,TargetGene,Tissue,Experiment
0,SPP,SP1,IDI1,liver,SP1 IP - HepG2 cells
1,SPP,HMGN3,IDI1,leukocytes,HMGN3 IP - K562 cells
2,SPP,ELF3,IDI1,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO"
3,SPP,SPI1,IDI1,leukocytes,"SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP - GM12891 cells, SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 10 , SPI1 IP - U-937 cells, Rep 2 , SPI1 IP"
4,SPP,E2F8,IDI1,colon,E2F8 IP 
5,SPP,MYC,IDI1,mammarygland,"DHT | MYC ChIP-Seq, MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells"
6,SPP,DHT,IDI1,mammarygland,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | TCF7L2 ChIP-Seq"
7,SPP,KLF11,IDI1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 2"
8,SPP,ROSI,IDI1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
9,SPP,FOS,IDI1,uterus,FOS IP - HeLa cells
10,SPP,IRF1,IDI1,colon,IRF1 IP 
11,SPP,CEBPB,IDI1,colon,"CEBPB IP, CEBPB IP - HCT116 cells, CEBPB IP | 125DVD3"
12,SPP,SRF,IDI1,mammarygland,SRF IP - MCF7 cells
13,SPP,TBP,IDI1,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells"
14,SPP,GATA4,IDI1,stomach,GATA4 IP - AGS
15,SPP,MAZ,IDI1,leukocytes,"MAZ IP - GM12878 cells, MAZ IP - K562 cells"
16,SPP,JUN,IDI1,leukocytes,"JUN IP - K562 cells, Rep 2, JUN IP - K562 cells, Rep 1"
17,SPP,USF1,IDI1,cns,"USF1 IP | ATRA - SK-N-SH cells, USF1 IP - SK-N-SH cells"
18,SPP,ATRA,IDI1,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
19,SPP,HEY1,IDI1,liver,HEY1 IP - HepG2 cells
20,SPP,SP1,IDI1,leukocytes,"SP1 IP - GM12878 cells, SP1 IP - K562 cells"
21,SPP,YY1,IDI1,lung,YY1 IP - A549 cells
22,SPP,E2F6,IDI1,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
23,SPP,TEAD4,IDI1,stemcells,TEAD4 IP - H1 cells
24,SPP,TP73,IDI1,bone,"TP73 IP - alpha isoform, Rep 1, TP73 IP - beta isoform, Rep 1, TP73 IP - beta isoform, Rep 2"
25,SPP,USF1,IDI1,stemcells,USF1 IP - H1 cells
26,SPP,E2F1,IDI1,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4"
27,SPP,BICALU,IDI1,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
28,SPP,ELF1,IDI1,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
29,SPP,MAZ,IDI1,uterus,MAZ IP - HeLa cells
30,SPP,CTCF,IDI1,leukocytes,"CTCF IP - GM12866 cells , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM12878 cells , CTCF IP - GM18526 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM12868 cells , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - CD14+ cells , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12874 cells, Rep 1 , CTCF ChIP-Seq - GM12878, CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM12867 cells , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP, CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12864 cells, Rep 2 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM12871 cells , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 1 "
31,SPP,YY1,IDI1,leukocytes,"YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1, YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12891 cells, YY1 IP - K562 cells"
32,SPP,GTF2B,IDI1,uterus,"GTF2B IP - Rep 2, GTF2B IP - Rep 3, GTF2B IP - DTT, Rep 1"
33,SPP,TAL1,IDI1,leukocytes,TAL1 IP - K562 cells
34,SPP,USF2,IDI1,liver,USF2 IP - HepG2 cells
35,SPP,TP53,IDI1,lung,"TP53 IP - propapoptic, Rep 1, TP53 IP - senescent, Rep 2"
36,SPP,RUNX1,IDI1,leukocytes,"RUNX1 IP - Rep 2, SPI1 IP | RUNX1 KD, RUNX1 IP - N terminus 1, RUNX1 IP - N terminus 2, RUNX1 IP, RUNX1 IP"
37,SPP,RELA,IDI1,leukocytes,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12892 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM19099 cells, RELA IP - IVD Th1 cells, PIA, RELA IP | TNF - GM12891 cells"
38,SPP,TNF,IDI1,leukocytes,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM12891 cells"
39,SPP,REST,IDI1,cns,"REST IP - PFSK1 cells, Rep 2, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - SK cells, REST IP - SK-N-SH cells, REST IP - U87 cells"
40,SPP,FOXA2,IDI1,liver,FOXA2 IP - HepG2 cells
41,SPP,FOS,IDI1,mammarygland,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP - MCF10A cells"
42,SPP,4HT,IDI1,mammarygland,"FOS IP | 4HT - MCF10A cells, 36 h, MYC IP | 4HT - MCF10A cells, E2F4 IP | 4HT - MCF10 cells, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h"
43,SPP,SREBF2,IDI1,leukocytes,SREBF2 IP - GM12878 cells
44,SPP,TP63,IDI1,skin,"TP63 IP, TP63 IP | BANF1 KD, TP63 IP - Adriam, Rep 1, TP63 IP, TP63 IP"
45,SPP,IRF1,IDI1,pancreas,IRF1 IP
46,SPP,FOXA1,IDI1,mammarygland,"DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
47,SPP,FOSL2,IDI1,cns,FOSL2 IP - SK-N-SH cells
48,SPP,CREB1,IDI1,prostate,"CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl, CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2"
49,SPP,FOXA1,IDI1,prostate,"FOXA1 ChIP-Seq - LNCaP, FOXA1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP-abl, FOXA1 KD | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq - C4- Rep 2B, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, EtOH | FOXA1 ChIP-Seq - Rep 2, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, POU2F1 KD + DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq"
50,SPP,ELK1,IDI1,uterus,ELK1 IP - HeLa cells
51,SPP,FOS,IDI1,leukocytes,"FOS IP - K562 cells, FOS IP - GM12878 cells"
52,SPP,GABPA,IDI1,liver,"GABPA IP, GABPA IP, GABPA IP, GABPA IP - MCF7 cells, GABPA IP - HepG2 cells"
53,SPP,MXI1,IDI1,lung,MXI1 IP - IMR cells
54,SPP,TCF12,IDI1,lung,TCF12 IP - A549 cells
55,SPP,CTCF,IDI1,stemcells,"CTCF IP - H1 cells, CTCF IP - H1 cells "
56,SPP,ELF1,IDI1,lung,ELF1 IP - A549 cells
57,SPP,JUN,IDI1,mammarygland,"JUN IP - Rep 2, JUN IP, JUN IP | CPDA, JUN IP | DEX, JUN IP - Rep 1"
58,SPP,TP53,IDI1,bone,"TP53 IP | TP53EE/RR OE, TP53 IP - Rep 2, TP53 IP | TP53 OE"
59,SPP,USF1,IDI1,leukocytes,"USF1 IP - GM12878 cells, USF1 IP - K562 cells"
60,SPP,MAX,IDI1,uterus,"MAX IP - HeLa cells, Rep 2, MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells"
61,SPP,MYC,IDI1,leukocytes,"MYC IP - K562 cells, Rep 1, MYC IP - NB4 cells, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min"
62,SPP,RELA,IDI1,adiposetissue,"RELA IP, RELA IP"
63,SPP,STAT3,IDI1,leukocytes,"STAT3 IP - U-2932, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY19, STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-2, STAT3 IP - OCI-LY7"
64,SPP,MAX,IDI1,colon,MAX IP - HCT116 cells
65,SPP,GABPA,IDI1,leukocytes,"GABPA IP - HL cells, GABPA IP - GM12878 cells, Rep 2 , GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, GABPA IP - K562 cells, GABPA IP - GM12878 cells, Rep 5 , GABPA IP - GM12878 cells, Rep 4 , GABPA IP, GABPA IP - GM12878 cells, Rep 1 , GABPA IP - GM12878 cells, Rep 3 , GABPA IP - Jurkat, Rep 1"
66,SPP,IRF1,IDI1,leukocytes,"IRF1 IP - Rep 1, IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP - Rep 3, IRF1 IP - Rep 2, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min"
