,Database,TF,TargetGene,Tissue,Experiment
0,SPP,POU2F2,MSMO1,leukocytes,"POU2F2 IP - GM12878 cells, POU2F2 IP - Rep 2"
1,SPP,CTCF,MSMO1,lung,"CTCF IP - SAEC cells, Rep 2 "
2,SPP,CEBPB,MSMO1,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
3,SPP,JUND,MSMO1,colon,JUND IP - HCT116 cells
4,SPP,IRF1,MSMO1,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 3, IRF1 IP - Rep 4, IRF1 IP - Rep 2, IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP - Rep 1"
5,SPP,IFNG,MSMO1,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 1, STAT1 IP - Rep 5, IRF1 IP - Rep 3, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3, JUN IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 4, MYC IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 2, IRF1 IP - Rep 1, JUN IP | IFNG - K562 cells, 30 min"
6,SPP,CEBPB,MSMO1,uterus,"CEBPB IP - ECC1 cells, CEBPB ChIP-Seq - HeLaS3"
7,SPP,FOXA1,MSMO1,prostate,"CON KD  | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, EtOH | FOXA1 ChIP-Seq - , FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - LNCaP-abl, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - LNCaP, FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2"
8,SPP,DHT,MSMO1,prostate,"DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq"
9,SPP,RUNX1,MSMO1,leukocytes,"RUNX1 IP, RUNX1 IP - Rep 2, SPI1 IP | RUNX1 KD"
10,SPP,SPI1,MSMO1,leukocytes,"SPI1 IP - GM12878 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - K562 cells, SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP - U-937 cells, Rep 1 "
11,SPP,MAX,MSMO1,leukocytes,"MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - NB4 cells, MAX IP - K562 cells"
12,SPP,JUN,MSMO1,leukocytes,"JUN IP - K562 cells, Rep 2, JUN IP | IFNA1-13 - 30 min , JUN IP | IFNG - K562 cells, 6 h, JUN IP | IFNA1-13 - K562 cells, 6 h, JUN IP - K562 cells, Rep 1, JUN IP | IFNG - K562 cells, 30 min"
13,SPP,CREB1,MSMO1,prostate,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl, CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2"
14,SPP,STAT3,MSMO1,leukocytes,"STAT3 IP - OCI-LY19, STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY7, STAT3 IP - OCI-LY10"
15,SPP,EGR1,MSMO1,leukocytes,"EGR1 IP - K562 cells, EGR1 IP - GM12878 cells, Rep 1"
16,SPP,MTA3,MSMO1,leukocytes,MTA3 IP - GM12878 cells
17,SPP,JUND,MSMO1,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
18,SPP,MYB,MSMO1,leukocytes,"MYB IP - Jurkat, Rep 5, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3"
19,SPP,NFKB2,MSMO1,leukocytes,"NFKB2 IP - Rep 1, NFKB2 IP - Rep 2"
20,SPP,MYC,MSMO1,leukocytes,"MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNA1 - K562 cells, 6 h, MYC IP - K562 cells, Rep 2, MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 6 h"
21,SPP,REST,MSMO1,cns,"REST IP - PFSK1 cells, Rep 2, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - SK cells, REST IP - U87 cells"
22,SPP,STAT1,MSMO1,leukocytes,"STAT1 IP - Rep 1, STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
23,SPP,E2F1,MSMO1,prostate,"BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
24,SPP,BICALU,MSMO1,prostate,"BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 4, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
25,SPP,HES6,MSMO1,prostate,"BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
26,SPP,E2F1,MSMO1,uterus,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1"
27,SPP,SP1,MSMO1,stemcells,"SP1 IP - H1 cells, SP1 IP - Rep 1 , SP1 IP - Rep 2 "
28,SPP,MXI1,MSMO1,lung,MXI1 IP - IMR cells
29,SPP,MXI1,MSMO1,stemcells,MXI1 IP - H1 cells
30,SPP,NFYB,MSMO1,uterus,NFYB IP - HeLa cells
31,SPP,NFYB,MSMO1,leukocytes,"NFYB IP - GM12878 cells, NFYB IP - K562 cells"
32,SPP,FOS,MSMO1,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 36 h"
33,SPP,MAX,MSMO1,lung,MAX IP - A549 cells
34,SPP,MAX,MSMO1,uterus,"MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1"
35,SPP,USF1,MSMO1,cns,USF1 IP | ATRA - SK-N-SH cells
36,SPP,ATRA,MSMO1,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
37,SPP,GATA2,MSMO1,cns,GATA2 ChIP-Seq SH-SY5Y
38,SPP,MAFK,MSMO1,lung,MAFK IP - IMR cells
39,SPP,TEAD4,MSMO1,stemcells,TEAD4 IP - H1 cells
40,SPP,GABPA,MSMO1,leukocytes,"GABPA IP - GM12878 cells, Rep 4 , GABPA IP - K562 cells, GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, Rep 2 "
41,SPP,BARX1,MSMO1,colon,BARX1 IP - Rep 1 
42,SPP,CEBPB,MSMO1,lung,CEBPB ChIP-Seq - IMR90
43,SPP,FOXA1,MSMO1,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
44,SPP,R1881,MSMO1,prostate,"R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
45,SPP,CREB1,MSMO1,stemcells,CREB1 IP - H1 cells
46,SPP,MAFK,MSMO1,uterus,MAFK IP - HeLa cells
47,SPP,ELF1,MSMO1,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
48,SPP,4HT,MSMO1,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, E2F4 IP | 4HT - MCF10 cells, STAT3 IP | 4HT - MCF10 cells, 36 h, FOS IP | 4HT - MCF10A cells, 36 h"
49,SPP,JUN,MSMO1,uterus,JUN IP - HeLa cells
50,SPP,ATF1,MSMO1,leukocytes,ATF1 IP - K562 cells
51,SPP,CTCF,MSMO1,leukocytes,"CTCF IP - MS1 cells, Rep 3 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM12878 cells , CTCF IP - GM12870 cells , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM19239 cells, Rep 1 , CTCF ChIP-Seq - GM12878, CTCF IP - GM12878 cells, Rep 2 , CTCF IP, CTCF IP - HL , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 "
52,SPP,MAZ,MSMO1,lung,MAZ IP - IMR cells
53,SPP,YY1,MSMO1,cns,"YY1 IP | ATRA - SK-N-SH cells, YY1 IP - SK-N-SH cells"
54,SPP,MAFK,MSMO1,leukocytes,MAFK IP - K562 cells
55,SPP,MAX,MSMO1,liver,"MAX IP - MCF7 cells, MAX IP - HepG2 cells, MAX IP - HepG2 cells"
56,SPP,TP53,MSMO1,lung,"TP53 IP - propapoptic, Rep 1"
57,SPP,SP1,MSMO1,leukocytes,"SP1 IP - K562 cells, SP1 IP - GM12878 cells"
58,SPP,REST,MSMO1,stemcells,"REST IP - H1 cells, Rep 2, REST IP - H1 cells, Rep 1"
59,SPP,RBPJ,MSMO1,leukocytes,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
60,SPP,COMPE,MSMO1,leukocytes,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
61,SPP,SREBF2,MSMO1,pancreas,SREBF2 IP
62,SPP,HEY1,MSMO1,leukocytes,HEY1 IP - K562 cells
63,SPP,SP1,MSMO1,lung,SP1 IP - A549 cells
64,SPP,KLF11,MSMO1,adiposetissue,"KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
65,SPP,FOSL2,MSMO1,mammarygland,FOSL2 IP - MCF7 cells
66,SPP,ATF3,MSMO1,leukocytes,ATF3 IP - K562 cells
67,SPP,ETS1,MSMO1,leukocytes,"ETS1 IP - K562 cells, ETS1 IP"
68,SPP,RELA,MSMO1,adiposetissue,"RELA IP, RELA IP, RELA IP"
69,SPP,TBP,MSMO1,leukocytes,TBP IP - K562 cells
70,SPP,SP1,MSMO1,liver,SP1 IP - HepG2 cells
71,SPP,IFNA1,MSMO1,leukocytes,"MYC IP | IFNA1 - K562 cells, 6 h, JUN IP | IFNA1-13 - 30 min , JUN IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h"
72,SPP,FOS,MSMO1,leukocytes,"FOS IP - GM12878 cells, FOS IP - K562 cells"
