,Database,TF,TargetGene,Tissue,Experiment
0,SPP,MYC,MVK,bone,"MYC IP, MYC IP, MYC IP"
1,SPP,NFYA,MVK,leukocytes,"NFYA IP - K562 cells, NFYA IP - GM12878 cells"
2,SPP,ATF3,MVK,leukocytes,"ATF3 IP - K562 cells, ATF3 IP - GM12878 cells"
3,SPP,USF2,MVK,leukocytes,"USF2 IP - K562 cells, USF2 IP - GM12878 cells"
4,SPP,REST,MVK,lung,REST IP - A549 cells
5,SPP,ATF3,MVK,colon,"ATF3 IP - HCT116 cells, ATF3 IP, ATF3 IP | CAMPTO"
6,SPP,MYC,MVK,mammarygland,"MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq, MYC IP, MYC IP | 4HT - MCF10A cells"
7,SPP,ZEB1,MVK,liver,ZEB1 IP - HepG2 cells
8,SPP,FOXA1,MVK,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
9,SPP,DEX,MVK,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1"
10,SPP,MYB,MVK,leukocytes,"MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 3"
11,SPP,YY1,MVK,colon,YY1 IP - HCT116 cells
12,SPP,ATF2,MVK,leukocytes,ATF2 IP - GM12878 cells
