,Database,TF,TargetGene,Tissue,Experiment
0,SPP,SPI1,KDSR,leukocytes,"SPI1 IP - U-937 cells, Rep 2 , SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP - U-937 cells, Rep 6 , SPI1 IP - U-937 cells, Rep 4 , SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP - U-937 cells, Rep 5 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 "
1,SPP,CREB1,KDSR,lung,"CREB1 IP | DEX - A549 cells, CREB1 IP - A549 cells, Rep 2"
2,SPP,DEX,KDSR,lung,"CREB1 IP | DEX - A549 cells, FOXA1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells"
3,SPP,FOXA1,KDSR,lung,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells"
4,SPP,FOXA1,KDSR,stemcells,"FOXA1 IP - ES D10, FOXA1 IP - ES D7, FOXA1 IP - Rep 5 "
5,SPP,STAT1,KDSR,leukocytes,"STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 6, STAT1 IP - Rep 2, STAT1 IP | IFNG - K562 cells, 6 h, STAT1 IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5"
6,SPP,IFNG,KDSR,leukocytes,"STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 6, STAT1 IP - Rep 2, STAT1 IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 2, IRF1 IP - Rep 1, IRF1 IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 3, STAT1 IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5"
7,SPP,CEBPB,KDSR,lung,"CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells, CEBPB ChIP-Seq - A549"
8,SPP,ELF1,KDSR,lung,ELF1 IP - A549 cells
9,SPP,JUND,KDSR,mammarygland,"JUND IP - T47D cells, JUND IP - MCF7 cells"
10,SPP,GTF2F1,KDSR,uterus,GTF2F1 IP - HeLa cells
11,SPP,ELK1,KDSR,leukocytes,"ELK1 IP - GM12878 cells, ELK1 IP - K562 cells"
12,SPP,MYC,KDSR,leukocytes,"MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 30 min"
13,SPP,TCF7L2,KDSR,uterus,TCF7L2 IP - HeLa cells
14,SPP,FOXA1,KDSR,mammarygland,"17BE2 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 2"
15,SPP,17BE2,KDSR,mammarygland,"17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
16,SPP,FOSL2,KDSR,cns,FOSL2 IP - SK-N-SH cells
17,SPP,E2F1,KDSR,prostate,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1"
18,SPP,BICALU,KDSR,prostate,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3"
19,SPP,HES6,KDSR,prostate,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1"
20,SPP,CTCF,KDSR,colon,CTCF IP - HCT116 cells
21,SPP,FOXP1,KDSR,colon,FOXP1 IP 
22,SPP,KLF11,KDSR,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1"
23,SPP,ROSI,KDSR,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1"
24,SPP,SRF,KDSR,leukocytes,"SRF IP - SK-N-SH cells, SRF IP - K562 cells, SRF IP - GM12878 cells, Rep 2"
25,SPP,REST,KDSR,leukocytes,"REST IP - GM12878 cells, Rep 2, REST IP - K562 cells, REST IP - HL60 cells"
26,SPP,FOS,KDSR,mammarygland,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP - MCF10A cells"
27,SPP,4HT,KDSR,mammarygland,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h, E2F4 IP | 4HT - MCF10 cells"
28,SPP,CREB1,KDSR,liver,"CREB1 IP, CREB1 IP - HepG2 cells, CREB1 IP"
29,SPP,DEX,KDSR,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2"
30,SPP,CEBPA,KDSR,leukocytes,"CEBPA IP - U-937 cells, Rep 2 , CEBPA IP"
31,SPP,JUN,KDSR,mammarygland,"JUN IP - Rep 2, JUN IP, JUN IP | CPDA, JUN IP - Rep 1"
32,SPP,MAX,KDSR,vasculature,MAX IP - HUVEC cells
33,SPP,TP53,KDSR,mammarygland,"TP53 IP | NUTL3 - MCF-7, TP53 IP"
34,SPP,PRDM1,KDSR,stemcells,"PRDM1 IP - Rep 1 , PRDM1 IP - Rep 3 , PRDM1 IP - Rep 2 "
35,SPP,GABPA,KDSR,leukocytes,"GABPA IP - GM12878 cells, Rep 4 , GABPA IP - Jurkat, Rep 1, GABPA IP - HL cells, GABPA IP - Jurkat, Rep 2"
36,SPP,FOXM1,KDSR,mammarygland,"FOXM1 IP | THSP - DS006, FOXM1 IP | THSP - DS008, FOXM1 IP - MCF7 cells"
37,SPP,CEBPB,KDSR,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
38,SPP,MAFK,KDSR,lung,MAFK IP - IMR cells
39,SPP,MAZ,KDSR,liver,MAZ IP - HepG2 cells
40,SPP,GATA4,KDSR,stomach,GATA4 IP - AGS
41,SPP,TEAD4,KDSR,colon,TEAD4 IP - HCT116 cells
42,SPP,SP1,KDSR,lung,SP1 IP - A549 cells
43,SPP,JUN,KDSR,vasculature,"JUN IP - HUVEC cells, JUN IP"
44,SPP,FOXA1,KDSR,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD  | FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, EtOH | FOXA1 ChIP-Seq - , DHT | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - LNCaP-abl, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
45,SPP,R1881,KDSR,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, GABPA IP | R1881, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
46,SPP,GABPA,KDSR,stemcells,GABPA IP - H1 cells
47,SPP,FOXM1,KDSR,uterus,FOXM1 IP - ECC1 cells
48,SPP,FOSL1,KDSR,colon,FOSL1 IP - HCT116 cells
49,SPP,MTA3,KDSR,leukocytes,MTA3 IP - GM12878 cells
50,SPP,REST,KDSR,stemcells,"REST IP - H1 cells, Rep 1"
51,SPP,PRDM1,KDSR,uterus,PRDM1 IP - HeLa cells
52,SPP,REST,KDSR,cns,"REST IP - U87 cells, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - SK-N-SH cells, REST IP - SK cells, REST IP - PFSK1 cells, Rep 2"
53,SPP,E2F6,KDSR,lung,E2F6 IP - A549 cells
54,SPP,PAX5,KDSR,leukocytes,"PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12878 cells, Rep 2"
55,SPP,SP1,KDSR,leukocytes,"SP1 IP - K562 cells, SP1 IP - GM12878 cells"
56,SPP,TCF3,KDSR,leukocytes,TCF3 IP - GM12878 cells
57,SPP,FOXA2,KDSR,stemcells,"FOXA2 IP - ES D10, FOXA2 IP - ES D7, FOXA2 IP - ES D5, FOXA2 IP - Rep 5 , FOXA2 IP - ES D2"
58,SPP,ZBTB7A,KDSR,liver,ZBTB7A IP - HepG2 cells
59,SPP,STAT3,KDSR,mammarygland,"STAT3 IP - MCF10A cells, Rep 1, STAT3 IP - MCF10A cells, Rep 2, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h"
60,SPP,ERG,KDSR,prostate,"JQI | ERG ChIP-Seq - Rep 1, DMSO | ERG ChIP-Seq - Rep 2, ERG ChIP-Seq, JQI | ERG ChIP-Seq - Rep 2, DMSO | ERG ChIP-Seq - Rep 1, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
61,SPP,JQ1,KDSR,prostate,"JQI | ERG ChIP-Seq - Rep 1, JQI | ERG ChIP-Seq - Rep 2"
62,SPP,MYC,KDSR,mammarygland,"DHT | MYC ChIP-Seq, MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells"
63,SPP,DHT,KDSR,mammarygland,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq"
64,SPP,EGR1,KDSR,liver,EGR1 IP - MCF7 cells
65,SPP,STAT5B,KDSR,leukocytes,"STAT5B IP | IL2 - Rep 2, STAT5B IP | IL2 - Rep 2, STAT5B IP | H9, Rep 2, STAT5B IP | H9, Rep 2"
66,SPP,IL2,KDSR,leukocytes,"STAT5B IP | IL2 - Rep 2, STAT5B IP | IL2 - Rep 2"
67,SPP,MAX,KDSR,cns,MAX IP - SK-N-SH cells
68,SPP,JUND,KDSR,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
69,SPP,RELA,KDSR,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM12891 cells"
70,SPP,BAY082,KDSR,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA"
71,SPP,TP63,KDSR,skin,TP63 IP
72,SPP,FOXA1,KDSR,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
73,SPP,TBP,KDSR,uterus,TBP IP - HeLa cells
74,SPP,ELF3,KDSR,pancreas,"ELF3 IP | KLF5 KO, ELF3 IP, ELF3 IP"
75,SPP,KLF5,KDSR,pancreas,"ELF3 IP | KLF5 KO, KLF5 IP, FOXA1 IP | KLF5 KO"
76,SPP,JUN,KDSR,colon,JUN IP 
77,SPP,ELF1,KDSR,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
78,SPP,BHLHE40,KDSR,leukocytes,"BHLHE40 IP - K562 cells, BHLHE40 IP - GM12878 cells"
79,SPP,CTCF,KDSR,leukocytes,"CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP, CTCF IP - MS1 cells, Rep 2 , CTCF IP -  DND "
80,SPP,E2F1,KDSR,uterus,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1"
81,SPP,ZNF143,KDSR,stemcells,ZNF143 IP - H1 cells
82,SPP,GLI2,KDSR,colon,GLI2 IP 
83,SPP,USF1,KDSR,liver,USF1 IP - HepG2 cells
84,SPP,REST,KDSR,lung,REST IP - A549 cells
85,SPP,PIAS1,KDSR,prostate,PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1
86,SPP,SATB1,KDSR,liver,SATB1 IP
