,Database,TF,TargetGene,Tissue,Experiment
0,SPP,MYC,SPTLC3,mammarygland,"MYC IP - MCF-10A cells, MYC IP | 4HT - MCF10A cells"
1,SPP,FOXA1,SPTLC3,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
2,SPP,CEBPB,SPTLC3,colon,"CEBPB IP, CEBPB IP | 125DVD3"
3,SPP,JUN,SPTLC3,vasculature,"JUN IP, JUN IP - HUVEC cells"
4,SPP,CREB1,SPTLC3,prostate,"CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl"
5,SPP,MAFK,SPTLC3,liver,"MAFK IP - HepG2 cells, Rep 2, MAFK IP - HepG2 cells, Rep 1"
6,SPP,ATF2,SPTLC3,colon,ATF2 IP 
7,SPP,FOS,SPTLC3,uterus,FOS IP - HeLa cells
8,SPP,RELA,SPTLC3,leukocytes,"RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM12891 cells"
9,SPP,TNF,SPTLC3,leukocytes,"RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12891 cells"
10,SPP,TAL1,SPTLC3,colon,TAL1 IP 
11,SPP,POU2F2,SPTLC3,leukocytes,"POU2F2 IP | POU2F2 Mut OE, POU2F2 IP - GM12878 cells"
12,SPP,IKZF1,SPTLC3,leukocytes,IKZF1 IP - GM12878 cells
13,SPP,FOXP1,SPTLC3,prostate,DHT | FOXP1 ChIP-Seq
14,SPP,DHT,SPTLC3,prostate,"DHT | FOXP1 ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, POU2F1 KD + DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq - C4- Rep 2B, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | NKX3-1 ChIP-Seq"
15,SPP,CTCF,SPTLC3,mammarygland,"CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMEC cells, Rep 2 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - T47D cells, CTCF IP - MCF7 cells, CTCF IP - HMEC cells, Rep 1 "
16,SPP,CTCF,SPTLC3,colon,"CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - Caco "
17,SPP,TEAD4,SPTLC3,uterus,TEAD4 IP - ECC1 cells
18,SPP,SPI1,SPTLC3,leukocytes,"SPI1 IP - GM12878 cells, Rep 5 , SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP - U-937 cells, Rep 6 , SPI1 IP, SPI1 IP - U-937 cells, Rep 5 , SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP - GM12878 cells, Rep 1 , SPI1 IP | RUNX1 KD, SPI1 IP - U-937 cells, Rep 8 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP - GM12878 cells, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP - U-937 cells, Rep 3 , SPI1 IP - HL-60 cells, Rep 2 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - K562 cells, SPI1 IP, SPI1 IP - HL-60 cells, Rep 1 , SPI1 IP - U-937 cells, Rep 10 , SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 2 , SPI1 IP - HL-60 cells, Rep 3 , SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP"
19,SPP,ATF2,SPTLC3,leukocytes,ATF2 IP - GM12878 cells
20,SPP,USF2,SPTLC3,uterus,USF2 IP - HeLa cells
21,SPP,FOXA1,SPTLC3,lung,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells"
22,SPP,BHLHE40,SPTLC3,leukocytes,BHLHE40 IP - GM12878 cells
23,SPP,CTCF,SPTLC3,cns,"CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - cerebellar astrocyte cells, Rep 2 "
24,SPP,GATA3,SPTLC3,mammarygland,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells"
25,SPP,MAX,SPTLC3,liver,MAX IP - HepG2 cells
26,SPP,CTCF,SPTLC3,leukocytes,"CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP -  DND , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - HL-60 cells, Rep 7 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - HL-60 cells, Rep 9 "
27,SPP,FOS,SPTLC3,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h"
28,SPP,4HT,SPTLC3,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h, E2F4 IP | 4HT - MCF10 cells, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h"
29,SPP,USF1,SPTLC3,stemcells,USF1 IP - H1 cells
30,SPP,CEBPB,SPTLC3,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
31,SPP,E2F1,SPTLC3,prostate,"E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1"
32,SPP,FOXA1,SPTLC3,mammarygland,"FOXA1 IP - T47D cells, FOXA1 ChIP-Seq - Rep 1"
33,SPP,STAT1,SPTLC3,leukocytes,"STAT1 IP - Rep 3, STAT1 IP - Rep 5, STAT1 IP - Rep 4"
34,SPP,IFNG,SPTLC3,leukocytes,"STAT1 IP - Rep 3, STAT1 IP - Rep 5, STAT1 IP - Rep 4"
35,SPP,FOXA1,SPTLC3,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 KD | FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , POU2F1 KD + DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq - C4- Rep 2B, DHT | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, EtOH | FOXA1 ChIP-Seq - Rep 2, CON KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - LNCaP-abl, FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq"
36,SPP,R1881,SPTLC3,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, GATA2 KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
37,SPP,CTCF,SPTLC3,liver,"CTCF IP - HepG2 cells , CTCF IP, CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells, Rep 2 , CTCF IP - HepG2 cells, Rep 1 "
38,SPP,GLI2,SPTLC3,colon,GLI2 IP 
39,SPP,RUNX1,SPTLC3,leukocytes,"RUNX1 IP - Rep 2, SPI1 IP | RUNX1 KD"
40,SPP,CTCF,SPTLC3,vasculature,"CTCF IP - HPAF cells, Rep 1 , CTCF IP - HBMEC cells, Rep 1 "
41,SPP,E2F1,SPTLC3,mammarygland,E2F1 IP
42,SPP,ROSI,SPTLC3,leukocytes,ROSI | SPI1 ChIP-Seq
43,SPP,PIAS1,SPTLC3,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
44,SPP,ERG,SPTLC3,prostate,"DHT | ERG ChIP-Seq - 18 h, DMSO | ERG ChIP-Seq - Rep 2"
45,SPP,TEAD4,SPTLC3,mammarygland,"TEAD4 IP - Rep 2, TEAD4 IP - Rep 1"
46,SPP,STAT3,SPTLC3,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP - MCF10A cells, Rep 1, STAT3 IP - MCF10A cells, Rep 2"
47,SPP,MYBL2,SPTLC3,liver,MYBL2 IP - HepG2 cells
48,SPP,MEF2A,SPTLC3,leukocytes,MEF2A IP - GM12878 cells
49,SPP,RUNX1,SPTLC3,hspcs,"RUNX1, RUNX1 IP"
50,SPP,125DVD3,SPTLC3,colon,CEBPB IP | 125DVD3
51,SPP,CTCF,SPTLC3,skin,"CTCF IP - AG10803 cells, Rep 2 , CTCF IP - NHEK cells , CTCF IP - NHDF cells , CTCF IP - AG10803 cells, Rep 1 "
52,SPP,OTX2,SPTLC3,stemcells,"OTX2 IP - Rep 2 , OTX2 IP - Rep 10 , OTX2 IP - Rep 3 "
53,SPP,FOSL1,SPTLC3,mammarygland,FOSL1 IP
54,SPP,SP1,SPTLC3,liver,SP1 IP - HepG2 cells
55,SPP,FOXM1,SPTLC3,leukocytes,FOXM1 IP - GM12878 cells
56,SPP,ELF3,SPTLC3,pancreas,"ELF3 IP, ELF3 IP | KLF5 KO, ELF3 IP"
57,SPP,CTCF,SPTLC3,heart,"CTCF IP - myocytes cells, Rep 1 "
58,SPP,GATA2,SPTLC3,prostate,"GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
59,SPP,REST,SPTLC3,lung,REST IP - A549 cells
60,SPP,JUND,SPTLC3,uterus,JUND IP - HeLa cells
61,SPP,REST,SPTLC3,uterus,REST IP - SK-N-SH cells
62,SPP,FOXA1,SPTLC3,pancreas,"FOXA1 IP | KLF5 KO, FOXA1 IP, FOXA1 IP"
63,SPP,KLF5,SPTLC3,pancreas,"FOXA1 IP | KLF5 KO, ELF3 IP | KLF5 KO"
64,SPP,MAX,SPTLC3,stemcells,"MAX IP - H1 cells, MAX IP - H1 cells"
65,SPP,MAFK,SPTLC3,lung,MAFK IP - IMR cells
66,SPP,USF1,SPTLC3,liver,USF1 IP - HepG2 cells
67,SPP,TEAD4,SPTLC3,liver,TEAD4 IP - HepG2 cells
68,SPP,NANOG,SPTLC3,stemcells,NANOG IP - Rep 5 
69,SPP,FOXA2,SPTLC3,liver,FOXA2 IP - HepG2 cells
70,SPP,CEBPB,SPTLC3,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
71,SPP,HNF1B,SPTLC3,pancreas,HNF1B IP
72,SPP,STAT5A,SPTLC3,leukocytes,STAT5A IP - GM12878 cells
73,SPP,CREB1,SPTLC3,liver,"CREB1 IP - HepG2 cells, CREB1 IP, CREB1 IP, CREB1 IP"
74,SPP,CTCF,SPTLC3,kidney,"CTCF IP - RPTEC cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 "
75,SPP,CTCF,SPTLC3,pancreas,CTCF IP
76,SPP,FLI1,SPTLC3,hspcs,FLI1 IP
