TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
NR1H3,"PNPLA7,PNPLA6,GDPD5",23393188,https://pubmed.ncbi.nlm.nih.gov/23393188/,"PNPLA7,PNPLA6,GDPD5",Adipose tissue,https://academic.oup.com/nar/article/41/6/3518/2902510?login=false
ESR2,"PNPLA7,GDPD3",21235772,https://pubmed.ncbi.nlm.nih.gov/21235772/,"PNPLA7,GDPD3",Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-12-36
ZNF652,PNPLA7,21678463,https://pubmed.ncbi.nlm.nih.gov/21678463/,PNPLA7,Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/jcb.23214
MYC,"GDPD1,GDPD3,PNPLA6",19915707,https://pubmed.ncbi.nlm.nih.gov/19915707/,"GDPD1,GDPD3,PNPLA6",Embryonic tissue,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0007839
EOMES,"GDPD1,GDPD5",21245162,https://pubmed.ncbi.nlm.nih.gov/21245162/,"GDPD1,GDPD5",Embryonic tissue,https://genesdev.cshlp.org/content/25/3/238
ESR1,PNPLA7,21235772,https://pubmed.ncbi.nlm.nih.gov/21235772/,PNPLA7,Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-12-36
SPI1,"PNPLA7,GDE1",23127762,https://pubmed.ncbi.nlm.nih.gov/23127762/,"PNPLA7,GDE1",Blood,https://www.exphem.org/article/S0301-472X(12)00531-0/fulltext
PPARD,"PNPLA7,PNPLA6,GDPD5",21283829,https://pubmed.ncbi.nlm.nih.gov/21283829/,"PNPLA7,PNPLA6,GDPD5",Fibroblasts,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016344
FOXP1,"GDPD1,GDPD3,PNPLA6",21924763,https://pubmed.ncbi.nlm.nih.gov/21924763/,"GDPD1,GDPD3,PNPLA6",Embryonic tissue,https://www.cell.com/cell/fulltext/S0092-8674(11)00949-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867411009494%3Fshowall%3Dtrue
SOX2,"GDE1,GDPD1",20726797,https://pubmed.ncbi.nlm.nih.gov/20726797/,not found,,paid https://www.liebertpub.com/doi/10.1089/omi.2010.0053
AHR,PNPLA7,22903824,https://pubmed.ncbi.nlm.nih.gov/22903824/,not found,,paid https://academic.oup.com/toxsci/article-abstract/130/2/349/1725824?redirectedFrom=fulltext&login=false
FOXO3,PNPLA7,23340844,https://pubmed.ncbi.nlm.nih.gov/23340844/,not found,skeletal muscle,https://www.embopress.org/doi/full/10.1038/msb.2012.74
