,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,PNPLA6,placenta,"CTCF IP - HVMF cells, Rep 1 , CTCF IP - HVMF cells, Rep 2 "
1,SPP,CTCF,PNPLA6,lung,"CTCF IP | DEX - A549 cells , CTCF IP - SAEC cells, Rep 2 , CTCF IP - A549 cells , CTCF IP - NHLF cells , CTCF IP - WI-38 cells, Rep 2 , CTCF IP - HPF cells, Rep 1 , CTCF IP - AG04450 cells, Rep 2 , CTCF IP - AG04450 cells, Rep 1 , CTCF IP - HPF cells, Rep 2 , CTCF IP - NHLF cells , CTCF IP - IMR cells, CTCF ChIP-Seq - A549"
2,SPP,DEX,PNPLA6,lung,"CTCF IP | DEX - A549 cells , CREB1 IP | DEX - A549 cells"
3,SPP,GABPA,PNPLA6,lung,GABPA IP - A549 cells
4,SPP,GATA4,PNPLA6,stomach,GATA4 IP - AGS
5,SPP,JUN,PNPLA6,leukocytes,"JUN IP | IFNA1-13 - 30 min , JUN IP - K562 cells, Rep 1, JUN IP - K562 cells, Rep 2"
6,SPP,IFNA1,PNPLA6,leukocytes,"JUN IP | IFNA1-13 - 30 min , MYC IP | IFNA1 - K562 cells, 6 h, MYC IP | IFNA1 - K562 cells, 30 min, IRF1 IP | IFNA1-13 - K562 cells, 6 h"
7,SPP,CREB1,PNPLA6,prostate,"CREB1 ChIP-Seq - LNCaP-abl, CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP"
8,SPP,ETS1,PNPLA6,pancreas,ETS1 IP
9,SPP,THAP11,PNPLA6,stemcells,"THAP11 IP - Rep 1 , THAP11 IP - Rep 2 , THAP11 IP - Rep 3 , THAP11 IP - Rep 4 , THAP11 IP - Rep 5 "
10,SPP,CTCF,PNPLA6,leukocytes,"CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM11831 cells, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - GM2630 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM06986 cells, CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - K562 cells, CTCF ChIP-Seq - GM12878, CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM12871 cells , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP -  DND , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP, CTCF IP - MS1 cells, Rep 1 "
11,SPP,TBP,PNPLA6,leukocytes,TBP IP - K562 cells
12,SPP,SP1,PNPLA6,colon,SP1 IP - HCT116 cells
13,SPP,PBX3,PNPLA6,lung,PBX3 IP - A549 cells
14,SPP,MYC,PNPLA6,leukocytes,"MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNA1 - K562 cells, 6 h, MYC IP - K562 cells, Rep 2, MYC IP | IFNA1 - K562 cells, 30 min, MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 6 h"
15,SPP,IFNG,PNPLA6,leukocytes,"MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5, STAT1 IP - Rep 3, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2, STAT1 IP - Rep 6, MYC IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 3"
16,SPP,TEAD4,PNPLA6,colon,TEAD4 IP - HCT116 cells
17,SPP,OTX2,PNPLA6,stemcells,"OTX2 IP - Rep 2 , OTX2 IP - Rep 10 , OTX2 IP - Rep 3 , OTX2 IP - Rep 6 , OTX2 IP - Rep 4 , OTX2 IP - Rep 8 "
18,SPP,YY1,PNPLA6,leukocytes,"YY1 IP - K562 cells, Rep 2, YY1 IP - K562 cells, YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 1"
19,SPP,UBTF,PNPLA6,leukocytes,UBTF IP - K562 cells
20,SPP,RELA,PNPLA6,colon,RELA IP 
