,Database,TF,TargetGene,Tissue,Experiment
0,SPP,REST,CHAT,leukocytes,"REST IP - GM12878 cells, Rep 19 , REST IP - GM12878 cells, Rep 22 , REST IP - GM12878 cells, Rep 17 , REST IP - Jurkat cells, Rep 11 , REST IP - GM12878 cells, Rep 5 , REST IP - GM12878 cells, Rep 9 , REST IP - Jurkat cells, Rep 1 , REST IP - K562 cells , REST IP - Jurkat cells, Rep 10 , REST IP - Jurkat cells, Rep 7 , REST IP - GM12878 cells, Rep 6 , REST IP - GM12878 cells, Rep 18 , REST IP - GM12878 cells, Rep 16 , REST IP - Jurkat cells, Rep 12 , REST IP - GM12878 cells, Rep 13 , REST IP - GM12878 cells, Rep 3 , REST IP - GM12878 cells, Rep 23 , REST IP - GM12878 cells, Rep 17 , REST IP - GM12878 cells, Rep 28 , REST IP - GM12878 cells, Rep 11 , REST IP - GM12878 cells, Rep 10 , REST IP - GM12878 cells, Rep 4 , REST IP - GM12878 cells, Rep 1, REST IP - Jurkat cells, Rep 2 , REST IP - GM12878 cells, Rep 25 , REST IP - Jurkat cells, Rep 14 , REST IP -  K562 cells, REST IP - GM12878 cells, Rep 15 , REST IP - GM12878 cells, Rep 14 , REST IP - GM12878 cells, Rep 20 , REST IP - Jurkat cells, Rep 9 , REST IP - GM12878 cells, Rep 24 , REST IP - GM12878 cells, Rep 26 , REST IP - Jurkat cells, Rep 4 , REST IP - GM12878 cells, Rep 8 , REST IP - GM12878 cells, Rep 2 , REST IP - Jurkat cells, Rep 15 , REST IP - GM12878 cells, Rep 7 , REST IP - GM12878 cells, Rep 1 , REST IP - GM12878 cells, Rep 2, REST IP - K562 cells, REST IP - Jurkat cells, Rep 5 , REST IP - Jurkat cells, Rep 8 , REST IP - Jurkat cells, Rep 3 , REST IP - GM12878 cells, Rep 12 , REST IP - Jurkat cells, Rep 13 , REST IP - GM12878 cells, Rep 27 , REST IP - HL60 cells, REST IP - GM12878 cells, Rep 21 , REST IP - Jurkat cells, Rep 6 "
1,SPP,JUN,CHAT,leukocytes,"JUN IP - K562 cells, Rep 2, JUN IP - K562 cells, Rep 1"
2,SPP,STAT3,CHAT,mammarygland,"STAT3 IP - MCF10A cells, Rep 2, STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP - MCF10A cells, Rep 1, STAT3 IP | 4HT - MCF10 cells, 36 h"
3,SPP,FOS,CHAT,mammarygland,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP - MCF10A cells"
4,SPP,4HT,CHAT,mammarygland,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 12 h, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 36 h"
5,SPP,CTCF,CHAT,leukocytes,"CTCF IP - K562 cells, CTCF IP - K562 cells, Rep 14 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - K562 cells, Rep 11 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - K562 cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - K562 cells , CTCF IP - K562 cells, Rep 16 , CTCF IP - K562 cells, CTCF IP - K562 cells, Rep 1 , CTCF IP - K562 cells, Rep 12 , CTCF IP -  DND , CTCF IP - MS1 cells, Rep 2 "
6,SPP,CTCF,CHAT,colon,"CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 1 , CTCF IP - Caco "
7,SPP,TEAD4,CHAT,lung,TEAD4 IP - A549 cells
8,SPP,SPI1,CHAT,leukocytes,"SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 3 , SPI1 IP - HL cells, SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP"
9,SPP,REST,CHAT,liver,"REST IP - HepG2 cells, Rep 2, REST IP - HepG2 cells, Rep 1"
