,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,GPCPD1,leukocytes,"CTCF IP - K562 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - F36P cells, Rep 9 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - UT-7 cells, Rep 3 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - F36P cells, Rep 6 , CTCF IP - GM12866 cells , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM11811 cells, Rep 2, CTCF IP - GM12869 cells , CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 2 , CTCF IP - GM12865 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM06986 cells, CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - F36P cells, Rep 7 , CTCF IP - K562 cells, Rep 16 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - F36P cells, Rep 11 , CTCF IP - GM18526 cells, Rep 1 , CTCF IP - F36P cells, Rep 3 , CTCF IP - GM11881 cells, CTCF IP - F36P cells, Rep 19 , CTCF IP - GM11894 cells, Rep 2, CTCF IP - GM12828 cells, CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM12868 cells , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12878 cells , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - K562 cells, Rep 15 , CTCF IP - GM12864 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - HL , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM10847 cells, Rep 2 , CTCF IP - CD14+ cells , CTCF IP - KU812 cells, Rep 5 , CTCF IP - HeLa cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP -  CD20+ cells , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - K562 cells, CTCF IP - NB4 cells , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - F36P cells, Rep 13 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM12867 cells , CTCF IP - F36P cells, Rep 14 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12870 cells , CTCF IP - GM12873 cells, Rep 1 , CTCF IP, CTCF IP - GM2610 cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - F36P cells, Rep 10 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 6 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM07346 cells, CTCF IP -  DND , CTCF IP - K562 cells, CTCF IP - F36P cells, Rep 2 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM11831 cells, CTCF IP - F36P cells, Rep 15 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12874 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM12871 cells , CTCF IP - GM12154 cells, Rep 2, CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - K562 cells , CTCF IP - UT-7 cells, Rep 5 "
1,SPP,USF1,GPCPD1,lung,"USF1 IP - A549 cells, Rep 2, USF1 IP | DEX - A549 cells"
2,SPP,CTCF,GPCPD1,stemcells,"CTCF IP - Rep 5 , CTCF IP - H1 cells, CTCF IP - Rep 4 , CTCF IP - H1 cells , CTCF IP - Rep 1 , CTCF IP - Rep 6 "
3,SPP,EGR1,GPCPD1,leukocytes,EGR1 IP - K562 cells
4,SPP,FOXA1,GPCPD1,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, CON KD  | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, EtOH | FOXA1 ChIP-Seq - , FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - LNCaP-abl"
5,SPP,R1881,GPCPD1,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, GABPA IP | R1881, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
6,SPP,PIAS1,GPCPD1,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
7,SPP,STAT5A,GPCPD1,leukocytes,"STAT5A IP - GM12878 cells, STAT5A IP - K562 cells"
8,SPP,MAX,GPCPD1,leukocytes,"MAX IP - K562 cells, MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - NB4 cells"
9,SPP,GATA4,GPCPD1,stomach,GATA4 IP - AGS
10,SPP,RBPJ,GPCPD1,leukocytes,RBPJ IP | COMPE
11,SPP,COMPE,GPCPD1,leukocytes,RBPJ IP | COMPE
12,SPP,YY1,GPCPD1,stemcells,YY1 IP - H1 cells
13,SPP,ZBTB7A,GPCPD1,liver,ZBTB7A IP - HepG2 cells
14,SPP,STAT3,GPCPD1,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP - MCF10A cells, Rep 2, STAT3 IP - MCF10A cells, Rep 1"
15,SPP,4HT,GPCPD1,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, MYC IP | 4HT - MCF10A cells, E2F4 IP | 4HT - MCF10 cells, FOS IP | 4HT - MCF10A cells, 12 h"
16,SPP,SPI1,GPCPD1,leukocytes,"SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 5 , SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - K562 cells, SPI1 IP - U-937 cells, Rep 5 , SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 2 , SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - GM12891 cells, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 1 , SPI1 IP - GM12878 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 4 , SPI1 IP"
17,SPP,YY1,GPCPD1,leukocytes,"YY1 IP - K562 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - GM12891 cells, YY1 IP - GM12892 cells, Rep 1, YY1 IP - K562 cells, Rep 2"
18,SPP,CTCF,GPCPD1,skin,"CTCF IP - AG10803 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - BJ cells, Rep 2 , CTCF IP - BJ cells, Rep 1 , CTCF IP - AG04449 cells, Rep 2 "
19,SPP,SP1,GPCPD1,stemcells,"SP1 IP - H1 cells, SP1 IP - Rep 1 , SP1 IP - Rep 2 "
20,SPP,CTCF,GPCPD1,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 4 "
21,SPP,CTCF,GPCPD1,sensory,"CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - WERI , CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 2 "
22,SPP,NFYA,GPCPD1,uterus,NFYA IP - HeLa cells
23,SPP,STAT3,GPCPD1,leukocytes,"STAT3 IP - SU-DHL-4, STAT3 IP - OCI-LY3, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY7, STAT3 IP - U-2932, STAT3 IP - OCI-LY10, STAT3 IP - OCI-LY19"
24,SPP,ELF3,GPCPD1,pancreas,"ELF3 IP, ELF3 IP"
25,SPP,E2F1,GPCPD1,prostate,"BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1"
26,SPP,BICALU,GPCPD1,prostate,"BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1"
27,SPP,HES6,GPCPD1,prostate,"BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
28,SPP,ELF1,GPCPD1,liver,ELF1 IP - HepG2 cells
29,SPP,MYC,GPCPD1,leukocytes,"MYC IP | IFNG - K562 cells, 30 min, MYC IP - K562 cells, Rep 2, MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 6 h"
30,SPP,IFNG,GPCPD1,leukocytes,"MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 6, IRF1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 5, MYC IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 2, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
31,SPP,CTCF,GPCPD1,hspcs,"CTCF IP - HSPCs, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 14 , CTCF IP - HEL 92.1.7 cells, Rep 8 , CTCF IP - Erythroid cells, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 5 , CTCF IP - HSPCs, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 2 , CTCF IP - HEL 92.1.7 cells, Rep 11 , CTCF IP - Erythroid cells, Rep 1"
32,SPP,ELF1,GPCPD1,mammarygland,ELF1 IP - MCF7 cells
33,SPP,HIF1A,GPCPD1,bone,HIF1A IP
34,SPP,ATF3,GPCPD1,colon,"ATF3 IP | CAMPTO, ATF3 IP - HCT116 cells"
35,SPP,GABPA,GPCPD1,stemcells,GABPA IP - H1 cells
36,SPP,CTCF,GPCPD1,mammarygland,"CTCF IP - HMEC cells, Rep 1 , CTCF IP - HMEC cells , CTCF IP - HMF cells, Rep 2 , CTCF IP - HMEC cells, Rep 2 "
37,SPP,STAT5B,GPCPD1,leukocytes,"STAT5B IP | IL2 - Rep 2, STAT5B IP | H9, Rep 2, STAT5B IP | H9, Rep 2, STAT5B IP | H9RETR, Rep 2, STAT5B IP | H9RET, Rep 2, STAT5B IP | IL2 - Rep 2"
38,SPP,IL2,GPCPD1,leukocytes,"STAT5B IP | IL2 - Rep 2, STAT5B IP | IL2 - Rep 2"
39,SPP,CTCF,GPCPD1,vasculature,"CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HUVEC cells , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 "
40,SPP,CEBPB,GPCPD1,colon,"CEBPB IP | 125DVD3, CEBPB IP, CEBPB IP - HCT116 cells"
41,SPP,125DVD3,GPCPD1,colon,CEBPB IP | 125DVD3
42,SPP,HMGN3,GPCPD1,leukocytes,HMGN3 IP - K562 cells
43,SPP,PAX5,GPCPD1,leukocytes,"PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12892 cells, PAX5 IP - GM12891 cells, PAX5 IP - GM12878 cells, Rep 1"
44,SPP,CREB1,GPCPD1,lung,"CREB1 IP | DEX - A549 cells, CREB1 IP - A549 cells, Rep 2, CREB1 IP - A549 cells, Rep 1"
45,SPP,DEX,GPCPD1,lung,"CREB1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells, FOXA1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells"
46,SPP,TEAD4,GPCPD1,cns,TEAD4 IP - SK-N-SH cells
47,SPP,REST,GPCPD1,uterus,"REST IP - SK-N-SH cells, REST IP - ECC1 cells"
48,SPP,REST,GPCPD1,cns,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - U87 cells, REST IP - SK-N-SH cells, REST IP - PFSK1 cells, Rep 2, REST IP - SK cells"
49,SPP,STAT1,GPCPD1,leukocytes,"STAT1 IP - Rep 6, STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
50,SPP,TEAD4,GPCPD1,leukocytes,TEAD4 IP - K562 cells
51,SPP,FOXM1,GPCPD1,mammarygland,FOXM1 IP | THSP - DS006
52,SPP,CTCF,GPCPD1,colon,"CTCF IP - Caco , CTCF IP - HCT116 cells, Rep 2 , CTCF IP - HCT116 cells, Rep 1 , CTCF IP - Caco-2 cells, Rep 1 "
53,SPP,CTCF,GPCPD1,cns,"CTCF IP - SK-N-SH cells , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - spinal cord astrocyte cells, Rep 1 , CTCF IP - SK cells, CTCF IP - SK-N-SH cells, Rep 1 , CTCF IP - spinal cord astrocyte cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 2 , CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - BE(2)-C cells, Rep 1 "
54,SPP,GATA1,GPCPD1,hspcs,"GATA1 IP - PBDE cells, Rep 1"
55,SPP,MAZ,GPCPD1,lung,MAZ IP - IMR cells
56,SPP,ELF1,GPCPD1,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
57,SPP,GABPA,GPCPD1,leukocytes,"GABPA IP, GABPA IP - K562 cells, GABPA IP - Jurkat, Rep 1, GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells"
58,SPP,CREB1,GPCPD1,liver,"CREB1 IP - HepG2 cells, CREB1 IP, CREB1 IP, CREB1 IP"
59,SPP,SREBF1,GPCPD1,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
60,SPP,22RHC; INS,GPCPD1,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
61,SPP,IRF1,GPCPD1,colon,IRF1 IP 
62,SPP,CTCF,GPCPD1,liver,"CTCF IP, CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells, Rep 1 , CTCF IP - HepG2 cells, Rep 2 "
63,SPP,E2F6,GPCPD1,stemcells,E2F6 IP - H1 cells
64,SPP,FOXA1,GPCPD1,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
65,SPP,FOXA1,GPCPD1,pancreas,"FOXA1 IP, FOXA1 IP | KLF5 KO, FOXA1 IP"
66,SPP,ROSI,GPCPD1,leukocytes,ROSI | SPI1 ChIP-Seq
67,SPP,CREB1,GPCPD1,prostate,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP"
68,SPP,IRF1,GPCPD1,leukocytes,"IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 6 h"
69,SPP,IFNA1,GPCPD1,leukocytes,"IRF1 IP | IFNA1-13 - K562 cells, 6 h"
70,SPP,CTCF,GPCPD1,lung,"CTCF IP - SAEC cells, Rep 2 , CTCF IP - A549 cells , CTCF IP - NHLF cells , CTCF IP - SAEC cells, Rep 1 , CTCF IP - HPF cells, Rep 1 , CTCF IP - IMR cells, CTCF IP - AG04450 cells, Rep 2 , CTCF IP - HPF cells, Rep 2 , CTCF ChIP-Seq - A549, CTCF IP - AG04450 cells, Rep 1 , CTCF IP | DEX - A549 cells, CTCF IP - NHLF cells , CTCF IP - A549 cells, Rep 2 "
71,SPP,TBP,GPCPD1,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells"
72,SPP,KLF11,GPCPD1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 2"
73,SPP,ROSI,GPCPD1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1"
74,SPP,ELF1,GPCPD1,colon,ELF1 IP - HCT116 cells
75,SPP,SP1,GPCPD1,lung,SP1 IP - A549 cells
76,SPP,FOXA1,GPCPD1,lung,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells"
77,SPP,MAX,GPCPD1,liver,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
78,SPP,GATA2,GPCPD1,hspcs,GATA2 IP
79,SPP,JUN,GPCPD1,mammarygland,JUN IP - Rep 2
80,SPP,CEBPB,GPCPD1,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90"
81,SPP,MAZ,GPCPD1,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
82,SPP,CEBPB,GPCPD1,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP - H1 cells"
83,SPP,BHLHE40,GPCPD1,liver,BHLHE40 IP - HepG2 cells
84,SPP,USF1,GPCPD1,uterus,USF1 IP - ECC1 cells
85,SPP,FOS,GPCPD1,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h"
86,SPP,SP1,GPCPD1,liver,SP1 IP - HepG2 cells
87,SPP,REST,GPCPD1,liver,"REST IP - HepG2 cells, Rep 2, REST IP - HepG2 cells, Rep 1"
88,SPP,E2F1,GPCPD1,uterus,"E2F1 IP - HeLa cells, Rep 1, E2F1 IP - HeLa cells, Rep 2"
89,SPP,STAT3,GPCPD1,stemcells,"STAT3 IP - Rep 2 , STAT3 IP - Rep 3 , STAT3 IP - Rep 1 "
90,SPP,FOXA2,GPCPD1,liver,FOXA2 IP - HepG2 cells
91,SPP,UBTF,GPCPD1,leukocytes,"UBTF IP - K562 cells, UBTF IP - K562 cells"
92,SPP,FOS,GPCPD1,vasculature,FOS IP - HUVEC cells
93,SPP,RELA,GPCPD1,leukocytes,"RELA IP | TNF - GM18505 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP - IVD Th1 cells, PIA, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells"
94,SPP,TNF,GPCPD1,leukocytes,"RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells"
95,SPP,E2F6,GPCPD1,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
96,SPP,USF1,GPCPD1,colon,USF1 IP - HCT116 cells
97,SPP,E2F6,GPCPD1,uterus,E2F6 IP - HeLa cells
98,SPP,REST,GPCPD1,stemcells,"REST IP - H1 cells, Rep 1"
99,SPP,POU2F2,GPCPD1,leukocytes,"POU2F2 IP - Rep 1, POU2F2 IP - GM12878 cells, POU2F2 IP - Rep 2"
100,SPP,MAX,GPCPD1,vasculature,MAX IP - HUVEC cells
101,SPP,ERG,GPCPD1,prostate,"ERG ChIP-Seq, DMSO | ERG ChIP-Seq - Rep 2, JQI | ERG ChIP-Seq - Rep 1, DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq, JQI | ERG ChIP-Seq - Rep 2, DHT | ERG ChIP-Seq - 2 h, DMSO | ERG ChIP-Seq - Rep 1"
102,SPP,KLF5,GPCPD1,stomach,KLF5 IP - KATOIII
103,SPP,SRF,GPCPD1,colon,SRF IP - HCT116 cells
