,Database,TF,TargetGene,Tissue,Experiment
0,SPP,STAT1,LPIN3,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 2"
1,SPP,IFNG,LPIN3,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 3, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 1, STAT1 IP - Rep 2, MYC IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 3, MYC IP | IFNG - K562 cells, 30 min"
2,SPP,E2F1,LPIN3,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2"
3,SPP,HES6,LPIN3,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3"
4,SPP,CTCF,LPIN3,hspcs,"CTCF IP - HEL 92.1.7 cells, Rep 8 , CTCF IP - HEL 92.1.7 cells, Rep 5 , CTCF IP - Erythroid cells, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 2 , CTCF IP - HSPCs, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 4 , CTCF IP - HEL 92.1.7 cells, Rep 10 , CTCF IP - Erythroid cells, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 11 , CTCF IP - HSPCs, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 14 "
5,SPP,CTCF,LPIN3,adiposetissue,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0"
6,SPP,CTCF,LPIN3,leukocytes,"CTCF IP - GM12864 cells, Rep 3 , CTCF IP - K562 cells, Rep 9 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12006 cells, Rep 1, CTCF IP - GM12868 cells , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - F36P cells, Rep 11 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM11881 cells, CTCF IP - GM18526 cells, Rep 2 , CTCF IP - F36P cells, Rep 3 , CTCF IP - HL-60 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - HL-60 cells, Rep 7 , CTCF IP - K562 cells, Rep 5 , CTCF IP - F36P cells, Rep 1 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - U-937 cells, Rep 1 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 2 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - GM19240 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - GM12866 cells , CTCF IP - MS1 cells, Rep 2 , CTCF IP - F36P cells, Rep 17 , CTCF IP - GM12878 cells , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM12155 cells, Rep 2, CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM06986 cells, CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM11894 cells, Rep 2, CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - F36P cells, Rep 7 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM10847 cells, Rep 3 , CTCF IP - GM12005 cells, Rep 2, CTCF IP - GM12890 cells, Rep 1 , CTCF IP - KU812 cells, Rep 5 , CTCF IP - GM12870 cells , CTCF IP - GM12867 cells , CTCF IP - GM12814 cells, Rep 2, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - F36P cells, Rep 19 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12828 cells, CTCF IP - K562 cells, CTCF IP - MS1 cells, Rep 3 , CTCF IP - HL , CTCF IP - GM12005 cells, Rep 1, CTCF IP - GM12864 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF ChIP-Seq - GM12878, CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12287 cells, Rep 1, CTCF IP - GM18951 cells, Rep 2 , CTCF IP - F36P cells, Rep 14 , CTCF IP - GM11811 cells, Rep 1, CTCF IP - GM18486 cells, Rep 1 , CTCF IP - K562 cells, Rep 15 , CTCF IP - GM12749 cells, Rep 2, CTCF IP -  CD20+ cells , CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - NB4 cells , CTCF IP - GM12489 cells, Rep 1, CTCF IP - F36P cells, Rep 13 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 5 , CTCF IP - GM12234 cells, CTCF IP - GM12871 cells , CTCF IP - GM12749 cells, Rep 1, CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - K562 cells, Rep 6 , CTCF IP - HL-60 cells, Rep 9 , CTCF IP - K562 cells , CTCF IP -  DND , CTCF IP - F36P cells, Rep 2 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM12006 cells, Rep 2, CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM07037 cells, CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM12154 cells, Rep 2, CTCF IP - CD14+ cells , CTCF IP - GM12874 cells, Rep 1 , CTCF IP - GM07346 cells, CTCF IP, CTCF IP - GM2588 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 5 , CTCF IP - GM18526 cells, Rep 1 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - GM11831 cells, CTCF IP - UT-7 cells, Rep 6 , CTCF IP - F36P cells, Rep 10 , CTCF IP - K562 cells, Rep 2 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM19239 cells, Rep 1 , CTCF IP - K562 cells, Rep 11 , CTCF IP - HL-60 cells, Rep 3 , CTCF IP - UT-7 cells, Rep 3 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - GM12865 cells, Rep 3 , CTCF IP - GM10847 cells, Rep 2 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - GM12874 cells, CTCF IP - F36P cells, Rep 6 , CTCF IP - U-937 cells, Rep 2 , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - F36P cells, Rep 5 , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM11992 cells, Rep 1, CTCF IP - K562 cells, Rep 4 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM06990 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - F36P cells, Rep 15 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM12872 cells, CTCF IP - K562 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM11992 cells, Rep 2, CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - F36P cells, Rep 9 , CTCF IP - GM12869 cells , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM11811 cells, Rep 2, CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM12801 cells "
7,SPP,CTCF,LPIN3,skin,"CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - AG09309 cells, Rep 2 , CTCF IP - NHDF cells , CTCF IP - HFFC cells, Rep 1 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - BJ cells, Rep 1 , CTCF IP - NHEK cells , CTCF IP - NHEK cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 "
8,SPP,CREB1,LPIN3,liver,"CREB1 IP - HepG2 cells, CREB1 IP, CREB1 IP"
9,SPP,FOXA1,LPIN3,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 1"
10,SPP,17BE2,LPIN3,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
11,SPP,KLF11,LPIN3,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 2"
12,SPP,ROSI,LPIN3,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
13,SPP,RBPJ,LPIN3,leukocytes,RBPJ IP | COMPE - wash
14,SPP,COMPE,LPIN3,leukocytes,RBPJ IP | COMPE - wash
15,SPP,GABPA,LPIN3,prostate,"GABPA IP - Rep 1, GABPA IP | R1881"
16,SPP,ZNF83,LPIN3,colon,ZNF83 IP 
17,SPP,E2F1,LPIN3,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP"
18,SPP,E2F6,LPIN3,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
19,SPP,CREB1,LPIN3,prostate,"CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2"
20,SPP,CTCF,LPIN3,lung,"CTCF IP - WI-38 cells, Rep 1 , CTCF IP - A549 cells, Rep 1 , CTCF IP | DEX - A549 cells, CTCF IP - HPF cells, Rep 1 , CTCF IP - IMR cells, CTCF ChIP-Seq - A549, CTCF IP - AG04450 cells, Rep 2 , CTCF IP - HPF cells, Rep 2 , CTCF IP - AG04450 cells, Rep 1 , CTCF IP - A549 cells, Rep 2 , CTCF IP - NHLF cells , CTCF IP - A549 cells, CTCF IP - NHLF cells , CTCF IP - SAEC cells, Rep 1 , CTCF IP - WI-38 cells, Rep 2 , CTCF IP | DEX - A549 cells , CTCF IP - SAEC cells, Rep 2 , CTCF IP - A549 cells "
21,SPP,BICALU,LPIN3,prostate,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3"
22,SPP,SMAD1,LPIN3,hspcs,SMAD1 IP - Rep 3
23,SPP,REST,LPIN3,liver,"REST IP - HepG2 cells, Rep 1, REST IP - HepG2 cells, Rep 2"
24,SPP,SRF,LPIN3,stemcells,"SRF IP - Rep 2 , SRF IP - Rep 3 , SRF IP - H1 cells, SRF IP - Rep 7 , SRF IP - Rep 6 , SRF IP - Rep 5 , SRF IP - Rep 4 , SRF IP - Rep 1 "
25,SPP,STAT3,LPIN3,leukocytes,"STAT3 IP - OCI-LY7, STAT3 IP - U-2932, STAT3 IP - SU-DHL-6"
26,SPP,USF1,LPIN3,stemcells,USF1 IP - H1 cells
27,SPP,E2F6,LPIN3,stemcells,E2F6 IP - H1 cells
28,SPP,CEBPB,LPIN3,leukocytes,"CEBPB ChIP-Seq - K562, CEBPB IP"
29,SPP,ELF1,LPIN3,lung,ELF1 IP - A549 cells
30,SPP,YY1,LPIN3,leukocytes,"YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - K562 cells, Rep 1, YY1 IP - GM12891 cells"
31,SPP,SP1,LPIN3,liver,SP1 IP - HepG2 cells
32,SPP,CTCF,LPIN3,mammarygland,"CTCF IP - HMF cells, Rep 1 , CTCF IP - HMEC cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - T47D cells, CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMEC cells, Rep 2 , CTCF IP - MCF7 cells, CTCF IP - HMEC cells "
33,SPP,MAX,LPIN3,leukocytes,"MAX IP - K562 cells, MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells"
34,SPP,CEBPB,LPIN3,mammarygland,CEBPB IP - MCF7 cells
35,SPP,ELF1,LPIN3,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
36,SPP,MYC,LPIN3,leukocytes,"MYC IP - K562 cells, Rep 1, MYC IP - NB4 cells, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min"
37,SPP,CTCF,LPIN3,vasculature,"CTCF IP - HUVEC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 , CTCF IP - HPAF cells, Rep 2 "
38,SPP,MYC,LPIN3,mammarygland,"MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq"
39,SPP,4HT,LPIN3,mammarygland,"MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, E2F4 IP | 4HT - MCF10 cells, STAT3 IP | 4HT - MCF10 cells, 12 h"
40,SPP,CTCF,LPIN3,cns,"CTCF IP - spinal cord astrocyte cells, Rep 1 , CTCF IP - SK-N-SH cells, Rep 1 , CTCF IP - NHA cells , CTCF IP - spinal cord astrocyte cells, Rep 2 , CTCF IP - SK-N-SH cells , CTCF IP - BE(2)-C cells, Rep 1 , CTCF IP - SK cells, CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - BE(2)-C cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 2 , CTCF IP - cerebellar astrocyte cells, Rep 1 , CTCF IP - HCPEpiC cells, Rep 2 "
41,SPP,MAX,LPIN3,colon,MAX IP - HCT116 cells
42,SPP,CTCF,LPIN3,megakaryocytelineage,"CTCF IP - CHRF-288-11 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - CHRF-288-11 cells, Rep 1 , CTCF IP - MEG-01 cells, Rep 8 "
43,SPP,CTCF,LPIN3,sensory,"CTCF IP - HRPEpiC cells, Rep 2 , CTCF IP - WERI , CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 1 "
44,SPP,MAFK,LPIN3,liver,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2"
45,SPP,SRF,LPIN3,mammarygland,SRF IP - MCF7 cells
46,SPP,CEBPB,LPIN3,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP"
47,SPP,CTCF,LPIN3,stemcells,"CTCF IP - Rep 2 , CTCF IP - H1 cells , CTCF IP - Rep 6 , CTCF IP - Rep 5 , CTCF IP - Rep 4 , CTCF IP - H1 cells, CTCF IP - Rep 3 , CTCF IP - Rep 1 , CTCF IP - Rep 7 "
48,SPP,CTCF,LPIN3,kidney,"CTCF IP - HEK293 cells, Rep 2 , CTCF IP - HRE cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 1 "
49,SPP,GATA3,LPIN3,mammarygland,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells"
50,SPP,ELF3,LPIN3,pancreas,"ELF3 IP | KLF5 KO, ELF3 IP, ELF3 IP"
51,SPP,KLF5,LPIN3,pancreas,"ELF3 IP | KLF5 KO, KLF5 IP"
52,SPP,YY1,LPIN3,liver,YY1 IP - HepG2 cells
53,SPP,BHLHE40,LPIN3,leukocytes,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells"
54,SPP,EGR1,LPIN3,colon,EGR1 IP - HCT116 cells
55,SPP,GLI2,LPIN3,colon,GLI2 IP 
56,SPP,PBX3,LPIN3,cns,PBX3 IP - SK-N-SH cells
57,SPP,SPI1,LPIN3,leukocytes,"ROSI | SPI1 ChIP-Seq, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP, SPI1 IP"
58,SPP,ROSI,LPIN3,leukocytes,ROSI | SPI1 ChIP-Seq
59,SPP,CREB1,LPIN3,stemcells,CREB1 IP - H1 cells
60,SPP,TFAP4,LPIN3,leukocytes,TFAP4 IP - Rep 1
61,SPP,TBP,LPIN3,uterus,TBP IP - HeLa cells
62,SPP,SP1,LPIN3,stemcells,SP1 IP - H1 cells
63,SPP,DHT,LPIN3,mammarygland,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
64,SPP,ATF3,LPIN3,colon,"ATF3 IP - HCT116 cells, ATF3 IP | CAMPTO"
65,SPP,IRF4,LPIN3,leukocytes,"IRF4 IP - GM12878 cells, IRF4 IP"
66,SPP,RELA,LPIN3,leukocytes,"RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19099 cells"
67,SPP,TNF,LPIN3,leukocytes,"RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM15510 cells"
68,SPP,HEY1,LPIN3,liver,HEY1 IP - HepG2 cells
69,SPP,ZNF143,LPIN3,leukocytes,"ZNF143 IP - GM12878 cells, ZNF143 IP - K562 cells"
70,SPP,IRF1,LPIN3,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 3, IRF1 IP | IFNA1-13 - K562 cells, 6 h"
71,SPP,DEX,LPIN3,lung,"CTCF IP | DEX - A549 cells, CREB1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells "
72,SPP,RELA,LPIN3,adiposetissue,RELA IP
73,SPP,STAT1,LPIN3,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
74,SPP,IFNG,LPIN3,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
75,SPP,MAZ,LPIN3,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
76,SPP,FOSL1,LPIN3,colon,FOSL1 IP - HCT116 cells
77,SPP,TEAD4,LPIN3,stemcells,TEAD4 IP - H1 cells
78,SPP,CTCF,LPIN3,uterus,"CTCF IP - HeLa cells , CTCF IP - HeLa cells, Rep 1 , CTCF IP - ECC1 cells"
79,SPP,CEBPB,LPIN3,colon,CEBPB IP - HCT116 cells
80,SPP,JUN,LPIN3,vasculature,JUN IP
81,SPP,FOS,LPIN3,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h"
82,SPP,FOSL2,LPIN3,liver,FOSL2 IP - HepG2 cells
83,SPP,CTCF,LPIN3,bone,"CTCF IP - Osteoblasts , CTCF IP"
84,SPP,YY1,LPIN3,lung,YY1 IP - A549 cells
85,SPP,GTF2F1,LPIN3,uterus,GTF2F1 IP - HeLa cells
86,SPP,REST,LPIN3,pancreas,"REST IP - Panc1 cells, Rep 3"
87,SPP,USF1,LPIN3,liver,USF1 IP - HepG2 cells
88,SPP,OTX2,LPIN3,stemcells,OTX2 IP - Rep 10 
89,SPP,YY1,LPIN3,uterus,YY1 IP - ECC1 cells
90,SPP,CTCF,LPIN3,liver,"CTCF IP - HepG2 cells , CTCF IP - HepG2 cells, Rep 2 , CTCF IP - HepG2 cells, Rep 1 , CTCF IP - SK-N-SH cells, CTCF IP"
