,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,PCYT1A,leukocytes,"CTCF IP - GM19239 cells, Rep 2 , CTCF IP -  CD20+ cells , CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM12828 cells, CTCF IP - K562 cells, CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - GM12870 cells , CTCF IP - GM12867 cells , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM12878 cells , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM10847 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - GM18486 cells, Rep 2 , CTCF IP - GM12871 cells , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - K562 cells , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP, CTCF IP - K562 cells, CTCF IP - GM12874 cells, Rep 1 , CTCF IP -  DND , CTCF IP - MS1 cells, Rep 2 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM12869 cells , CTCF IP - GM11831 cells, CTCF IP - GM12865 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - K562 cells, Rep 11 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM12868 cells , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM06986 cells, CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM12866 cells "
1,SPP,SRF,PCYT1A,leukocytes,"SRF IP - SK-N-SH cells, SRF IP - K562 cells, SRF IP - GM12878 cells, Rep 2"
2,SPP,IRF1,PCYT1A,colon,IRF1 IP 
3,SPP,GATA4,PCYT1A,stomach,"GATA4 IP - AGS, GATA4 IP - YCC3"
4,SPP,FOXA1,PCYT1A,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP | 17BE2 - T47D, FOXA1 IP | 17BE2 - MCF-7, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
5,SPP,DEX,PCYT1A,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, JUN IP | DEX, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1"
6,SPP,FOXA2,PCYT1A,stemcells,"FOXA2 IP - ES D5, FOXA2 IP - ES D7, FOXA2 IP - ES D10, FOXA2 IP - ES D2"
7,SPP,UBTF,PCYT1A,leukocytes,"UBTF IP - K562 cells, UBTF IP - K562 cells"
8,SPP,ATF2,PCYT1A,colon,ATF2 IP 
9,SPP,CEBPB,PCYT1A,leukocytes,"CEBPB ChIP-Seq - K562, CEBPB IP, CEBPB IP - Rep 203, CEBPB IP | oxLDL  - Rep 208, CEBPB IP, CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP | oxLDL  - Rep 205, CEBPB IP, CEBPB IP, CEBPB IP | oxLDL  - Rep 206, CEBPB IP - Rep 204, CEBPB IP, CEBPB IP"
10,SPP,BHLHE40,PCYT1A,liver,BHLHE40 IP - HepG2 cells
11,SPP,SPI1,PCYT1A,leukocytes,"SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP - K562 cells, SPI1 IP | RUNX1 KD, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - U-937 cells, Rep 5 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 6 , SPI1 IP - GM12891 cells, SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 3 , SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP"
12,SPP,STAT3,PCYT1A,leukocytes,"STAT3 IP - OCI-LY7, STAT3 IP - SU-DHL-4, STAT3 IP - OCI-LY10, STAT3 IP - OCI-LY19, STAT3 IP - U-2932, STAT3 IP - SU-DHL-6"
13,SPP,GABPA,PCYT1A,prostate,"GABPA IP - Rep 1, GABPA IP | R1881, GABPA IP - Rep 2"
14,SPP,NFYB,PCYT1A,leukocytes,"NFYB IP - K562 cells, NFYB IP - GM12878 cells"
15,SPP,ELK1,PCYT1A,uterus,"ELK1 IP - HeLa, ELK1 IP - HeLa cells"
16,SPP,BACH1,PCYT1A,leukocytes,BACH1 IP - K562 cells
17,SPP,HOXA6,PCYT1A,colon,HOXA6 IP 
18,SPP,GATA3,PCYT1A,cns,GATA3 IP - SK-N-SH cells
19,SPP,JUND,PCYT1A,uterus,JUND IP - HeLa cells
20,SPP,REST,PCYT1A,cns,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - U87 cells, REST IP - SK-N-SH cells, REST IP - PFSK1 cells, Rep 2, REST IP - SK cells"
21,SPP,TP63,PCYT1A,thyroidgland,TP63 IP - TT MTC
22,SPP,POU2F2,PCYT1A,leukocytes,"POU2F2 IP | POU2F2 Mut OE, POU2F2 IP - GM12878 cells"
23,SPP,GLI2,PCYT1A,colon,GLI2 IP 
24,SPP,SP1,PCYT1A,leukocytes,"SP1 IP - GM12878 cells, SP1 IP - K562 cells"
25,SPP,CTCF,PCYT1A,mammarygland,"CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - MCF7 cells, CTCF IP - HMEC cells, Rep 2 "
26,SPP,TBP,PCYT1A,uterus,TBP IP - HeLa cells
27,SPP,KLF11,PCYT1A,adiposetissue,"KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1"
28,SPP,HEY1,PCYT1A,leukocytes,HEY1 IP - K562 cells
29,SPP,FOXM1,PCYT1A,mammarygland,"FOXM1 IP - MCF7 cells, FOXM1 IP | THSP - DS008, FOXM1 IP - DS005, FOXM1 IP | THSP - DS006, FOXM1 IP - DS007"
30,SPP,JUND,PCYT1A,leukocytes,JUND IP - K562 cells
31,SPP,USF1,PCYT1A,lung,"USF1 IP - A549 cells, Rep 1, USF1 IP | DEX - A549 cells, USF1 IP - A549 cells, Rep 2"
32,SPP,GATA2,PCYT1A,prostate,"GATA2 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, GATA2 ChIP-Seq - Rep 2"
33,SPP,MYB,PCYT1A,leukocytes,"MYB IP - MOLT3, MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1"
34,SPP,RUNX1,PCYT1A,hspcs,"RUNX1, RUNX1 IP"
