,Database,TF,TargetGene,Tissue,Experiment
0,SPP,RUNX1,PCYT2,leukocytes,"RUNX1 IP, RUNX1 IP - Rep 1, SPI1 IP | RUNX1 KD, RUNX1 IP - Rep 2, RUNX1 IP, RUNX1 IP - N terminus 1, RUNX1 IP - N terminus 2"
1,SPP,FOS,PCYT2,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h"
2,SPP,4HT,PCYT2,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 36 h, E2F4 IP | 4HT - MCF10 cells, STAT3 IP | 4HT - MCF10 cells, 36 h, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h"
3,SPP,CTCF,PCYT2,kidney,"CTCF IP - HEK293 cells, Rep 2 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - HRE cells, Rep 1 , CTCF IP - HRE cells, Rep 2 "
4,SPP,CTCF,PCYT2,leukocytes,"CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - K562 cells, CTCF IP - KU812 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - K562 cells, Rep 15 , CTCF IP - KU812 cells, Rep 5 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - HeLa cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - GM12891 cells, Rep 1 , CTCF IP -  CD20+ cells , CTCF IP - MS1 cells, Rep 4 , CTCF IP - K562 cells, CTCF IP - NB4 cells , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP, CTCF IP - K562 cells , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP -  DND , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12871 cells , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - K562 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 3 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - K562 cells, Rep 11 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 2 "
5,SPP,YY1,PCYT2,stemcells,"YY1 IP - NT2 cells, YY1 IP - H1 cells"
6,SPP,BCL3,PCYT2,leukocytes,BCL3 IP - GM12878 cells
7,SPP,MYB,PCYT2,leukocytes,"MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 2"
8,SPP,USF1,PCYT2,leukocytes,"USF1 IP - GM12878 cells, USF1 IP - K562 cells"
9,SPP,ZNF143,PCYT2,leukocytes,ZNF143 IP - GM12878 cells
10,SPP,REST,PCYT2,liver,"REST IP - HepG2 cells, Rep 2, REST IP - HepG2 cells, Rep 1"
11,SPP,SRF,PCYT2,colon,SRF IP - HCT116 cells
12,SPP,CTCF,PCYT2,stemcells,"CTCF IP - Rep 6 , CTCF IP - H1 cells , CTCF IP - Rep 5 , CTCF IP - Rep 4 , CTCF IP - H1 cells"
13,SPP,YY1,PCYT2,leukocytes,"YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - K562 cells, Rep 1, YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells"
14,SPP,E2F6,PCYT2,stemcells,E2F6 IP - H1 cells
15,SPP,HEY1,PCYT2,liver,HEY1 IP - HepG2 cells
16,SPP,CTCF,PCYT2,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 8 "
17,SPP,MXI1,PCYT2,lung,MXI1 IP - IMR cells
18,SPP,SPI1,PCYT2,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 2 , SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP - GM12878 cells"
19,SPP,CREB1,PCYT2,prostate,"CREB1 ChIP-Seq - LNCaP, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP-abl, CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 1"
20,SPP,MYC,PCYT2,uterus,MYC IP - HeLa cells
21,SPP,GABPA,PCYT2,liver,"GABPA IP, GABPA IP - MCF7 cells, GABPA IP - HepG2 cells, GABPA IP, GABPA IP"
22,SPP,GATA2,PCYT2,cns,GATA2 ChIP-Seq SH-SY5Y
23,SPP,FOS,PCYT2,uterus,FOS IP - HeLa cells
24,SPP,USF1,PCYT2,cns,"USF1 IP | ATRA - SK-N-SH cells, USF1 IP - SK-N-SH cells"
25,SPP,ATRA,PCYT2,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
26,SPP,MAZ,PCYT2,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
27,SPP,FOSL2,PCYT2,mammarygland,FOSL2 IP - MCF7 cells
28,SPP,CREB1,PCYT2,stemcells,CREB1 IP - H1 cells
29,SPP,SP1,PCYT2,colon,SP1 IP - HCT116 cells
30,SPP,MAZ,PCYT2,lung,MAZ IP - IMR cells
31,SPP,REST,PCYT2,cns,"REST IP - PFSK1 cells, Rep 2, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - SK cells, REST IP - U87 cells"
32,SPP,GABPA,PCYT2,leukocytes,"GABPA IP - GM12878 cells, GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, Rep 2 , GABPA IP - K562 cells, GABPA IP - HL cells, GABPA IP, GABPA IP - GM12878 cells, Rep 5 , GABPA IP - Jurkat, Rep 1, GABPA IP - GM12878 cells, Rep 3 , GABPA IP - GM12878 cells, Rep 1 , GABPA IP - GM12878 cells, Rep 4 "
33,SPP,TCF12,PCYT2,stemcells,TCF12 IP - H1 cells
34,SPP,CTCF,PCYT2,hspcs,"CTCF IP - Erythroid cells, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 14 "
35,SPP,JUND,PCYT2,cns,JUND IP - SK-N-SH cells
36,SPP,CTCF,PCYT2,mammarygland,"CTCF IP - MCF-7 cells Rep 2 , CTCF IP - T47D cells, CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - MCF7 cells, CTCF IP - HMEC cells, Rep 1 "
37,SPP,ATF3,PCYT2,colon,"ATF3 IP - HCT116 cells, ATF3 IP | CAMPTO"
38,SPP,GATA2,PCYT2,prostate,FOXA1 KD | GATA2 ChIP-Seq
