,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,PEMT,skin,"CTCF IP - HFFC cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - NHDF cells, Rep 1 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - HFFC cells, Rep 3 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - AG09309 cells, Rep 2 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - NHEK cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - NHEK cells , CTCF IP - BJ cells, Rep 1 "
1,SPP,MYC,PEMT,bone,"MYC IP, MYC IP, MYC IP, MYC IP"
2,SPP,SRF,PEMT,colon,SRF IP - HCT116 cells
3,SPP,CTCF,PEMT,leukocytes,"CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - F36P cells, Rep 1 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 2 , CTCF IP - HL-60 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - K562 cells, Rep 5 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - GM12868 cells , CTCF IP - GM11811 cells, Rep 2, CTCF IP - HL-60 cells, Rep 7 , CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM12878 cells , CTCF IP - GM12815 cells, Rep 2, CTCF IP - MS1 cells, Rep 2 , CTCF IP - F36P cells, Rep 7 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - K562 cells, CTCF IP - MS1 cells, Rep 1 , CTCF IP - F36P cells, Rep 11 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM12866 cells , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - F36P cells, Rep 3 , CTCF IP - GM11881 cells, CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM06986 cells, CTCF IP - K562 cells, CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM12867 cells , CTCF IP - GM12870 cells , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM12155 cells, Rep 2, CTCF IP - GM12005 cells, Rep 2, CTCF IP - F36P cells, Rep 19 , CTCF IP - F36P cells, Rep 17 , CTCF IP - GM12828 cells, CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - GM12234 cells, CTCF IP - F36P cells, Rep 13 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - KU812 cells, Rep 5 , CTCF ChIP-Seq - GM12878, CTCF IP - NB4 cells , CTCF IP - GM12814 cells, Rep 2, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 5 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - K562 cells, Rep 15 , CTCF IP - HeLa cells, Rep 2 , CTCF IP -  CD20+ cells , CTCF IP -  DND , CTCF IP - K562 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12871 cells , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - K562 cells , CTCF IP - F36P cells, Rep 14 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM12749 cells, Rep 1, CTCF IP - GM10847 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 6 , CTCF IP - HL , CTCF IP - K562 cells, CTCF IP - K562 cells, Rep 13 , CTCF IP, CTCF IP - GM18526 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 2 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM12154 cells, Rep 2, CTCF IP - F36P cells, Rep 10 , CTCF IP - GM12874 cells, Rep 1 , CTCF IP - F36P cells, Rep 2 , CTCF IP - CD14+ cells , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - HL-60 cells, Rep 9 , CTCF IP - GM07346 cells, CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM12872 cells, CTCF IP - GM19099 cells, Rep 2 , CTCF IP - UT-7 cells, Rep 3 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM11831 cells, CTCF IP - GM10847 cells, Rep 2 , CTCF IP - GM12869 cells , CTCF IP - GM12865 cells, Rep 3 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - UT-7 cells, Rep 5 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - F36P cells, Rep 15 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM12154 cells, Rep 1, CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - F36P cells, Rep 6 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - F36P cells, Rep 5 , CTCF IP - GM11992 cells, Rep 1, CTCF IP - K562 cells, Rep 11 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - HL-60 cells, Rep 3 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM12875 cells, Rep 1 "
4,SPP,REST,PEMT,leukocytes,"REST IP - K562 cells, REST IP - HL60 cells"
5,SPP,STAT5B,PEMT,leukocytes,"STAT5B IP | IL2 - Rep 2, STAT5B IP | H9RETR, Rep 2, STAT5B IP - Rep 1, STAT5B IP | H9, Rep 2, STAT5B IP | H9, Rep 2, STAT5B IP - Rep 2, STAT5B IP | H9RET, Rep 2, STAT5B IP | H9RET, Rep 2"
6,SPP,IL2,PEMT,leukocytes,STAT5B IP | IL2 - Rep 2
7,SPP,CREB1,PEMT,leukocytes,"CREB1 IP, CREB1 IP - K562 cells, CREB1 IP - GM12878 cells, CREB1 IP"
8,SPP,ZBTB7A,PEMT,liver,ZBTB7A IP - HepG2 cells
9,SPP,MAFK,PEMT,lung,MAFK IP - IMR cells
