,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,PITPNM1,leukocytes,"CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM12828 cells, CTCF IP - K562 cells, CTCF IP - F36P cells, Rep 19 , CTCF IP - KU812 cells, Rep 18 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM11894 cells, Rep 2, CTCF IP - GM10847 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM12005 cells, Rep 2, CTCF IP - GM12870 cells , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - GM11811 cells, Rep 1, CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12234 cells, CTCF IP - F36P cells, Rep 13 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12814 cells, Rep 2, CTCF IP - HeLa cells, Rep 2 , CTCF IP - K562 cells, Rep 15 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - GM12871 cells , CTCF IP - GM12489 cells, Rep 1, CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12749 cells, Rep 1, CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM12006 cells, Rep 2, CTCF IP - UT-7 cells, Rep 6 , CTCF IP - HL , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - GM11994 cells, Rep 2, CTCF IP - K562 cells, Rep 3 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM12489 cells, Rep 2, CTCF IP - GM2630 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 9 , CTCF IP - MS1 cells, Rep 2 , CTCF IP -  DND , CTCF IP - GM12801 cells , CTCF IP - GM12872 cells, CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM11831 cells, CTCF IP - KU812 cells, Rep 17 , CTCF IP - GM12154 cells, Rep 2, CTCF IP - GM11994 cells, Rep 1, CTCF IP - K562 cells, Rep 10 , CTCF IP - F36P cells, Rep 15 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - K562 cells, Rep 4 , CTCF IP - F36P cells, Rep 9 , CTCF IP - GM11992 cells, Rep 2, CTCF IP - GM12875 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 3 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM11992 cells, Rep 1, CTCF IP - U-937 cells, Rep 2 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - F36P cells, Rep 6 , CTCF IP - HL-60 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - K562 cells, Rep 5 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM11811 cells, Rep 2, CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM12815 cells, Rep 2, CTCF IP - F36P cells, Rep 7 , CTCF IP - GM18526 cells, Rep 1 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - F36P cells, Rep 11 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - GM11881 cells, CTCF IP -  CD20+ cells , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM12005 cells, Rep 1, CTCF IP - K562 cells, Rep 14 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - F36P cells, Rep 17 , CTCF IP - GM12867 cells , CTCF IP - KU812 cells, Rep 6 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - NB4 cells , CTCF IP - HL-60 cells, Rep 5 , CTCF ChIP-Seq - GM12878, CTCF IP - KU812 cells, Rep 5 , CTCF IP - GM12749 cells, Rep 2, CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM12287 cells, Rep 2, CTCF IP - GM18486 cells, Rep 2 , CTCF IP - K562 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - GM07037 cells, CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM12287 cells, Rep 1, CTCF IP - K562 cells , CTCF IP - F36P cells, Rep 14 , CTCF IP - K562 cells, CTCF IP - F36P cells, Rep 10 , CTCF IP - GM12864 cells, Rep 2 , CTCF IP - K562 cells, Rep 13 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - CD14+ cells , CTCF IP - GM12874 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - F36P cells, Rep 2 , CTCF IP - GM07346 cells, CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 3 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - UT-7 cells, Rep 3 , CTCF IP - GM12869 cells , CTCF IP - K562 cells, Rep 7 , CTCF IP - UT-7 cells, Rep 5 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP, CTCF IP - GM06990 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM2588 cells, Rep 2 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12874 cells, CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - F36P cells, Rep 5 , CTCF IP - F36P cells, Rep 1 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12868 cells , CTCF IP - HL-60 cells, Rep 7 , CTCF IP - U-937 cells, Rep 1 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM12878 cells , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM12866 cells , CTCF IP - GM12006 cells, Rep 1, CTCF IP - F36P cells, Rep 3 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM06986 cells"
1,SPP,YY1,PITPNM1,cns,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
2,SPP,MAX,PITPNM1,leukocytes,"MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - K562 cells, MAX IP - NB4 cells"
3,SPP,CTCF,PITPNM1,miscellaneous,"CTCF IP - AG09319 cells, Rep 1 , CTCF IP - AG09319 cells, Rep 2 "
4,SPP,CTCF,PITPNM1,mammarygland,"CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMEC cells, Rep 2 , CTCF IP - T47D cells, CTCF IP - HMEC cells , CTCF IP - HMEC cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - HMF cells, Rep 1 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - MCF7 cells"
5,SPP,CREB1,PITPNM1,leukocytes,"CREB1 IP, CREB1 IP, CREB1 IP - K562 cells, CREB1 IP - GM12878 cells"
6,SPP,E2F4,PITPNM1,leukocytes,"E2F4 IP - K562 cells, E2F4 IP - GM12878 cells"
7,SPP,MAX,PITPNM1,lung,"MAX IP - A549 cells, MAX IP - A549 cells"
8,SPP,ETS1,PITPNM1,lung,ETS1 IP - A549 cells
9,SPP,HEY1,PITPNM1,leukocytes,HEY1 IP - K562 cells
