,Database,TF,TargetGene,Tissue,Experiment
0,SPP,PBX3,PLA2G12A,leukocytes,PBX3 IP - GM12878 cells
1,SPP,MEF2A,PLA2G12A,leukocytes,MEF2A IP - K562 cells
2,SPP,GABPA,PLA2G12A,liver,GABPA IP - HepG2 cells
3,SPP,CREB1,PLA2G12A,prostate,"CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP"
4,SPP,SPI1,PLA2G12A,leukocytes,"SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - K562 cells, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP - GM12878 cells, Rep 1 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP"
5,SPP,YY1,PLA2G12A,leukocytes,"YY1 IP - GM12878 cells, YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - K562 cells, Rep 1, YY1 IP - GM12892 cells, Rep 1"
6,SPP,MYC,PLA2G12A,mammarygland,"DHT | MYC ChIP-Seq, MYC IP - MCF-10A cells"
7,SPP,DHT,PLA2G12A,mammarygland,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq"
8,SPP,SP1,PLA2G12A,lung,SP1 IP - A549 cells
9,SPP,MAX,PLA2G12A,liver,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
10,SPP,ZNF263,PLA2G12A,kidney,ZNF263 IP - HEK293 cells
11,SPP,POU2F2,PLA2G12A,leukocytes,POU2F2 IP - GM12878 cells
12,SPP,E2F1,PLA2G12A,prostate,"E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1"
13,SPP,CEBPB,PLA2G12A,lung,CEBPB ChIP-Seq - IMR90
14,SPP,MYC,PLA2G12A,stemcells,MYC IP - Rep 2 
15,SPP,ETS1,PLA2G12A,leukocytes,"ETS1 IP, ETS1 IP - K562 cells"
16,SPP,ZNF384,PLA2G12A,leukocytes,ZNF384 IP - K562 cells
17,SPP,YY1,PLA2G12A,colon,YY1 IP - HCT116 cells
18,SPP,FOXA1,PLA2G12A,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq"
19,SPP,R1881,PLA2G12A,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
20,SPP,IRF4,PLA2G12A,leukocytes,IRF4 IP
