,Database,TF,TargetGene,Tissue,Experiment
0,SPP,FOSL2,PLA2G2F,mammarygland,FOSL2 IP - MCF7 cells
1,SPP,TP63,PLA2G2F,skin,"TP63 IP, TP63 IP | BANF1 KD, TP63 IP"
2,SPP,MAFK,PLA2G2F,liver,"MAFK IP - HepG2 cells, Rep 2"
3,SPP,BCL3,PLA2G2F,leukocytes,BCL3 IP - GM12878 cells
4,SPP,FOXA1,PLA2G2F,prostate,"FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP, EtOH | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - LNCaP-abl"
5,SPP,TP53,PLA2G2F,mammarygland,TP53 IP | NUTL3 - MCF-7
6,SPP,FOXA1,PLA2G2F,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 + TNF | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1"
7,SPP,DEX,PLA2G2F,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1"
8,SPP,R1881,PLA2G2F,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
9,SPP,USF1,PLA2G2F,leukocytes,USF1 IP - K562 cells
10,SPP,TP53,PLA2G2F,colon,"TP53 IP | CAMPTO, TP53 IP | NUTL3 - HCT-116, TP53 IP - HCT-116"
11,SPP,CAMPTO,PLA2G2F,colon,TP53 IP | CAMPTO
12,SPP,MAX,PLA2G2F,stemcells,MAX IP - H1 cells
13,SPP,TP53,PLA2G2F,bone,"TP53 IP | NUTL3, TP53 IP - Etopo, TP53 IP - Rep 2, TP53 IP - SJSA1, TP53 IP | TP53 OE, TP53 IP - Doxo DNA damage, TP53 IP | NUTL3 - SJSA-1, TP53 IP | TP53EE/RR OE, TP53 IP - ActD"
14,SPP,NUTL3,PLA2G2F,bone,TP53 IP | NUTL3
