,Database,TF,TargetGene,Tissue,Experiment
0,SPP,RELA,PLA2G4B,adiposetissue,"RELA IP, RELA IP"
1,SPP,CEBPB,PLA2G4B,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
2,SPP,FOXM1,PLA2G4B,uterus,FOXM1 IP - ECC1 cells
3,SPP,TEAD4,PLA2G4B,uterus,TEAD4 IP - ECC1 cells
4,SPP,TP63,PLA2G4B,skin,"TP63 IP, TP63 IP, TP63 IP, TP63 IP | BANF1 KD"
5,SPP,MYC,PLA2G4B,mammarygland,"MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq"
6,SPP,4HT,PLA2G4B,mammarygland,"MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 4 h"
7,SPP,MAX,PLA2G4B,leukocytes,MAX IP - NB4 cells
8,SPP,CREB1,PLA2G4B,prostate,"CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2"
9,SPP,TCF12,PLA2G4B,liver,TCF12 IP - MCF7 cells
10,SPP,EGR1,PLA2G4B,leukocytes,EGR1 IP - K562 cells
11,SPP,FOXA1,PLA2G4B,prostate,"FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - LNCaP-abl, FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - LNCaP, CON KD | FOXA1 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq - C4- Rep 2B, GATA2 KD + R1881 | FOXA1 ChIP-Seq, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq"
12,SPP,TP53,PLA2G4B,bone,"TP53 IP | TP53EE/RR OE, TP53 IP"
13,SPP,GATA3,PLA2G4B,mammarygland,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells"
14,SPP,ERG,PLA2G4B,prostate,"ERG IP - Rep 1, ERG | ERG ChIP-Seq, DHT | ERG ChIP-Seq - 2 h, DMSO | ERG ChIP-Seq - Rep 1, JQI | ERG ChIP-Seq - Rep 2, DMSO | ERG ChIP-Seq - Rep 2, ERG IP | R1881, ERG ChIP-Seq, JQI | ERG ChIP-Seq - Rep 1, DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq"
15,SPP,TP73,PLA2G4B,bone,"TP73 IP - alpha isoform, Rep 2, TP73 IP - beta isoform, Rep 1, TP73 IP - alpha isoform, Rep 1"
16,SPP,ZNF384,PLA2G4B,leukocytes,ZNF384 IP - K562 cells
17,SPP,CEBPB,PLA2G4B,mammarygland,CEBPB IP - MCF7 cells
18,SPP,AR,PLA2G4B,prostate,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq"
19,SPP,TCF7L2,PLA2G4B,mammarygland,TCF7L2 ChIP-Seq
20,SPP,TP53,PLA2G4B,mammarygland,TP53 IP | NUTL3 - MCF-7
21,SPP,USF1,PLA2G4B,uterus,USF1 IP - ECC1 cells
22,SPP,ELF1,PLA2G4B,colon,ELF1 IP - HCT116 cells
23,SPP,EBF1,PLA2G4B,leukocytes,EBF1 IP - GM12878 cells
24,SPP,DHT,PLA2G4B,prostate,"DHT | ERG ChIP-Seq - 2 h, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq - C4- Rep 2B, DHT | ERG ChIP-Seq - 18 h"
25,SPP,FOXA1,PLA2G4B,mammarygland,"FOXA1 IP - T47D cells, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2"
26,SPP,MAX,PLA2G4B,uterus,MAX IP - ECC1 cells
27,SPP,17BE2,PLA2G4B,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
28,SPP,SRF,PLA2G4B,mammarygland,SRF IP - MCF7 cells
29,SPP,GATA2,PLA2G4B,prostate,"GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
30,SPP,KLF5,PLA2G4B,stomach,KLF5 IP - KATOIII
31,SPP,JQ1,PLA2G4B,prostate,"JQI | ERG ChIP-Seq - Rep 2, JQI | ERG ChIP-Seq - Rep 1"
32,SPP,CEBPB,PLA2G4B,colon,"CEBPB IP - HCT116 cells, CEBPB IP, CEBPB IP | 125DVD3"
33,SPP,CEBPB,PLA2G4B,uterus,"CEBPB IP - ECC1 cells, CEBPB ChIP-Seq - HeLaS3"
34,SPP,YY1,PLA2G4B,uterus,YY1 IP - ECC1 cells
35,SPP,MYB,PLA2G4B,leukocytes,"MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 3"
36,SPP,TP53,PLA2G4B,skin,TP53 IP - Adriam
37,SPP,SP1,PLA2G4B,colon,SP1 IP - HCT116 cells
38,SPP,SRF,PLA2G4B,uterus,SRF IP - ECC1 cells
39,SPP,GABPA,PLA2G4B,prostate,"GABPA IP - Rep 1, GABPA IP | R1881"
40,SPP,MAX,PLA2G4B,colon,MAX IP - HCT116 cells
41,SPP,ELF3,PLA2G4B,pancreas,"ELF3 IP, ELF3 IP"
42,SPP,ZNF217,PLA2G4B,mammarygland,ZNF217 IP - MCF7 cells
43,SPP,MAX,PLA2G4B,liver,MAX IP - MCF7 cells
44,SPP,TAL1,PLA2G4B,leukocytes,TAL1 IP - MOLT3
45,SPP,RUNX1,PLA2G4B,leukocytes,RUNX1 IP
46,SPP,CEBPB,PLA2G4B,leukocytes,"CEBPB ChIP-Seq - K562, CEBPB IP, CEBPB IP | oxLDL  - Rep 208"
47,SPP,KLF5,PLA2G4B,pancreas,KLF5 IP
48,SPP,PBX3,PLA2G4B,leukocytes,PBX3 IP - GM12878 cells
49,SPP,ZNF263,PLA2G4B,kidney,ZNF263 IP - HEK293 cells
50,SPP,TCF12,PLA2G4B,uterus,TCF12 IP - ECC1 cells
51,SPP,ELF1,PLA2G4B,mammarygland,ELF1 IP - MCF7 cells
52,SPP,JUND,PLA2G4B,colon,JUND IP - HCT116 cells
53,SPP,FOS,PLA2G4B,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, FOS IP - MCF10A cells"
54,SPP,DEX,PLA2G4B,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1"
