,Database,TF,TargetGene,Tissue,Experiment
0,SPP,MYC,PLD6,leukocytes,"MYC IP | IFNA1 - K562 cells, 30 min, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNA1 - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 6 h, MYC IP - K562 cells, Rep 2, MYC IP - NB4 cells"
1,SPP,IFNA1,PLD6,leukocytes,"MYC IP | IFNA1 - K562 cells, 30 min, MYC IP | IFNA1 - K562 cells, 6 h"
2,SPP,HMGN3,PLD6,leukocytes,HMGN3 IP - K562 cells
3,SPP,YY1,PLD6,leukocytes,"YY1 IP - K562 cells, Rep 1, YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 2"
4,SPP,TEAD4,PLD6,leukocytes,TEAD4 IP - K562 cells
5,SPP,NFYC,PLD6,colon,NFYC IP 
6,SPP,CREB1,PLD6,uterus,CREB1 IP - ECC1 cells
7,SPP,KLF11,PLD6,adiposetissue,"KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
8,SPP,MXI1,PLD6,uterus,MXI1 IP - HeLa cells
9,SPP,FOXA1,PLD6,prostate,"FOXA1 KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , EtOH | FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2"
10,SPP,USF1,PLD6,uterus,USF1 IP - ECC1 cells
11,SPP,UBTF,PLD6,leukocytes,"UBTF IP - K562 cells, UBTF IP - K562 cells"
12,SPP,CTCF,PLD6,leukocytes,"CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP, CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 3 "
13,SPP,NFATC1,PLD6,leukocytes,NFATC1 IP - GM12878 cells
14,SPP,FOS,PLD6,leukocytes,"FOS IP - GM12878 cells, FOS IP - K562 cells"
15,SPP,CREB1,PLD6,leukocytes,"CREB1 IP - GM12878 cells, CREB1 IP - K562 cells"
16,SPP,POU2F2,PLD6,leukocytes,"POU2F2 IP - Rep 2, POU2F2 IP - GM12878 cells"
17,SPP,MYC,PLD6,mammarygland,"MYC IP | 4HT - MCF10A cells, MYC IP, DHT | MYC ChIP-Seq, MYC IP - MCF-10A cells"
18,SPP,4HT,PLD6,mammarygland,"MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, E2F4 IP | 4HT - MCF10 cells"
19,SPP,USF1,PLD6,liver,USF1 IP - HepG2 cells
20,SPP,RELA,PLD6,leukocytes,"RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP - IVD Th1 cells, PIA"
21,SPP,TNF,PLD6,leukocytes,"RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells"
22,SPP,MYC,PLD6,colon,MYC IP - DTT
23,SPP,CTCF,PLD6,hspcs,"CTCF IP - Erythroid cells, Rep 1, CTCF IP - Erythroid cells, Rep 2"
