,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,PNPLA3,leukocytes,"CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - K562 cells, Rep 1 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12866 cells , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12878 cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - K562 cells, CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - K562 cells, Rep 13 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - GM12891 cells, Rep 2 , CTCF IP - F36P cells, Rep 11 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - F36P cells, Rep 3 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12868 cells , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - K562 cells , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM19239 cells, Rep 1 "
1,SPP,TCF21,PNPLA3,vasculature,TCF21 IP
2,SPP,CTCF,PNPLA3,skin,"CTCF IP - AG10803 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - NHEK cells , CTCF IP - BJ cells, Rep 1 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - HFFC cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - HFFC cells, Rep 3 "
3,SPP,GABPA,PNPLA3,uterus,GABPA IP - HeLa cells
4,SPP,CTCF,PNPLA3,colon,"CTCF IP - Caco , CTCF IP - Rep 2 , CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 1 "
5,SPP,CTCF,PNPLA3,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 6 "
6,SPP,CTCF,PNPLA3,cns,"CTCF IP - SK-N-SH cells , CTCF IP - spinal cord astrocyte cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - SK cells, CTCF IP - SK-N-SH cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 2 , CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 1 "
7,SPP,UBTF,PNPLA3,leukocytes,UBTF IP - K562 cells
8,SPP,POU2F2,PNPLA3,leukocytes,POU2F2 IP - GM12878 cells
9,SPP,USF1,PNPLA3,stemcells,USF1 IP - H1 cells
10,SPP,TBP,PNPLA3,uterus,TBP IP - HeLa cells
11,SPP,MXI1,PNPLA3,lung,MXI1 IP - IMR cells
12,SPP,FOS,PNPLA3,vasculature,FOS IP - HUVEC cells
13,SPP,CEBPA,PNPLA3,leukocytes,CEBPA IP
14,SPP,CTCF,PNPLA3,sensory,"CTCF IP - WERI , CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 2 "
15,SPP,HOXA6,PNPLA3,colon,HOXA6 IP 
16,SPP,FOXA2,PNPLA3,stemcells,"FOXA2 IP - Rep 1 , FOXA2 IP - ES D2"
17,SPP,SRF,PNPLA3,stemcells,"SRF IP - Rep 6 , SRF IP - Rep 4 , SRF IP - Rep 7 "
18,SPP,TP73,PNPLA3,bone,"TP73 IP - beta isoform, Rep 1, TP73 IP - beta isoform, Rep 2, TP73 IP - alpha isoform, Rep 1, TP73 IP - alpha isoform, Rep 2"
19,SPP,MAZ,PNPLA3,lung,MAZ IP - IMR cells
20,SPP,CEBPB,PNPLA3,liver,"CEBPB ChIP-Seq - HepG2, CEBPB IP - HepG2 cells, CEBPB IP | FORSK - HepG2 cells"
21,SPP,CTCF,PNPLA3,mammarygland,"CTCF IP - HMEC cells, Rep 1 , CTCF IP - HMF cells, Rep 2 "
22,SPP,JUN,PNPLA3,mammarygland,"JUN IP, JUN IP | DEX, JUN IP | CPDA, JUN IP - Rep 1, JUN IP - Rep 2"
23,SPP,CREB1,PNPLA3,prostate,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2"
24,SPP,FOXA1,PNPLA3,prostate,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2"
25,SPP,CEBPB,PNPLA3,leukocytes,"CEBPB IP - K562 cells, CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP, CEBPB IP - Rep 201, CEBPB IP| oxLDL  - Rep 207, CEBPB IP, CEBPB IP - Rep 203, CEBPB IP | oxLDL  - Rep 206, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP | oxLDL  - Rep 208, CEBPB IP - Rep 204, CEBPB IP | oxLDL  - Rep 205, CEBPB IP, CEBPB IP - Rep 202, CEBPB ChIP-Seq - K562"
26,SPP,TP63,PNPLA3,skin,"TP63 IP, TP63 IP | BANF1 KD, TP63 IP, TP63 IP"
27,SPP,CTCF,PNPLA3,liver,"CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells , CTCF IP, CTCF IP - HepG2 cells, Rep 1 , CTCF IP - HepG2 cells, Rep 2 "
28,SPP,CREB1,PNPLA3,leukocytes,CREB1 IP - K562 cells
29,SPP,CTCF,PNPLA3,kidney,"CTCF IP - HRE cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - HRE cells, Rep 1 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - HEK293 cells, Rep 2 "
30,SPP,YY1,PNPLA3,liver,YY1 IP - HepG2 cells
31,SPP,E2F6,PNPLA3,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
32,SPP,FOSL2,PNPLA3,mammarygland,FOSL2 IP - MCF7 cells
33,SPP,CTCF,PNPLA3,lung,"CTCF IP - IMR cells, CTCF IP - HPF cells, Rep 1 , CTCF IP - HPF cells, Rep 2 , CTCF IP - AG04450 cells, Rep 1 , CTCF IP - NHLF cells , CTCF IP | DEX - A549 cells , CTCF IP - SAEC cells, Rep 2 , CTCF IP - A549 cells "
34,SPP,GATA3,PNPLA3,mammarygland,"GATA3 IP - MCF7 cells, GATA3 IP - MCF-7 cells, GATA3 IP - T47D cells"
35,SPP,MAX,PNPLA3,liver,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
36,SPP,HEY1,PNPLA3,liver,HEY1 IP - HepG2 cells
37,SPP,SP1,PNPLA3,colon,SP1 IP - HCT116 cells
38,SPP,TCF7L2,PNPLA3,mammarygland,TCF7L2 ChIP-Seq
39,SPP,E2F1,PNPLA3,uterus,"E2F1 IP - HeLa cells, Rep 2"
40,SPP,JUND,PNPLA3,stemcells,JUND IP - H1 cells
41,SPP,OTX2,PNPLA3,stemcells,"OTX2 IP - Rep 10 , OTX2 IP - Rep 3 , OTX2 IP - Rep 4 , OTX2 IP - Rep 5 , OTX2 IP - Rep 8 , OTX2 IP - Rep 6 , OTX2 IP - Rep 2 , OTX2 IP - Rep 7 "
42,SPP,DEX,PNPLA3,mammarygland,JUN IP | DEX
43,SPP,CTCF,PNPLA3,vasculature,"CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - HUVEC cells, Rep 1 "
44,SPP,ATF2,PNPLA3,colon,ATF2 IP 
45,SPP,SOX2,PNPLA3,stemcells,SOX2 IP
46,SPP,ZBTB7A,PNPLA3,uterus,ZBTB7A IP - ECC1 cells
