,Database,TF,TargetGene,Tissue,Experiment
0,SPP,FOXA1,PTPMT1,prostate,"DHT | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, POU2F1 KD + DHT | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP-abl, CON KD | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2"
1,SPP,DHT,PTPMT1,prostate,"DHT | FOXA1 ChIP-Seq, POU2F1 KD + DHT | FOXA1 ChIP-Seq"
2,SPP,E2F1,PTPMT1,prostate,"E2F1 ChIP-Seq - Rep 4, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
3,SPP,YY1,PTPMT1,cns,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
4,SPP,CEBPB,PTPMT1,leukocytes,"CEBPB IP, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP, CEBPB ChIP-Seq - K562, CEBPB IP - K562 cells, CEBPB IP - HL-60 cells, Rep 1 "
5,SPP,FOXA1,PTPMT1,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D, FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, TNF | FOXA1 ChIP-Seq - Rep 2"
6,SPP,DEX,PTPMT1,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1"
7,SPP,R1881,PTPMT1,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq"
8,SPP,GATA2,PTPMT1,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, GATA2 ChIP-Seq, GATA2 ChIP-Seq - Rep 2"
9,SPP,POU2F1,PTPMT1,prostate,POU2F1 KD + DHT | FOXA1 ChIP-Seq
10,SPP,RUNX1,PTPMT1,hspcs,RUNX1
11,SPP,MXI1,PTPMT1,leukocytes,MXI1 IP - GM12878 cells
12,SPP,FOXA2,PTPMT1,liver,FOXA2 IP - HepG2 cells
13,SPP,CREB1,PTPMT1,leukocytes,"CREB1 IP - K562 cells, CREB1 IP - GM12878 cells"
14,SPP,CEBPB,PTPMT1,colon,"CEBPB IP | 125DVD3, CEBPB IP"
15,SPP,125DVD3,PTPMT1,colon,CEBPB IP | 125DVD3
16,SPP,UBTF,PTPMT1,leukocytes,"UBTF IP - K562 cells, UBTF IP - K562 cells"
17,SPP,ZNF143,PTPMT1,uterus,"ZNF143 IP - HeLa, Rep 1, ZNF143 IP - HeLa cells"
18,SPP,POU2F2,PTPMT1,leukocytes,POU2F2 IP - GM12878 cells
19,SPP,MYC,PTPMT1,liver,MYC IP
20,SPP,TCF7L2,PTPMT1,mammarygland,TCF7L2 ChIP-Seq
21,SPP,MAX,PTPMT1,cns,MAX IP - SK-N-SH cells
22,SPP,ZNF143,PTPMT1,leukocytes,"ZNF143 IP - GM12878 cells, ZNF143 IP - K562 cells"
23,SPP,CEBPB,PTPMT1,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
