,Database,TF,TargetGene,Tissue,Experiment
0,SPP,YY1,ENPP7,liver,YY1 IP - HepG2 cells
1,SPP,USF1,ENPP7,lung,"USF1 IP - A549 cells, Rep 1, USF1 IP - A549 cells, Rep 2, USF1 IP | DEX - A549 cells"
2,SPP,CTCF,ENPP7,lung,"CTCF IP - AG04450 cells, Rep 1 , CTCF IP - IMR cells, CTCF ChIP-Seq - A549, CTCF IP - A549 cells, CTCF IP - A549 cells, Rep 2 , CTCF IP | DEX - A549 cells, CTCF IP | DEX - A549 cells , CTCF IP - A549 cells "
3,SPP,RELA,ENPP7,leukocytes,RELA IP | TNF - GM12891 cells
4,SPP,TNF,ENPP7,leukocytes,RELA IP | TNF - GM12891 cells
5,SPP,CTCF,ENPP7,leukocytes,"CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - GM19238 cells, Rep 1 , CTCF IP - NB4 cells , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - KU812 cells, Rep 5 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - K562 cells, Rep 15 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - K562 cells, Rep 2 , CTCF IP -  DND , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM12871 cells , CTCF IP - K562 cells , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - GM12890 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - GM12891 cells, Rep 2 , CTCF IP - K562 cells, Rep 12 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - UT-7 cells, Rep 6 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - K562 cells, Rep 11 , CTCF IP - UT-7 cells, Rep 3 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM12892 cells, Rep 2 "
6,SPP,SP1,ENPP7,lung,SP1 IP - A549 cells
7,SPP,CTCF,ENPP7,mammarygland,"CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - MCF7 cells, CTCF IP - T47D cells, CTCF IP - HMF cells, Rep 1 , CTCF IP - HMEC cells, Rep 1 "
8,SPP,CTCF,ENPP7,colon,"CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 2 , CTCF IP - Caco , CTCF IP - HCT116 cells"
9,SPP,ZNF143,ENPP7,uterus,"ZNF143 IP - HeLa, Rep 1, ZNF143 Ip - HeLa, Rep 2, ZNF143 IP - HeLa cells"
10,SPP,GABPA,ENPP7,leukocytes,"GABPA IP - Jurkat, Rep 2, GABPA IP, GABPA IP - GM12878 cells, Rep 4 , GABPA IP - Jurkat, Rep 1, GABPA IP - K562 cells"
