,Database,TF,TargetGene,Tissue,Experiment
0,SPP,FOXA1,GALC,prostate,"FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP-abl, FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2"
1,SPP,GATA3,GALC,mammarygland,"GATA3 IP - MCF7 cells, GATA3 IP - T47D cells"
2,SPP,SMAD1,GALC,hspcs,"SMAD1 IP - Rep 4, SMAD1 IP - Rep 3, SMAD1 IP - Rep 2"
3,SPP,GATA1,GALC,hspcs,"GATA1 IP - Rep 2, GATA1 IP - Rep 3, GATA1 IP - PBDE cells, Rep 1, GATA1 IP - Rep 1"
4,SPP,MAX,GALC,leukocytes,"MAX IP - K562 cells, Rep 2, MAX IP - K562 cells, MAX IP - GM12878 cells, MAX IP - NB4 cells"
5,SPP,CTCF,GALC,leukocytes,"CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP, CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 1 , CTCF ChIP-Seq - GM12878, CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - GM18486 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - CD14+ cells , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 2 "
6,SPP,FOXA2,GALC,stemcells,"FOXA2 IP - ES D7, FOXA2 IP - ES D5, FOXA2 IP - ES D2, FOXA2 IP - ES D10"
7,SPP,EGR1,GALC,liver,EGR1 IP - MCF7 cells
8,SPP,ETS1,GALC,leukocytes,"ETS1 IP - K562 cells, ETS1 IP - GM12878 cells, ETS1 IP"
9,SPP,GATA3,GALC,cns,GATA3 IP - SK-N-SH cells
