,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,A4GALT,bone,CTCF IP - Osteoblasts 
1,SPP,FOXA1,A4GALT,liver,"FOXA1 IP - HepG2 cells, Rep 2, FOXA1 IP - HepG2 cells, Rep 1"
2,SPP,PBX3,A4GALT,leukocytes,PBX3 IP - GM12878 cells
3,SPP,MEF2B,A4GALT,kidney,MEF2B IP | MEF2B OE - Rep 2
4,SPP,MTA3,A4GALT,leukocytes,MTA3 IP - GM12878 cells
5,SPP,ELF3,A4GALT,pancreas,"ELF3 IP, ELF3 IP | KLF5 KO, ELF3 IP"
6,SPP,SPI1,A4GALT,leukocytes,"SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP"
7,SPP,MEF2A,A4GALT,leukocytes,MEF2A IP - GM12878 cells
8,SPP,FOXA1,A4GALT,mammarygland,"FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
9,SPP,RELA,A4GALT,leukocytes,"RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12891 cells"
10,SPP,CEBPB,A4GALT,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
11,SPP,CEBPB,A4GALT,uterus,"CEBPB IP - ECC1 cells, CEBPB ChIP-Seq - HeLaS3"
12,SPP,RELA,A4GALT,adiposetissue,"RELA IP, RELA IP"
13,SPP,CEBPB,A4GALT,leukocytes,"CEBPB IP | oxLDL  - Rep 208, CEBPB IP"
14,SPP,SMAD1,A4GALT,hspcs,"SMAD1 IP - Rep 2, SMAD1 IP - Rep 4, SMAD1 IP - Rep 1, SMAD1 IP - Rep 3"
15,SPP,MYB,A4GALT,leukocytes,"MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 3"
16,SPP,CEBPB,A4GALT,bone,CEBPB IP
17,SPP,HNF1B,A4GALT,pancreas,HNF1B IP
18,SPP,KLF5,A4GALT,pancreas,"ELF3 IP | KLF5 KO, KLF5 IP, FOXA1 IP | KLF5 KO"
19,SPP,17BE2,A4GALT,mammarygland,"17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
20,SPP,JUN,A4GALT,mammarygland,"JUN IP - Rep 1, JUN IP - Rep 2"
21,SPP,E2F1,A4GALT,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP"
22,SPP,CEBPB,A4GALT,liver,CEBPB ChIP-Seq - HepG2
23,SPP,E2F6,A4GALT,stemcells,E2F6 IP - H1 cells
24,SPP,SRF,A4GALT,leukocytes,SRF IP - SK-N-SH cells
25,SPP,CTCF,A4GALT,skin,"CTCF IP - NHDF cells, Rep 1 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - NHDF cells "
26,SPP,CEBPB,A4GALT,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90"
27,SPP,BATF,A4GALT,leukocytes,BATF IP - GM12878 cells
28,SPP,GATA3,A4GALT,mammarygland,"GATA3 IP - MCF7 cells, GATA3 IP - T47D cells, GATA3 IP - MCF-7 cells"
29,SPP,ZEB1,A4GALT,leukocytes,ZEB1 IP - GM12878 cells
30,SPP,STAT3,A4GALT,leukocytes,"STAT3 IP - OCI-LY7, STAT3 IP - SU-DHL-6, STAT3 IP - U-2932"
31,SPP,TNF,A4GALT,leukocytes,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12891 cells"
32,SPP,ATF2,A4GALT,leukocytes,ATF2 IP - GM12878 cells
33,SPP,CTCF,A4GALT,leukocytes,"CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP, CTCF IP - GM12873 cells, Rep 3 , CTCF IP -  CD20+ cells "
34,SPP,GATA1,A4GALT,hspcs,"GATA1 IP - Rep 2, GATA1 IP - PBDE cells, Rep 1, GATA1 IP - Rep 1, GATA1 IP - Rep 3"
35,SPP,TCF3,A4GALT,leukocytes,TCF3 IP - GM12878 cells
36,SPP,IRF1,A4GALT,pancreas,IRF1 IP
37,SPP,TCF21,A4GALT,vasculature,"TCF21 IP, TCF21 IP"
38,SPP,CTCF,A4GALT,vasculature,"CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 1 "
