,Database,TF,TargetGene,Tissue,Experiment
0,SPP,YY1,FUT1,leukocytes,"YY1 IP - K562 cells, Rep 2, YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1, YY1 IP - K562 cells, Rep 1"
1,SPP,ZNF143,FUT1,leukocytes,"ZNF143 IP - GM12878 cells, ZNF143 IP - K562 cells, ZNF143 IP - K562, ZNF143 IP - HPB-ALL"
2,SPP,CEBPB,FUT1,leukocytes,"CEBPB IP, CEBPB IP - K562 cells, CEBPB ChIP-Seq - K562"
3,SPP,FOXA1,FUT1,mammarygland,"FOXA1 IP - T47D cells, FOXA1 IP | 17BE2 - MCF-7, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq"
4,SPP,FOXM1,FUT1,mammarygland,"FOXM1 IP - MCF7 cells, FOXM1 IP - DS017"
5,SPP,ZNF143,FUT1,colon,ZNF143 IP 
6,SPP,SIX5,FUT1,lung,SIX5 IP | DEX - A549 cells
7,SPP,RELA,FUT1,leukocytes,"RELA IP | TNF - GM19099 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM19193 cells"
8,SPP,STAT2,FUT1,colon,STAT2 IP 
9,SPP,FOXP1,FUT1,colon,FOXP1 IP 
10,SPP,MAX,FUT1,liver,"MAX IP - MCF7 cells, MAX IP - HepG2 cells"
11,SPP,E2F6,FUT1,stemcells,E2F6 IP - H1 cells
12,SPP,TEAD4,FUT1,uterus,TEAD4 IP - ECC1 cells
13,SPP,E2F1,FUT1,prostate,"BICALU | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 1"
14,SPP,BICALU,FUT1,prostate,"BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1"
15,SPP,SRF,FUT1,colon,SRF IP - HCT116 cells
16,SPP,REST,FUT1,leukocytes,REST IP - K562 cells
17,SPP,CREB1,FUT1,colon,CREB1 IP 
18,SPP,THAP11,FUT1,stemcells,"THAP11 IP - Rep 5 , THAP11 IP - Rep 3 , THAP11 IP - Rep 2 , THAP11 IP - Rep 1 , THAP11 IP - Rep 4 "
19,SPP,GATA2,FUT1,leukocytes,"GATA2 IP - K562 cells, GATA2 IP - K562 cells"
20,SPP,STAT1,FUT1,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
21,SPP,IFNG,FUT1,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
22,SPP,TCF12,FUT1,uterus,TCF12 IP - ECC1 cells
23,SPP,STAT3,FUT1,leukocytes,"STAT3 IP - OCI-LY19, STAT3 IP - U-2932"
24,SPP,GLI2,FUT1,colon,GLI2 IP 
25,SPP,ZBTB7A,FUT1,uterus,ZBTB7A IP - ECC1 cells
26,SPP,MYC,FUT1,leukocytes,"MYC IP | IFNG - K562 cells, 6 h, MYC IP - NB4 cells, MYC IP | IFNA1 - K562 cells, 6 h, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 30 min"
27,SPP,IFNG,FUT1,leukocytes,"MYC IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 5, IRF1 IP - Rep 3, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, STAT1 IP | IFNG - K562 cells, 30 min, STAT1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 2, STAT1 IP - Rep 3, MYC IP | IFNG - K562 cells, 30 min"
28,SPP,CREB1,FUT1,lung,"CREB1 IP - A549 cells, Rep 2, CREB1 IP | DEX - A549 cells"
29,SPP,E2F1,FUT1,mammarygland,"E2F1 IP, E2F1 IP - MCF7 cells"
30,SPP,ETS1,FUT1,lung,ETS1 IP - A549 cells
31,SPP,ZNF263,FUT1,kidney,ZNF263 IP - HEK293 cells
32,SPP,TBP,FUT1,leukocytes,TBP IP - K562 cells
33,SPP,CEBPB,FUT1,colon,"CEBPB IP | 125DVD3, CEBPB IP - HCT116 cells, CEBPB IP"
34,SPP,125DVD3,FUT1,colon,CEBPB IP | 125DVD3
35,SPP,BARX1,FUT1,colon,BARX1 IP - Rep 1 
36,SPP,SP1,FUT1,lung,SP1 IP - A549 cells
37,SPP,CTCF,FUT1,stemcells,"CTCF IP - H1 cells , CTCF IP - Rep 5 , CTCF IP - Rep 6 "
38,SPP,FOSL1,FUT1,colon,FOSL1 IP - HCT116 cells
39,SPP,SIX5,FUT1,leukocytes,"SIX5 IP - K562 cells, Rep 1, SIX5 IP - GM12878 cells, SIX5 IP - K562 cells, Rep 2"
40,SPP,FOXA1,FUT1,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
41,SPP,ATF1,FUT1,leukocytes,ATF1 IP - K562 cells
42,SPP,ERG,FUT1,prostate,"DMSO | ERG ChIP-Seq - Rep 2, JQI | ERG ChIP-Seq - Rep 2, DMSO | ERG ChIP-Seq - Rep 1, JQI | ERG ChIP-Seq - Rep 1, DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 2 h"
43,SPP,IRF1,FUT1,colon,IRF1 IP 
44,SPP,GTF2F1,FUT1,uterus,GTF2F1 IP - HeLa cells
45,SPP,FOXP1,FUT1,prostate,DHT | FOXP1 ChIP-Seq
46,SPP,DHT,FUT1,prostate,"DHT | FOXP1 ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
47,SPP,SOX2,FUT1,stemcells,SOX2 IP
48,SPP,USF1,FUT1,stemcells,USF1 IP - H1 cells
49,SPP,JUN,FUT1,colon,JUN IP 
50,SPP,JUND,FUT1,liver,JUND IP - HepG2 cells
51,SPP,E2F1,FUT1,uterus,"E2F1 IP - HeLa cells, Rep 2"
52,SPP,JQ1,FUT1,prostate,"JQI | ERG ChIP-Seq - Rep 2, JQI | ERG ChIP-Seq - Rep 1"
53,SPP,ETS1,FUT1,leukocytes,"ETS1 IP - K562 cells, ETS1 IP, ETS1 IP - GM12878 cells"
54,SPP,JUND,FUT1,stemcells,"JUND IP - H1 cells, JUND IP - H1 cells"
55,SPP,FOXA2,FUT1,liver,FOXA2 IP - HepG2 cells
56,SPP,MAZ,FUT1,uterus,MAZ IP - HeLa cells
57,SPP,CEBPB,FUT1,liver,"CEBPB IP | FORSK - HepG2 cells, CEBPB ChIP-Seq - HepG2"
58,SPP,FORSK,FUT1,liver,CEBPB IP | FORSK - HepG2 cells
59,SPP,TAL1,FUT1,colon,TAL1 IP 
60,SPP,YY1,FUT1,lung,YY1 IP - A549 cells
61,SPP,GABPA,FUT1,lung,GABPA IP - A549 cells
62,SPP,RBPJ,FUT1,leukocytes,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
63,SPP,COMPE,FUT1,leukocytes,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
64,SPP,NFYB,FUT1,leukocytes,"NFYB IP - GM12878 cells, NFYB IP - K562 cells"
65,SPP,TCF12,FUT1,liver,TCF12 IP - MCF7 cells
66,SPP,BAY082,FUT1,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA"
67,SPP,TCF7L2,FUT1,mammarygland,TCF7L2 ChIP-Seq
68,SPP,JUND,FUT1,colon,JUND IP - HCT116 cells
69,SPP,RELA,FUT1,mammarygland,"17BE2 | RELA ChIP-Seq - Rep 1, TNF | RELA ChIP-Seq - Rep 2, 17BE2 | RELA ChIP-Seq - Rep 2, RELA ChIP-Seq - Rep 1, 17BE2 + TNF | RELA ChIP-Seq - Rep 1, 17BE2 + TNF | RELA Chip-Seq - Rep 2"
70,SPP,17BE2,FUT1,mammarygland,"17BE2 | RELA ChIP-Seq - Rep 1, FOXA1 IP | 17BE2 - MCF-7, 17BE2 | RELA ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
71,SPP,FOS,FUT1,vasculature,FOS IP - HUVEC cells
72,SPP,ZNF143,FUT1,uterus,"ZNF143 IP - HeLa, Rep 1, ZNF143 Ip - HeLa, Rep 2, ZNF143 IP - HeLa cells"
73,SPP,SPI1,FUT1,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP"
74,SPP,GABPA,FUT1,prostate,"GABPA IP - Rep 1, GABPA IP | R1881"
75,SPP,CREB1,FUT1,prostate,"CREB1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl"
76,SPP,ELF1,FUT1,cns,ELF1 IP - SK-N-SH cells
77,SPP,USF1,FUT1,cns,USF1 IP | ATRA - SK-N-SH cells
