,Database,TF,TargetGene,Tissue,Experiment
0,SPP,PAX5,ST3GAL2,leukocytes,"PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12891 cells"
1,SPP,MYC,ST3GAL2,mammarygland,"MYC IP - MCF-10A cells, MYC IP, DHT | MYC ChIP-Seq"
2,SPP,FOSL2,ST3GAL2,cns,FOSL2 IP - SK-N-SH cells
3,SPP,E2F1,ST3GAL2,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
4,SPP,BICALU,ST3GAL2,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
5,SPP,TCF3,ST3GAL2,leukocytes,TCF3 IP - GM12878 cells
6,SPP,BARX1,ST3GAL2,colon,BARX1 IP - Rep 1 
7,SPP,RBPJ,ST3GAL2,leukocytes,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
8,SPP,COMPE,ST3GAL2,leukocytes,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
9,SPP,YY1,ST3GAL2,leukocytes,"YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 1, YY1 IP - GM12891 cells"
10,SPP,FOXM1,ST3GAL2,mammarygland,FOXM1 IP | THSP - DS018
11,SPP,TBP,ST3GAL2,stemcells,TBP IP - H1 cells
12,SPP,HEY1,ST3GAL2,leukocytes,HEY1 IP - K562 cells
13,SPP,IRF1,ST3GAL2,leukocytes,"IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP - Rep 4, IRF1 IP - Rep 1, IRF1 IP - Rep 2"
