,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,ST8SIA5,stemcells,"CTCF IP - H1 cells, CTCF IP - H1 cells , CTCF IP - Rep 6 "
1,SPP,GABPA,ST8SIA5,leukocytes,"GABPA IP - Jurkat, Rep 2, GABPA IP - Jurkat, Rep 1"
2,SPP,CTCF,ST8SIA5,liver,"CTCF IP, CTCF IP - HepG2 cells , CTCF IP - HepG2 cells, Rep 1 , CTCF IP - SK-N-SH cells"
3,SPP,CTCF,ST8SIA5,leukocytes,"CTCF IP - GM11831 cells, CTCF IP - F36P cells, Rep 17 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - K562 cells, CTCF IP - F36P cells, Rep 1 , CTCF IP - F36P cells, Rep 15 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - F36P cells, Rep 19 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM12814 cells, Rep 1, CTCF IP - F36P cells, Rep 10 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - F36P cells, Rep 14 , CTCF IP - K562 cells, Rep 14 , CTCF IP - K562 cells , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - F36P cells, Rep 9 , CTCF IP - F36P cells, Rep 5 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - F36P cells, Rep 6 , CTCF IP - K562 cells, Rep 15 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - K562 cells, Rep 16 , CTCF IP - F36P cells, Rep 7 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - F36P cells, Rep 2 , CTCF IP - F36P cells, Rep 11 , CTCF IP - F36P cells, Rep 3 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - KU812 cells, Rep 5 "
4,SPP,MAFK,ST8SIA5,liver,"MAFK IP - HepG2 cells, Rep 2"
5,SPP,CTCF,ST8SIA5,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 2 "
6,SPP,FOXA1,ST8SIA5,prostate,"FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
7,SPP,OTX2,ST8SIA5,stemcells,OTX2 IP - Rep 10 
8,SPP,REST,ST8SIA5,stemcells,"REST IP - H1 cells, Rep 2, REST IP - H1 cells, Rep 1"
9,SPP,JUND,ST8SIA5,leukocytes,JUND IP - K562 cells
10,SPP,CREB1,ST8SIA5,prostate,CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1
11,SPP,SPI1,ST8SIA5,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP, SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP, SPI1 IP - HL cells"
12,SPP,CREB1,ST8SIA5,stemcells,CREB1 IP - H1 cells
13,SPP,CTCF,ST8SIA5,lung,"CTCF IP - HPF cells, Rep 1 "
14,SPP,EGR1,ST8SIA5,stemcells,EGR1 IP - H1 cells
15,SPP,CTCF,ST8SIA5,cns,"CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - spinal cord astrocyte cells, Rep 2 "
16,SPP,TP63,ST8SIA5,skin,"TP63 IP, TP63 IP"
17,SPP,FOXA1,ST8SIA5,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1"
18,SPP,DEX,ST8SIA5,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1"
19,SPP,CEBPB,ST8SIA5,stemcells,"CEBPB IP, CEBPB IP"
20,SPP,CTCF,ST8SIA5,mammarygland,"CTCF IP - HMF cells, Rep 2 "
21,SPP,ASCL1,ST8SIA5,skin,ASCL1 IP - NHDF
22,SPP,TAL1,ST8SIA5,megakaryocytelineage,"TAL1 IP - CHRF-288-11 cells, Rep 1 , TAL1 IP - CHRF-288-11 cells, Rep 4 "
23,SPP,EBF1,ST8SIA5,leukocytes,EBF1 IP - GM12878 cells
24,SPP,MEF2A,ST8SIA5,leukocytes,MEF2A IP - GM12878 cells
25,SPP,MAX,ST8SIA5,lung,MAX IP - A549 cells
26,SPP,17BE2,ST8SIA5,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
27,SPP,CTCF,ST8SIA5,vasculature,"CTCF IP - HPAF cells, Rep 1 , CTCF IP - HBMEC cells, Rep 1 "
28,SPP,STAT1,ST8SIA5,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 3"
29,SPP,IFNG,ST8SIA5,leukocytes,"STAT1 IP - Rep 5, IRF1 IP - Rep 2, STAT1 IP - Rep 3, IRF1 IP - Rep 3"
30,SPP,CEBPA,ST8SIA5,leukocytes,CEBPA IP
31,SPP,IRF1,ST8SIA5,leukocytes,"IRF1 IP - Rep 2, IRF1 IP - Rep 3"
32,SPP,SRF,ST8SIA5,stemcells,SRF IP - Rep 7 
33,SPP,JUND,ST8SIA5,liver,JUND IP - HepG2 cells
34,SPP,DHT,ST8SIA5,prostate,DHT | FOXA1 ChIP-Seq
35,SPP,REST,ST8SIA5,cns,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - U87 cells"
36,SPP,REST,ST8SIA5,uterus,REST IP - SK-N-SH cells
37,SPP,GATA1,ST8SIA5,hspcs,"GATA1 IP - PBDE cells, Rep 1"
38,SPP,FOS,ST8SIA5,vasculature,FOS IP - HUVEC cells
39,SPP,REST,ST8SIA5,leukocytes,"REST IP - HL60 cells, REST IP - K562 cells"
40,SPP,MAX,ST8SIA5,cns,MAX IP - SK-N-SH cells
41,SPP,CEBPB,ST8SIA5,leukocytes,"CEBPB ChIP-Seq - K562, CEBPB IP"
42,SPP,R1881,ST8SIA5,prostate,GATA2 KD + R1881 | FOXA1 ChIP-Seq
43,SPP,GATA2,ST8SIA5,prostate,GATA2 KD + R1881 | FOXA1 ChIP-Seq
44,SPP,CTCF,ST8SIA5,skeletalmuscle,"CTCF IP - HSMM cells, Rep 2 , CTCF IP - HSMM cells, Rep 1 "
45,SPP,MAX,ST8SIA5,stemcells,MAX IP - H1 cells
46,SPP,GATA2,ST8SIA5,leukocytes,GATA2 IP - K562 cells
47,SPP,CTCF,ST8SIA5,sensory,"CTCF IP - HRPEpiC cells, Rep 1 "
48,SPP,ROSI,ST8SIA5,leukocytes,ROSI | SPI1 ChIP-Seq
49,SPP,CTCF,ST8SIA5,heart,"CTCF IP - myocytes cells, Rep 1 "
50,SPP,GATA3,ST8SIA5,mammarygland,GATA3 IP - T47D cells
51,SPP,E2F6,ST8SIA5,stemcells,E2F6 IP - H1 cells
52,SPP,RUNX1,ST8SIA5,leukocytes,SPI1 IP | RUNX1 KD
53,SPP,CTCF,ST8SIA5,kidney,"CTCF IP - HRE cells, Rep 1 , CTCF IP - HRE cells, Rep 2 , CTCF IP - RPTEC cells, Rep 1 "
54,SPP,TAL1,ST8SIA5,leukocytes,TAL1 IP - K562 cells
55,SPP,TEAD4,ST8SIA5,leukocytes,TEAD4 IP - K562 cells
56,SPP,JUND,ST8SIA5,vasculature,JUND IP
