,Database,TF,TargetGene,Tissue,Experiment
0,SPP,ELF1,ACSS3,liver,ELF1 IP - HepG2 cells
1,SPP,TEAD4,ACSS3,liver,TEAD4 IP - HepG2 cells
2,SPP,CEBPB,ACSS3,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP - H1 cells"
3,SPP,FOXA1,ACSS3,mammarygland,"FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D, 17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1"
4,SPP,CEBPB,ACSS3,leukocytes,"CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP, CEBPB IP"
5,SPP,PDX1,ACSS3,stemcells,PDX1 IP
6,SPP,FOS,ACSS3,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h"
7,SPP,4HT,ACSS3,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 12 h"
8,SPP,FOXA1,ACSS3,pancreas,FOXA1 IP
9,SPP,17BE2,ACSS3,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq"
10,SPP,SPI1,ACSS3,leukocytes,"SPI1 IP - GM12878 cells, SPI1 IP - HL cells, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, ROSI | SPI1 ChIP-Seq"
11,SPP,MAX,ACSS3,uterus,MAX IP - ECC1 cells
12,SPP,FOSL1,ACSS3,mammarygland,FOSL1 IP
13,SPP,FOXA1,ACSS3,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1"
14,SPP,R1881,ACSS3,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2"
15,SPP,PIAS1,ACSS3,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2"
16,SPP,NANOG,ACSS3,stemcells,"NANOG IP - Rep 2 , NANOG IP - Rep 3 , NANOG IP - Rep 8 , NANOG IP - H1 cells, NANOG IP - Rep 5 "
17,SPP,FOXA2,ACSS3,liver,FOXA2 IP - HepG2 cells
18,SPP,E2F1,ACSS3,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP"
19,SPP,FOXA2,ACSS3,stemcells,"FOXA2 IP - ES D10, FOXA2 IP - ES D7, FOXA2 IP - Rep 5 , FOXA2 IP - ES D2, FOXA2 IP - ES D5, FOXA2 IP - Rep 1 "
20,SPP,JUND,ACSS3,stemcells,JUND IP - H1 cells
21,SPP,FOSL2,ACSS3,liver,FOSL2 IP - HepG2 cells
22,SPP,EOMES,ACSS3,stemcells,"EOMES IP - Rep 1 , EOMES IP - Rep 2 , EOMES IP - Rep 3 "
23,SPP,RELA,ACSS3,adiposetissue,"RELA IP, RELA IP, RELA IP"
24,SPP,MAX,ACSS3,stemcells,"MAX IP - H1 cells, MAX IP - H1 cells"
25,SPP,TEAD4,ACSS3,stemcells,TEAD4 IP - H1 cells
26,SPP,GABPA,ACSS3,liver,"GABPA IP - HepG2 cells, GABPA IP - MCF7 cells"
27,SPP,JUND,ACSS3,uterus,JUND IP - HeLa cells
28,SPP,CREB1,ACSS3,prostate,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2"
29,SPP,ZNF143,ACSS3,stemcells,ZNF143 IP - H1 cells
30,SPP,CEBPB,ACSS3,uterus,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells"
31,SPP,USF1,ACSS3,liver,USF1 IP - HepG2 cells
32,SPP,FOXA1,ACSS3,stemcells,FOXA1 IP - Rep 5 
33,SPP,JUN,ACSS3,liver,JUN IP - HepG2 cells
34,SPP,SMAD3,ACSS3,embryonictissue,SMAD3 IP - endoderm
35,SPP,OTX2,ACSS3,stemcells,OTX2 IP - Rep 10 
36,SPP,SP1,ACSS3,liver,SP1 IP - HepG2 cells
37,SPP,ELF1,ACSS3,mammarygland,ELF1 IP - MCF7 cells
38,SPP,CREB1,ACSS3,stemcells,CREB1 IP - H1 cells
39,SPP,TBP,ACSS3,liver,TBP IP - HepG2 cells
40,SPP,MAX,ACSS3,liver,"MAX IP - MCF7 cells, MAX IP - HepG2 cells"
41,SPP,CEBPB,ACSS3,colon,"CEBPB IP, CEBPB IP | 125DVD3"
42,SPP,GATA4,ACSS3,stemcells,GATA4 IP - Rep 8 
43,SPP,DEX,ACSS3,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2"
44,SPP,STAT3,ACSS3,mammarygland,"STAT3 IP - MCF10A cells, Rep 2, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h"
45,SPP,ZEB1,ACSS3,liver,ZEB1 IP - HepG2 cells
46,SPP,MYC,ACSS3,liver,MYC IP
47,SPP,GATA2,ACSS3,vasculature,GATA2 IP - HUVEC cells
48,SPP,JUN,ACSS3,uterus,JUN IP - HeLa cells
49,SPP,FOS,ACSS3,vasculature,FOS IP - HUVEC cells
50,SPP,YY1,ACSS3,stemcells,YY1 IP - H1 cells
51,SPP,CREB1,ACSS3,liver,"CREB1 IP, CREB1 IP, CREB1 IP - HepG2 cells"
52,SPP,CDX2,ACSS3,colon,"CDX2 IP, CDX2 IP | 125DVD3"
53,SPP,CEBPB,ACSS3,liver,"CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells, CEBPB IP - HepG2 cells"
54,SPP,GATA4,ACSS3,stomach,GATA4 IP - AGS
55,SPP,FOXH1,ACSS3,embryonictissue,FOXH1 IP - endoderm
56,SPP,REST,ACSS3,stemcells,"REST IP - H1 cells, Rep 1"
57,SPP,FORSK,ACSS3,liver,CEBPB IP | FORSK - HepG2 cells
58,SPP,YY1,ACSS3,liver,YY1 IP - HepG2 cells
59,SPP,FOXA2,ACSS3,embryonictissue,FOXA2 IP - Rep 2
60,SPP,JUN,ACSS3,vasculature,"JUN IP - HUVEC cells, JUN IP"
61,SPP,CEBPB,ACSS3,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90"
62,SPP,JUND,ACSS3,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
63,SPP,GATA2,ACSS3,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq"
64,SPP,USF2,ACSS3,stemcells,USF2 IP - H1 cells
65,SPP,125DVD3,ACSS3,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3"
66,SPP,SRF,ACSS3,mammarygland,SRF IP - MCF7 cells
67,SPP,DHT,ACSS3,prostate,DHT | FOXA1 ChIP-Seq
68,SPP,HEY1,ACSS3,liver,HEY1 IP - HepG2 cells
69,SPP,ARID3A,ACSS3,liver,ARID3A IP - HepG2 cells
70,SPP,TCF12,ACSS3,liver,TCF12 IP - HepG2 cells
71,SPP,JUND,ACSS3,vasculature,JUND IP
72,SPP,SOX17,ACSS3,stemcells,SOX17 IP - Rep 1 
73,SPP,SP1,ACSS3,stemcells,SP1 IP - H1 cells
74,SPP,TP53,ACSS3,mammarygland,TP53 IP
75,SPP,MYBL2,ACSS3,liver,MYBL2 IP - HepG2 cells
76,SPP,EGR1,ACSS3,stemcells,EGR1 IP - H1 cells
77,SPP,MAZ,ACSS3,liver,MAZ IP - HepG2 cells
78,SPP,TEAD4,ACSS3,uterus,TEAD4 IP - ECC1 cells
79,SPP,JUN,ACSS3,mammarygland,"JUN IP - Rep 2, JUN IP - Rep 1"
80,SPP,SMAD4,ACSS3,embryonictissue,SMAD4 IP - endoderm
81,SPP,FOXA1,ACSS3,liver,"FOXA1 IP - HepG2 cells, Rep 2, FOXA1 IP - HepG2 cells, Rep 1"
82,SPP,USF1,ACSS3,stemcells,USF1 IP - H1 cells
83,SPP,ATF2,ACSS3,stemcells,ATF2 IP - H1 cells
84,SPP,JUND,ACSS3,cns,JUND IP - SK-N-SH cells 
85,SPP,ROSI,ACSS3,leukocytes,ROSI | SPI1 ChIP-Seq
86,SPP,CEBPA,ACSS3,adiposetissue,CEBPA ChIP-Seq
87,SPP,PDX1,ACSS3,pancreas,PDX1 IP
88,SPP,17BE2; TNF,ACSS3,mammarygland,17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2
89,SPP,TBP,ACSS3,stemcells,TBP IP - H1 cells
90,SPP,CEBPB,ACSS3,mammarygland,CEBPB IP - MCF7 cells
91,SPP,GATA3,ACSS3,mammarygland,GATA3 IP - MCF7 cells
92,SPP,SRF,ACSS3,liver,SRF IP - HepG2 cells
93,SPP,REST,ACSS3,liver,"REST IP - HepG2 cells, Rep 1"
94,SPP,FOXH1,ACSS3,stemcells,FOXH1 ChIP-Seq - Escs
95,SPP,TCF7L2,ACSS3,uterus,TCF7L2 IP - HeLa cells
