TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
AR,"ACSS3,BDH1,OXCT1,ACAT1",25329375,https://pubmed.ncbi.nlm.nih.gov/25329375/,not found,,https://academic.oup.com/mend/article/28/12/2012/2623249?login=true
HOXB7,"ACSS3,BDH1,OXCT1",26014856,https://pubmed.ncbi.nlm.nih.gov/26014856/,BDH1,Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/ijc.29616
TCF21,"HMGCL,BDH2,HMGCS2",26020271,https://pubmed.ncbi.nlm.nih.gov/26020271/,not found,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005202
FOXA1,"ACSS3,HMGCS2,AACS",25552417,https://pubmed.ncbi.nlm.nih.gov/25552417/,HMGCS2,Prostate,https://academic.oup.com/nar/article/43/2/848/2414789?login=false
GATA4,"ACSS3,BDH1,OXCT1",25053715,https://pubmed.ncbi.nlm.nih.gov/25053715/,not found,,paid https://gut.bmj.com/content/64/5/707
VDR,"BDH2,OXCT1,ACAT1",23849224,https://pubmed.ncbi.nlm.nih.gov/23849224/,not found,,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-11-163#Sec20
SOX2,"BDH2,BDH1",16153702,https://pubmed.ncbi.nlm.nih.gov/16153702/,"BDH2,BDH1",Stem cells,https://www.sciencedirect.com/science/article/pii/S0092867405008251?via%3Dihub#sec3
SMAD3,"ACSS3,BDH1",21741376,https://pubmed.ncbi.nlm.nih.gov/21741376/,"ACSS3,BDH1",Stem cells,https://www.sciencedirect.com/science/article/pii/S0012160611010165?via%3Dihub#ec0005
HNF4A,"HMGCL,ACSS3,BDH2,BDH1,HMGCS2",19822575,https://pubmed.ncbi.nlm.nih.gov/19822575/,"HMGCL,ACSS3,BDH2,BDH1,HMGCS2",Liver,https://academic.oup.com/nar/article/37/22/7498/2410146?login=true
FOXA2,"HMGCL,BDH1,HMGCS2",19822575,https://pubmed.ncbi.nlm.nih.gov/19822575/,"HMGCL,BDH1,HMGCS2",Liver,https://academic.oup.com/nar/article/37/22/7498/2410146?login=true
WT1,"BDH1,OXCT1,AACS",25993318,https://pubmed.ncbi.nlm.nih.gov/25993318/,"BDH1,OXCT1,AACS",Kidney,https://www.sciencedirect.com/science/article/pii/S2157171615321699?via%3Dihub
