,Database,TF,TargetGene,Tissue,Experiment
0,SPP,MAZ,HMGCL,uterus,MAZ IP - HeLa cells
1,SPP,TBP,HMGCL,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells"
2,SPP,BHLHE40,HMGCL,leukocytes,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells"
3,SPP,MYB,HMGCL,leukocytes,"MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 5, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 2"
4,SPP,RUNX1,HMGCL,leukocytes,"RUNX1 IP, SPI1 IP | RUNX1 KD, RUNX1 IP - Rep 2, RUNX1 IP"
5,SPP,YY1,HMGCL,stemcells,"YY1 IP - NT2 cells, YY1 IP - H1 cells"
6,SPP,RELA,HMGCL,leukocytes,"RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM18951 cells, RELA IP | BAY082  - IVD Th1 cells, PIA"
7,SPP,TNF,HMGCL,leukocytes,"RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM18951 cells"
8,SPP,MAX,HMGCL,leukocytes,"MAX IP - K562 cells, MAX IP - K562 cells, Rep 2, MAX IP - K562 cells, Rep 1, MAX IP - GM12878 cells, MAX IP - NB4 cells"
9,SPP,PAX5,HMGCL,leukocytes,"PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12892 cells"
10,SPP,STAT3,HMGCL,leukocytes,"STAT3 IP - OCI-LY10, STAT3 IP - SU-DHL-2, STAT3 IP - U-2932, STAT3 IP - OCI-LY19, STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-6"
11,SPP,TP53,HMGCL,lung,"TP53 IP - propapoptic, Rep 1, TP53 IP - senescent, Rep 2"
12,SPP,CEBPB,HMGCL,lung,CEBPB ChIP-Seq - IMR90
13,SPP,REST,HMGCL,cns,"REST IP - SK-N-SH cells, REST IP - U87 cells, REST IP - SK cells, REST IP - PFSK1 cells, Rep 2, REST IP - PFSK-N-SH cells1 cells, Rep 1"
14,SPP,USF2,HMGCL,leukocytes,"USF2 IP - GM12878 cells, USF2 IP - K562 cells"
15,SPP,STAT1,HMGCL,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 1, STAT1 IP - Rep 2, STAT1 IP - Rep 6, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
16,SPP,IFNG,HMGCL,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 1, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 2, STAT1 IP - Rep 6, STAT1 IP - Rep 4, STAT1 IP - Rep 3, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 3"
17,SPP,REST,HMGCL,pancreas,"REST IP - PANC1 cells, Rep 1, REST IP - Panc1 cells, Rep 3, REST IP - PANC1 cells, Rep 2"
18,SPP,YY1,HMGCL,leukocytes,"YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1"
19,SPP,TP73,HMGCL,bone,"TP73 IP - alpha isoform, Rep 1, TP73 IP - alpha isoform, Rep 2, TP73 IP - beta isoform, Rep 1, TP73 IP - beta isoform, Rep 2"
20,SPP,MAZ,HMGCL,leukocytes,"MAZ IP - GM12878 cells, MAZ IP - K562 cells"
21,SPP,HEY1,HMGCL,leukocytes,HEY1 IP - K562 cells
22,SPP,TCF12,HMGCL,cns,TCF12 IP - SK-N-SH cells
23,SPP,TCF12,HMGCL,uterus,TCF12 IP - ECC1 cells
24,SPP,PBX3,HMGCL,lung,PBX3 IP - A549 cells
25,SPP,FOXA1,HMGCL,mammarygland,"FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2"
26,SPP,HMGN3,HMGCL,leukocytes,HMGN3 IP - K562 cells
27,SPP,DHT,HMGCL,mammarygland,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
28,SPP,MXI1,HMGCL,liver,MXI1 IP - HepG2 cells
29,SPP,E2F3,HMGCL,colon,E2F3 IP 
30,SPP,USF2,HMGCL,uterus,USF2 IP - HeLa cells
31,SPP,ZBTB7A,HMGCL,liver,ZBTB7A IP - HepG2 cells
32,SPP,ZNF143,HMGCL,leukocytes,"ZNF143 IP - K562, ZNF143 IP - HPB-ALL, ZNF143 IP - K562 cells, ZNF143 IP - GM12878 cells"
33,SPP,TP53,HMGCL,bone,"TP53 IP | NUTL3 - SJSA-1, TP53 IP | TP53EE/RR OE, TP53 IP - Rep 2, TP53 IP | TP53 OE"
34,SPP,EGR1,HMGCL,stemcells,EGR1 IP - H1 cells
35,SPP,17BE2,HMGCL,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
36,SPP,TAL1,HMGCL,megakaryocytelineage,"TAL1 IP - CHRF-288-11 cells, Rep 4 , TAL1 IP - CHRF-288-11 cells, Rep 3 , TAL1 IP - CHRF-288-11 cells, Rep 6 , TAL1 IP - CHRF-288-11 cells, Rep 1 "
37,SPP,ETS1,HMGCL,lung,ETS1 IP - A549 cells
38,SPP,SPI1,HMGCL,leukocytes,"SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP | RUNX1 KD, SPI1 IP - K562 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - HL-60 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP - GM12891 cells, SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 8 , SPI1 IP, SPI1 IP, SPI1 IP"
39,SPP,USF1,HMGCL,leukocytes,"USF1 IP - K562 cells, USF1 IP - GM12878 cells"
40,SPP,GTF2B,HMGCL,uterus,"GTF2B IP - Rep 2, GTF2B IP - Rep 3, GTF2B IP | RO306, GTF2B IP - Rep 1"
41,SPP,E2F1,HMGCL,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 1"
42,SPP,BICALU,HMGCL,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
43,SPP,ATF3,HMGCL,leukocytes,"ATF3 IP - K562 cells, ATF3 IP - GM12878 cells"
44,SPP,KLF11,HMGCL,adiposetissue,"KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 2"
45,SPP,GATA1,HMGCL,leukocytes,GATA1 ChIP-Seq - SC266
46,SPP,REST,HMGCL,leukocytes,"REST IP - GM12878 cells, Rep 1, REST IP - GM12878 cells, Rep 14 , REST IP - GM12878 cells, Rep 16 , REST IP - K562 cells, REST IP - HL60 cells"
47,SPP,YY1,HMGCL,uterus,YY1 IP - ECC1 cells
48,SPP,NFATC1,HMGCL,leukocytes,NFATC1 IP - GM12878 cells
49,SPP,SP1,HMGCL,colon,SP1 IP - HCT116 cells
50,SPP,MAX,HMGCL,liver,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
51,SPP,TP53,HMGCL,mammarygland,"TP53 IP | NUTL3 - MCF-7, TP53 IP"
52,SPP,EGR1,HMGCL,leukocytes,"EGR1 IP - GM12878 cells, Rep 1, EGR1 IP - K562 cells"
53,SPP,TEAD4,HMGCL,colon,TEAD4 IP - HCT116 cells
54,SPP,SRF,HMGCL,leukocytes,SRF IP - SK-N-SH cells
55,SPP,USF2,HMGCL,liver,USF2 IP - HepG2 cells
56,SPP,SMAD1,HMGCL,stemcells,SMAD1 IP - Rep 7 
57,SPP,TFAP4,HMGCL,leukocytes,"TFAP4 IP - Rep 1, TFAP4 IP - Rep 2"
58,SPP,CEBPB,HMGCL,uterus,CEBPB ChIP-Seq - HeLaS3
59,SPP,MAFK,HMGCL,liver,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2"
60,SPP,IRF4,HMGCL,leukocytes,"IRF4 IP - GM12878 cells, IRF4 IP"
