,Database,TF,TargetGene,Tissue,Experiment
0,SPP,GTF2B,OXCT1,uterus,"GTF2B IP - Rep 1, GTF2B IP - Rep 3, GTF2B IP | RO306, GTF2B IP - DTT, Rep 1, GTF2B IP - Rep 2"
1,SPP,MYB,OXCT1,leukocytes,"MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 4, MYB IP - MOLT3, MYB IP - Jurkat, Rep 2"
2,SPP,TCF12,OXCT1,leukocytes,TCF12 IP - GM12878 cells
3,SPP,ATF3,OXCT1,leukocytes,ATF3 IP - K562 cells
4,SPP,ETS1,OXCT1,leukocytes,"ETS1 IP - K562 cells, ETS1 IP - GM12878 cells, ETS1 IP"
5,SPP,PAX5,OXCT1,leukocytes,"PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12891 cells"
6,SPP,GATA4,OXCT1,stemcells,"GATA4 IP - Rep 10 , GATA4 IP - Rep 9 "
7,SPP,E2F6,OXCT1,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
8,SPP,RBPJ,OXCT1,leukocytes,"RBPJ IP | COMPE, RBPJ IP | COMPE - wash"
9,SPP,COMPE,OXCT1,leukocytes,"RBPJ IP | COMPE, RBPJ IP | COMPE - wash"
10,SPP,FOS,OXCT1,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP - MCF10A cells"
11,SPP,4HT,OXCT1,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 4 h, E2F4 IP | 4HT - MCF10 cells"
12,SPP,SRF,OXCT1,leukocytes,"SRF IP - GM12878 cells, Rep 2, SRF IP - SK-N-SH cells"
13,SPP,ATF3,OXCT1,colon,"ATF3 IP - HCT116 cells, ATF3 IP, ATF3 IP | CAMPTO"
14,SPP,E2F4,OXCT1,leukocytes,E2F4 IP - K562 cells
