,Database,TF,TargetGene,Tissue,Experiment
0,SPP,TP53,ACOX3,leukocytes,TP53 IP - Doxo DNA damage
1,SPP,PBX3,ACOX3,cns,PBX3 IP - SK-N-SH cells
2,SPP,NFYB,ACOX3,leukocytes,NFYB IP - GM12878 cells
3,SPP,FOSL1,ACOX3,colon,FOSL1 IP - HCT116 cells
4,SPP,CTCF,ACOX3,leukocytes,"CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP, CTCF IP - GM19238 cells, Rep 1 , CTCF ChIP-Seq - GM12878, CTCF IP - K562 cells, CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - GM12892 cells, Rep 2 , CTCF IP - K562 cells, CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 "
5,SPP,MTA3,ACOX3,leukocytes,MTA3 IP - GM12878 cells
6,SPP,YY1,ACOX3,leukocytes,"YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1"
7,SPP,STAT3,ACOX3,leukocytes,"STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY19, STAT3 IP - SU-DHL-4, STAT3 IP - OCI-LY10, STAT3 IP - SU-DHL-2, STAT3 IP - OCI-LY7, STAT3 IP - U-2932"
8,SPP,CEBPB,ACOX3,stemcells,"CEBPB IP, CEBPB IP - H1 cells, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
9,SPP,ELF3,ACOX3,pancreas,"ELF3 IP | KLF5 KO, ELF3 IP, ELF3 IP"
10,SPP,KLF5,ACOX3,pancreas,ELF3 IP | KLF5 KO
11,SPP,SRF,ACOX3,leukocytes,"SRF IP - K562 cells, SRF IP - SK-N-SH cells, SRF IP - GM12878 cells, Rep 2"
12,SPP,GABPA,ACOX3,liver,"GABPA IP - MCF7 cells, GABPA IP - HepG2 cells, GABPA IP, GABPA IP, GABPA IP"
13,SPP,USF1,ACOX3,liver,USF1 IP - HepG2 cells
14,SPP,CREB1,ACOX3,lung,"CREB1 IP - A549 cells, Rep 1, CREB1 IP | DEX - A549 cells, CREB1 IP - A549 cells, Rep 2"
15,SPP,CREB1,ACOX3,leukocytes,"CREB1 IP, CREB1 IP, CREB1 IP - GM12878 cells, CREB1 IP - K562 cells"
