TF,Overlapping_Genes,Pubmed_ID,Genes mentioned in the paper,Tissue,Paper Link
GATA2,"MTMR2,PIK3C2A,PIP4K2A,SYNJ2,PIK3CA",21666600,"MTMR2,PIK3C2A,PIP4K2A,SYNJ2,PIK3CA",Vasculature,https://www.embopress.org/doi/full/10.1038/emboj.2011.173#sec-1
VDR,"PIK3C2B,PIP5K1B,PIK3CA",20736230,"PIK3C2B,PIK3CA",Leukocytes,https://genome.cshlp.org/content/20/10/1352
SMAD4,"MTMR2,PIK3CG,PIP4K2B,PIP5K1B,SACM1L,INPP4A,FIG4,INPP4B,SYNJ1",21741376,"MTMR2,PIK3CG,PIP4K2B,PIP5K1B,SACM1L,INPP4A,FIG4,INPP4B,SYNJ1",Stem cells,https://www.sciencedirect.com/science/article/pii/S0012160611010165?via%3Dihub#ec0005
TP53,"PIK3C2G,PIK3C2A,PIP5K1A,INPP5K,PIP5K1B,PI4KA",22573176,"PIK3C2G,PIK3C2A,PIP5K1A,INPP5K,PIP5K1B,PI4KA",Skin,https://academic.oup.com/nar/article/40/15/7190/1208916#supplementary-data
SPI1,"MTMR2,PIK3CD,PIK3CB,TPTE2,INPP4A,FIG4",23127762,"MTMR2,PIK3CD,PIK3CB,TPTE2,INPP4A,FIG4",Blood,https://www.sciencedirect.com/science/article/pii/S0301472X12005310?via%3Dihub
HOXB7,"PIP4K2A,PIP4K2B,PIP4K2C,TPTE2,SYNJ2,PIK3CA,PI4KB",26014856,SYNJ2,Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/ijc.29616
ZNF217,"PIK3C2G,PIK3CB,PIK3C2B,PIP4K2A,INPP4A,INPP4B",24962896,"PIK3C2G,PIK3CB,PIK3C2B,PIP4K2A,INPP4A,INPP4B",Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-520#Sec26
GATA4,"MTMR2,PIK3C2A,PIK3C2B,PIP5K1B,SACM1L,PIK3CA,PI4KA",25053715,not found,,paid https://gut.bmj.com/content/64/5/707
MITF,"PIK3CD,PIK3CB,PIK3C2B,PIP4K2A,PIP5K1A,PIP5K1B,PIP4K2C,SYNJ2,FIG4,INPP4B,PIKFYVE,SYNJ1,PI4KA,PI4KB",21258399,"PIK3CD,PIK3CB,PIK3C2B,PIP4K2A,PIP5K1A,PIP5K1B,PIP4K2C,SYNJ2,FIG4,INPP4B,PIKFYVE,SYNJ1,PI4KA,PI4KB",Skin,https://www.nature.com/articles/onc2010612
RUNX1,"PTEN,PIK3CD,PIK3CB,PIP4K2A,PIP4K2B,PIP5K1B,TPTE2,SACM1L,SYNJ2,INPP4B,SYNJ1,PIK3CA,PI4KA",21571218,"PTEN,PIK3CD,PIK3CB,PIP4K2A,PIP4K2B,PIP5K1B,TPTE2,SACM1L,SYNJ2,INPP4B,SYNJ1,PIK3CA,PI4KA",Skin,https://www.sciencedirect.com/science/article/pii/S1534580711001596?via%3Dihub
POU3F2,"PIK3C2G,PIK3CB,PIK3C2A,INPP5K,INPP4B,SYNJ1",20337985,"PIK3C2G,PIK3CB,PIK3C2A,INPP5K,INPP4B,SYNJ1",Skin,https://onlinelibrary.wiley.com/doi/10.1111/j.1755-148X.2010.00697.x
FOXA2,"PIK3CB,PIK3C2B,PIP4K2A,PIP5K1B,SYNJ2,INPP4A,INPP4B,PIK3CA,PI4KA",19822575,"PIK3CB,PIK3C2B,PIP4K2A,PIP5K1B,SYNJ2,INPP4A,INPP4B,PIK3CA,PI4KA",Liver,https://academic.oup.com/nar/article/37/22/7498/2410146#supplementary-data
TFAP2C,"PIK3C2B,PIP5K1A,SYNJ2,INPP4A,PI4KB",20629094,"PIK3C2B,PIP5K1A,SYNJ2,INPP4A,PI4KB",Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/gcc.20807
KLF5,"MTMR2,PIK3C2B,PIP4K2B,SYNJ2,INPP4B,PIK3CA",25053715,not found,,paid https://gut.bmj.com/content/64/5/707
NR1H3,"PTEN,PIK3CD,FIG4",23393188,"PTEN,PIK3CD,FIG4",Leukocytes,https://academic.oup.com/nar/article/41/6/3518/2902510?login=true#83582439
MYC,"MTMR2,PIK3CD,PIK3C2A,PIP5K1B,INPP4A,PIKFYVE",19915707,"MTMR2,PIK3CD,PIK3C2A,PIP5K1B,INPP4A,PIKFYVE",Stem cells,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0007839
DACH1,"MTMR2,PTEN,PIP4K2A,INPP5K,SACM1L",20351289,"MTMR2,PTEN,PIP4K2A,INPP5K,SACM1L",Mammary Gland,https://www.pnas.org/doi/full/10.1073/pnas.1002746107
TCF4,"MTMR2,PIK3C2G,PIK3CB,PIK3C2A,PIP4K2A,PIP5K1B,INPP4A,INPP4B,PIKFYVE",23295773,not found,CNS,paid https://academic.oup.com/neuro-oncology/article/15/3/279/1055801?login=true
SMAD3,"PIK3CG,SACM1L,INPP4A,SYNJ1",21741376,"PIK3CG,SACM1L,INPP4A,SYNJ1",Stem cells,https://www.sciencedirect.com/science/article/pii/S0012160611010165?via%3Dihub#ec0005
RELA,"MTMR2,PTEN,PIK3C2B,PIK3CA",24523406,"MTMR2,PTEN,PIK3C2B,PIK3CA",Lung,https://www.jbc.org/article/S0021-9258(20)41510-8/fulltext
AR,"MTMR2,PIK3CG,FIG4,SYNJ1,PIK3CA",22383394,"MTMR2,PIK3CG,FIG4,SYNJ1,PIK3CA",Prostate,https://www.oncotarget.com/article/449/text/
FOXP3,"PTEN,PIP4K2B,SACM1L,PIKFYVE",21729870,"PTEN,PIP4K2B",Leukocytes,https://academic.oup.com/nar/article/39/18/7946/1084168#supplementary-data
FOXP2,"PIP4K2A,INPP5K,SYNJ2",23625967,"PIP4K2A,INPP5K,SYNJ2",CNS,https://academic.oup.com/nar/article/41/12/5991/1025774?login=true#83621512
BCL6,"MTMR2,PIK3CD,PIK3CG,SACM1L,SYNJ2",25482012,not found,,paid https://www.sciencedirect.com/science/article/abs/pii/S1874939914002958?via%3Dihub
GATA3,"PIK3C2B,PIP5K1A,PIKFYVE,PIK3CA,PI4KB",24758297,"PIK3C2B,PIP5K1A,PIKFYVE,PIK3CA,PI4KB",Mammary Gland,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-14-278
