,Database,TF,TargetGene,Tissue,Experiment
0,SPP,FOXA1,PI4KB,mammarygland,"17BE2 | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 2"
1,SPP,17BE2,PI4KB,mammarygland,"17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
2,SPP,MAX,PI4KB,colon,MAX IP - HCT116 cells
3,SPP,MYBL2,PI4KB,liver,MYBL2 IP - HepG2 cells
4,SPP,YY1,PI4KB,stemcells,YY1 IP - H1 cells
5,SPP,SP1,PI4KB,leukocytes,"SP1 IP - K562 cells, SP1 IP - GM12878 cells"
6,SPP,TBP,PI4KB,liver,TBP IP - HepG2 cells
7,SPP,REST,PI4KB,liver,"REST IP - HepG2 cells, Rep 2"
8,SPP,FOXA1,PI4KB,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq"
9,SPP,R1881,PI4KB,prostate,CON KD + R1881 | FOXA1 ChIP-Seq
