,Database,TF,TargetGene,Tissue,Experiment
0,SPP,SPI1,PIK3CD,leukocytes,"SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP - HL-60 cells, Rep 3 , SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 6 , SPI1 IP - U-937 cells, Rep 2 , SPI1 IP - GM12891 cells, SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 10 , SPI1 IP - U-937 cells, Rep 8 , SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - GM12878 cells, Rep 5 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP - HL-60 cells, Rep 2 , SPI1 IP - U-937 cells, Rep 3 , SPI1 IP, SPI1 IP - HL-60 cells, Rep 1 , ROSI | SPI1 ChIP-Seq, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP | RUNX1 KD"
1,SPP,ELF3,PIK3CD,pancreas,"ELF3 IP, ELF3 IP | KLF5 KO"
2,SPP,CEBPB,PIK3CD,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
3,SPP,E2F6,PIK3CD,lung,E2F6 IP - A549 cells
4,SPP,CEBPB,PIK3CD,leukocytes,"CEBPB IP, CEBPB IP - Rep 204, CEBPB IP - Rep 203, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP | oxLDL  - Rep 208, CEBPB IP, CEBPB IP | oxLDL  - Rep 205, CEBPB IP - K562 cells, CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP, CEBPB IP - Rep 201, CEBPB IP | oxLDL  - Rep 206, CEBPB IP, CEBPB IP| oxLDL  - Rep 207, CEBPB IP, CEBPB IP - Rep 202, CEBPB ChIP-Seq - K562, CEBPB IP"
5,SPP,FOXA1,PIK3CD,lung,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells"
6,SPP,DEX,PIK3CD,lung,"FOXA1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells"
7,SPP,FOXM1,PIK3CD,leukocytes,FOXM1 IP - GM12878 cells
8,SPP,MYC,PIK3CD,uterus,MYC IP - HeLa cells
9,SPP,ERG,PIK3CD,prostate,"ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h, DMSO | ERG ChIP-Seq - Rep 1, ERG ChIP-Seq, DMSO | ERG ChIP-Seq - Rep 2"
10,SPP,YY1,PIK3CD,cns,YY1 IP | ATRA - SK-N-SH cells
11,SPP,ATRA,PIK3CD,cns,YY1 IP | ATRA - SK-N-SH cells
12,SPP,JUND,PIK3CD,cns,JUND IP - SK-N-SH cells
