,Database,TF,TargetGene,Tissue,Experiment
0,SPP,STAT3,SACM1L,leukocytes,"STAT3 IP - U-2932, STAT3 IP - OCI-LY19, STAT3 IP - SU-DHL-10, STAT3 IP - SU-DHL-4, STAT3 IP - OCI-LY3, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY10, STAT3 IP - SU-DHL-2, STAT3 IP - OCI-LY7"
1,SPP,E2F8,SACM1L,colon,E2F8 IP 
2,SPP,SPI1,SACM1L,leukocytes,"SPI1 IP - U-937 cells, Rep 5 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - GM12891 cells, SPI1 IP - U-937 cells, Rep 10 , SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 2 , SPI1 IP - HL cells, SPI1 IP - HL-60 cells, Rep 3 , SPI1 IP, SPI1 IP - U-937 cells, Rep 6 , SPI1 IP - K562 cells, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP - U-937 cells, Rep 8 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP - U-937 cells, Rep 3 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP"
3,SPP,ZNF143,SACM1L,stemcells,ZNF143 IP - H1 cells
4,SPP,GATA4,SACM1L,stomach,GATA4 IP - AGS
5,SPP,YY1,SACM1L,cns,"YY1 IP | ATRA - SK-N-SH cells, YY1 IP - SK-N-SH cells"
6,SPP,ATRA,SACM1L,cns,"YY1 IP | ATRA - SK-N-SH cells, USF1 IP | ATRA - SK-N-SH cells"
7,SPP,TP53,SACM1L,bone,"TP53 IP - Rep 2, TP53 IP | TP53EE OE, TP53 IP"
8,SPP,CTCF,SACM1L,leukocytes,"CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP, CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP -  DND , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 2 "
9,SPP,FOXA1,SACM1L,stemcells,"FOXA1 IP - ES D5, FOXA1 IP - Rep 1 , FOXA1 IP - Rep 5 "
10,SPP,FOXA1,SACM1L,lung,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells"
11,SPP,DEX,SACM1L,lung,"FOXA1 IP | DEX - A549 cells, CREB1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells"
12,SPP,EGR1,SACM1L,leukocytes,EGR1 IP - K562 cells
13,SPP,MAFF,SACM1L,liver,MAFF IP - HepG2 cells
14,SPP,ETS1,SACM1L,pancreas,ETS1 IP
15,SPP,MAZ,SACM1L,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
16,SPP,ZNF263,SACM1L,kidney,ZNF263 IP - HEK293 cells
17,SPP,CEBPB,SACM1L,leukocytes,"CEBPB IP, CEBPB IP | oxLDL  - Rep 206, CEBPB IP - K562 cells, CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP| oxLDL  - Rep 207, CEBPB IP, CEBPB IP - Rep 204, CEBPB IP, CEBPB IP, CEBPB IP - Rep 202, CEBPB IP - GM12878 cells, CEBPB ChIP-Seq - K562, CEBPB IP - Rep 203, CEBPB IP, CEBPB IP | oxLDL  - Rep 208, CEBPB IP | oxLDL  - Rep 205, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP, CEBPB IP - Rep 201, CEBPB IP"
18,SPP,ELF1,SACM1L,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
19,SPP,MAX,SACM1L,colon,MAX IP - HCT116 cells
20,SPP,FOXA1,SACM1L,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , DHT | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1"
21,SPP,R1881,SACM1L,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq, GABPA IP | R1881, R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
22,SPP,E2F1,SACM1L,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3"
23,SPP,HES6,SACM1L,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 3"
24,SPP,STAT1,SACM1L,leukocytes,"STAT1 IP | IFNG - K562 cells, 6 h, STAT1 IP | IFNA1-13 - K562 cells, 6 h, STAT1 IP | IFNA1-13 - K562 cells, 30 min, STAT1 IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 1, STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 6"
25,SPP,IFNG,SACM1L,leukocytes,"STAT1 IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 3, JUN IP | IFNG - K562 cells, 6 h, STAT1 IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 1, STAT1 IP - Rep 5, JUN IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 6"
26,SPP,CEBPB,SACM1L,liver,"CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells, CEBPB IP - HepG2 cells"
27,SPP,BICALU,SACM1L,prostate,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3"
28,SPP,ZNF143,SACM1L,leukocytes,"ZNF143 IP - K562 cells, ZNF143 IP - GM12878 cells"
29,SPP,TBP,SACM1L,uterus,TBP IP - HeLa cells
30,SPP,RELA,SACM1L,leukocytes,"RELA IP | TNF - GM18526 cells, RELA IP, RELA IP | TNF - GM18951 cells, RELA IP | DEX, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12892 cells, RELA IP | DEX, RELA IP | TNF - GM19099 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM15510 cells, RELA IP - IVD Th1 cells, PIA, RELA IP, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12878 cells"
31,SPP,TNF,SACM1L,leukocytes,"RELA IP | TNF - GM18526 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12878 cells"
32,SPP,SMAD3,SACM1L,stemcells,SMAD3 ChIP-Seq - ESCs
33,SPP,MYB,SACM1L,leukocytes,"MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3"
34,SPP,FOXH1,SACM1L,embryonictissue,FOXH1 IP - endoderm
