,Database,TF,TargetGene,Tissue,Experiment
0,SPP,SPI1,SYNJ1,leukocytes,"SPI1 IP, SPI1 IP - HL cells, SPI1 IP - U-937 cells, Rep 1 , ROSI | SPI1 ChIP-Seq, SPI1 IP - K562 cells, SPI1 IP - U-937 cells, Rep 5 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 6 , SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP | RUNX1 KD, SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - U-937 cells, Rep 2 , SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP - U-937 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 "
1,SPP,FOXA1,SYNJ1,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP-abl, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1"
2,SPP,R1881,SYNJ1,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, GABPA IP | R1881, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1"
3,SPP,REST,SYNJ1,leukocytes,"REST IP - GM12878 cells, Rep 18 , REST IP - GM12878 cells, Rep 6 , REST IP - GM12878 cells, Rep 17 , REST IP - GM12878 cells, Rep 23 , REST IP - GM12878 cells, Rep 22 , REST IP - GM12878 cells, Rep 3 , REST IP - GM12878 cells, Rep 10 , REST IP - Jurkat cells, Rep 2 , REST IP - GM12878 cells, Rep 11 , REST IP - GM12878 cells, Rep 16 , REST IP - GM12878 cells, Rep 4 , REST IP - GM12878 cells, Rep 1, REST IP - GM12878 cells, Rep 14 , REST IP -  K562 cells, REST IP - Jurkat cells, Rep 4 , REST IP - GM12878 cells, Rep 26 , REST IP - Jurkat cells, Rep 8 , REST IP - Jurkat cells, Rep 3 , REST IP - HL60 cells, REST IP - GM12878 cells, Rep 27 , REST IP - GM12878 cells, Rep 21 , REST IP - Jurkat cells, Rep 13 , REST IP - GM12878 cells, Rep 12 , REST IP - K562 cells, REST IP - Jurkat cells, Rep 1 , REST IP - K562 cells , REST IP - Jurkat cells, Rep 11 , REST IP - Jurkat cells, Rep 7 , REST IP - GM12878 cells, Rep 9 , REST IP - Jurkat cells, Rep 10 , REST IP - GM12878 cells, Rep 5 , REST IP - GM12878 cells, Rep 13 , REST IP - Jurkat cells, Rep 12 , REST IP - GM12878 cells, Rep 19 , REST IP - GM12878 cells, Rep 28 , REST IP - GM12878 cells, Rep 17 , REST IP - Jurkat cells, Rep 14 , REST IP - GM12878 cells, Rep 25 , REST IP - GM12878 cells, Rep 8 , REST IP - Jurkat cells, Rep 9 , REST IP - GM12878 cells, Rep 24 , REST IP - Jurkat cells, Rep 15 , REST IP - GM12878 cells, Rep 2 , REST IP - GM12878 cells, Rep 1 , REST IP - GM12878 cells, Rep 2, REST IP - Jurkat cells, Rep 5 , REST IP - GM12878 cells, Rep 7 , REST IP - GM12878 cells, Rep 15 , REST IP - GM12878 cells, Rep 20 , REST IP - Jurkat cells, Rep 6 "
4,SPP,YY1,SYNJ1,leukocytes,"YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 1, YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 2"
5,SPP,MAX,SYNJ1,stemcells,MAX IP - H1 cells
6,SPP,FOSL1,SYNJ1,colon,FOSL1 IP - HCT116 cells
7,SPP,MAX,SYNJ1,lung,MAX IP - A549 cells
8,SPP,MYB,SYNJ1,leukocytes,"MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1"
9,SPP,RUNX1,SYNJ1,leukocytes,"RUNX1 IP - N terminus 1, RUNX1 IP, SPI1 IP | RUNX1 KD"
10,SPP,GABPA,SYNJ1,leukocytes,"GABPA IP - HL cells, GABPA IP - GM12878 cells, GABPA IP - GM12878 cells, Rep 2 , GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, Rep 5 , GABPA IP - GM12878 cells, Rep 4 , GABPA IP, GABPA IP - K562 cells, GABPA IP - Jurkat, Rep 1, GABPA IP - GM12878 cells, Rep 3 , GABPA IP - GM12878 cells, Rep 1 "
11,SPP,CTCF,SYNJ1,leukocytes,"CTCF IP, CTCF IP - GM19239 cells, Rep 1 , CTCF IP - MS1 cells, Rep 3 "
12,SPP,JUN,SYNJ1,colon,JUN IP 
13,SPP,HIF1A,SYNJ1,bone,HIF1A IP
14,SPP,SP1,SYNJ1,liver,SP1 IP - HepG2 cells
15,SPP,KLF11,SYNJ1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 2"
16,SPP,ROSI,SYNJ1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
17,SPP,ATF2,SYNJ1,colon,ATF2 IP 
18,SPP,USF1,SYNJ1,leukocytes,USF1 IP - K562 cells
19,SPP,REST,SYNJ1,cns,"REST IP - PFSK1 cells, Rep 2, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - SK cells, REST IP - SK-N-SH cells, REST IP - U87 cells"
20,SPP,NFKB2,SYNJ1,leukocytes,"NFKB2 IP - Rep 1, NFKB2 IP - Rep 2"
21,SPP,TBP,SYNJ1,leukocytes,"TBP IP - K562 cells, TBP IP - GM12878 cells"
22,SPP,E2F4,SYNJ1,leukocytes,E2F4 IP - K562 cells
23,SPP,E2F1,SYNJ1,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
24,SPP,BICALU,SYNJ1,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
25,SPP,CEBPB,SYNJ1,lung,CEBPB ChIP-Seq - IMR90
26,SPP,GABPA,SYNJ1,prostate,"GABPA IP | R1881, GABPA IP - Rep 2, GABPA IP - Rep 1"
27,SPP,ERG,SYNJ1,prostate,"DMSO | ERG ChIP-Seq - Rep 2, JQI | ERG ChIP-Seq - Rep 1, ERG ChIP-Seq, JQI | ERG ChIP-Seq - Rep 2, DMSO | ERG ChIP-Seq - Rep 1, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
28,SPP,FOXA2,SYNJ1,embryonictissue,FOXA2 IP - Rep 2
29,SPP,STAT5A,SYNJ1,leukocytes,STAT5A IP - GM12878 cells
30,SPP,JQ1,SYNJ1,prostate,"JQI | ERG ChIP-Seq - Rep 1, JQI | ERG ChIP-Seq - Rep 2"
31,SPP,TAL1,SYNJ1,leukocytes,TAL1 IP - MOLT3
32,SPP,MAZ,SYNJ1,leukocytes,"MAZ IP - GM12878 cells, MAZ IP - K562 cells"
33,SPP,IRF1,SYNJ1,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h"
34,SPP,IFNG,SYNJ1,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 5, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 2, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 6"
35,SPP,CREB1,SYNJ1,leukocytes,"CREB1 IP, CREB1 IP - K562 cells, CREB1 IP - GM12878 cells"
36,SPP,MYC,SYNJ1,leukocytes,"MYC IP - K562 cells, Rep 2, MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 30 min"
37,SPP,EGR1,SYNJ1,colon,EGR1 IP - HCT116 cells
38,SPP,RELA,SYNJ1,leukocytes,"RELA IP | TNF - GM12891 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP - IVD Th1 cells, PIA"
39,SPP,TNF,SYNJ1,leukocytes,RELA IP | TNF - GM12891 cells
40,SPP,REST,SYNJ1,mammarygland,REST IP - MCF7 cells
41,SPP,ELF1,SYNJ1,lung,ELF1 IP - A549 cells
42,SPP,FOXM1,SYNJ1,mammarygland,FOXM1 IP | THSP - DS006
43,SPP,ATF3,SYNJ1,colon,"ATF3 IP, ATF3 IP - HCT116 cells, ATF3 IP | CAMPTO"
44,SPP,OTX2,SYNJ1,stemcells,OTX2 IP - Rep 10 
45,SPP,CEBPB,SYNJ1,uterus,CEBPB ChIP-Seq - HeLaS3
46,SPP,JUN,SYNJ1,mammarygland,JUN IP - Rep 2
47,SPP,PBX3,SYNJ1,cns,PBX3 IP - SK-N-SH cells
48,SPP,ZNF143,SYNJ1,leukocytes,"ZNF143 IP - GM12878 cells, ZNF143 IP - K562 cells"
49,SPP,REST,SYNJ1,colon,REST IP - HCT116 cells
50,SPP,SP1,SYNJ1,stemcells,SP1 IP - H1 cells
51,SPP,MAX,SYNJ1,liver,"MAX IP - HepG2 cells, MAX IP - MCF7 cells"
52,SPP,FOSL2,SYNJ1,cns,FOSL2 IP - SK-N-SH cells
53,SPP,DHT,SYNJ1,prostate,"DHT | FOXA1 ChIP-Seq, DHT | FOXP1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
54,SPP,MAX,SYNJ1,uterus,"MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1, MAX IP - HeLa cells, Rep 2"
55,SPP,MAZ,SYNJ1,uterus,MAZ IP - HeLa cells
56,SPP,CEBPB,SYNJ1,leukocytes,"CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP - HL-60 cells, Rep 2 "
57,SPP,ROSI,SYNJ1,leukocytes,ROSI | SPI1 ChIP-Seq
