TargetGene,TF,Library/PMID,Tissue,PAPER LINKS
PIK3CA,FOXO3,19299143,Leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=19299143
PIK3CA,HIF1A,23060442,Vasculature,http://www.ncbi.nlm.nih.gov/pubmed/?term=23060442
PIK3CD,RUNX1,19638627,Megakaryocyte lineage,http://www.ncbi.nlm.nih.gov/pubmed/?term=19638627
PTEN,AR,23418309,Mammary Gland,http://www.ncbi.nlm.nih.gov/pubmed/?term=23418309
PTEN,AR,20729295,Prostate,http://www.ncbi.nlm.nih.gov/pubmed/?term=20729295
PTEN,AR,21532617,"Mammary Gland,Prostate",http://www.ncbi.nlm.nih.gov/pubmed/?term=21532617
PTEN,EGR1,17516844,Mammary Gland,http://www.ncbi.nlm.nih.gov/pubmed/?term=17516844
PTEN,EGR1,20514024,Bone,http://www.ncbi.nlm.nih.gov/pubmed/?term=20514024
PTEN,EGR1,20959484,Lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=20959484
PTEN,EZH2,22956625,Leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=22956625
PTEN,HES1,18414037,Leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=18414037
PTEN,MTA1,22700976,Mammary Gland,http://www.ncbi.nlm.nih.gov/pubmed/?term=22700976
PTEN,MXD1,17998413,Fibroblasts,http://www.ncbi.nlm.nih.gov/pubmed/?term=17998413
PTEN,NFKB1,19940030,Pancreas,http://www.ncbi.nlm.nih.gov/pubmed/?term=19940030
PTEN,PPARG,11378386,Mammary Gland,http://www.ncbi.nlm.nih.gov/pubmed/?term=11378386
PTEN,PPARG,16425225,Mammary Gland,http://www.ncbi.nlm.nih.gov/pubmed/?term=16425225
PTEN,PPARG,16775433,Liver,http://www.ncbi.nlm.nih.gov/pubmed/?term=16775433
PTEN,PPARG,20198337,Uterus,http://www.ncbi.nlm.nih.gov/pubmed/?term=20198337
PTEN,RBPJ,17245125,Kidney,http://www.ncbi.nlm.nih.gov/pubmed/?term=17245125
PTEN,RELA,19940030,Pancreas,http://www.ncbi.nlm.nih.gov/pubmed/?term=19940030
PTEN,SALL4,19440552,Kidney,http://www.ncbi.nlm.nih.gov/pubmed/?term=19440552
PTEN,SP1,22030357,CNS,http://www.ncbi.nlm.nih.gov/pubmed/?term=22030357
PTEN,STAT3,22055460,"Kidney, CNS, Skin, Liver",http://www.ncbi.nlm.nih.gov/pubmed/?term=22055460
PTEN,TCF4,21132538,"Colon, Rectum",http://www.ncbi.nlm.nih.gov/pubmed/?term=21132538
PTEN,TFAP2A,18316341,Colon,http://www.ncbi.nlm.nih.gov/pubmed/?term=18316341
PTEN,TP53,11545734,"Kidney, CNS, Prostate, Mammary Gland",http://www.ncbi.nlm.nih.gov/pubmed/?term=11545734
PTEN,TP53,17344317,Lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=17344317
