,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CEBPB,SGPP2,liver,"CEBPB IP | FORSK - HepG2 cells, CEBPB ChIP-Seq - HepG2"
1,SPP,FORSK,SGPP2,liver,CEBPB IP | FORSK - HepG2 cells
2,SPP,SPI1,SGPP2,leukocytes,"SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - GM12878 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 1 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 5 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP"
3,SPP,MYC,SGPP2,mammarygland,"DHT | MYC ChIP-Seq, MYC IP - MCF-10A cells, MYC IP | 4HT - MCF10A cells"
4,SPP,DHT,SGPP2,mammarygland,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq"
5,SPP,MAFK,SGPP2,stemcells,MAFK IP - H1 cells
6,SPP,JUND,SGPP2,liver,JUND IP - HepG2 cells
7,SPP,TCF3,SGPP2,leukocytes,TCF3 IP - GM12878 cells
8,SPP,STAT3,SGPP2,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP - MCF10A cells, Rep 2, STAT3 IP | 4HT - MCF10 cells, 12 h"
9,SPP,4HT,SGPP2,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, MYC IP | 4HT - MCF10A cells, STAT3 IP | 4HT - MCF10 cells, 12 h"
10,SPP,SRF,SGPP2,leukocytes,SRF IP - SK-N-SH cells
11,SPP,NANOG,SGPP2,stemcells,"NANOG IP - Rep 2 , NANOG IP - Rep 4 , NANOG IP - Rep 3 , NANOG IP - Rep 8 , NANOG IP - H1 cells"
12,SPP,FOXA1,SGPP2,prostate,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - LNCaP-abl"
13,SPP,CREB1,SGPP2,prostate,CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1
14,SPP,RELA,SGPP2,leukocytes,"RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM18526 cells, RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM15510 cells, RELA IP - IVD Th1 cells, PIA, RELA IP | TNF - GM12892 cells"
15,SPP,TNF,SGPP2,leukocytes,"RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM18526 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12892 cells"
16,SPP,SP1,SGPP2,leukocytes,SP1 IP - GM12878 cells
17,SPP,CTCF,SGPP2,kidney,"CTCF IP - HEK293 cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 "
18,SPP,FOS,SGPP2,mammarygland,"FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP - MCF10A cells"
19,SPP,FOXM1,SGPP2,leukocytes,FOXM1 IP - GM12878 cells
20,SPP,CEBPB,SGPP2,stemcells,"CEBPB IP - H1 cells, CEBPB IP, CEBPB IP, CEBPB IP"
21,SPP,YY1,SGPP2,leukocytes,"YY1 IP - GM12878 cells, YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12891 cells"
22,SPP,FOSL1,SGPP2,colon,FOSL1 IP - HCT116 cells
23,SPP,CEBPB,SGPP2,colon,"CEBPB IP, CEBPB IP | 125DVD3, CEBPB IP - HCT116 cells"
24,SPP,RELA,SGPP2,adiposetissue,"RELA IP, RELA IP"
25,SPP,KLF5,SGPP2,pancreas,"KLF5 IP, ELF3 IP | KLF5 KO, FOXA1 IP | KLF5 KO"
26,SPP,HNF1B,SGPP2,pancreas,HNF1B IP
27,SPP,MAFK,SGPP2,liver,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2"
28,SPP,SP1,SGPP2,colon,SP1 IP - HCT116 cells
29,SPP,EBF1,SGPP2,leukocytes,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells"
30,SPP,ZNF143,SGPP2,leukocytes,ZNF143 IP - GM12878 cells
31,SPP,IRF1,SGPP2,colon,IRF1 IP 
32,SPP,ZNF384,SGPP2,leukocytes,ZNF384 IP - GM12878 cells
33,SPP,GABPA,SGPP2,prostate,"GABPA IP - Rep 1, GABPA IP | R1881"
34,SPP,ZNF263,SGPP2,kidney,ZNF263 IP - HEK293 cells
35,SPP,FOXA2,SGPP2,stemcells,FOXA2 IP - ES D2
36,SPP,PAX5,SGPP2,leukocytes,"PAX5 IP - GM12891 cells, PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12892 cells"
37,SPP,CREB1,SGPP2,leukocytes,CREB1 IP - GM12878 cells
38,SPP,ATF2,SGPP2,stemcells,ATF2 IP - H1 cells
39,SPP,BATF,SGPP2,leukocytes,BATF IP - GM12878 cells
40,SPP,POU2F2,SGPP2,leukocytes,POU2F2 IP - GM12878 cells
41,SPP,CEBPB,SGPP2,leukocytes,"CEBPB IP | oxLDL  - Rep 208, CEBPB IP - Rep 201, CEBPB IP, CEBPB IP| oxLDL  - Rep 207, CEBPB IP - Rep 204, CEBPB IP - Rep 203, CEBPB IP, CEBPB IP | oxLDL  - Rep 206, CEBPB IP - Rep 202"
42,SPP,TCF12,SGPP2,uterus,TCF12 IP - ECC1 cells
43,SPP,MXI1,SGPP2,leukocytes,MXI1 IP - GM12878 cells
44,SPP,OTX2,SGPP2,stemcells,"OTX2 IP - Rep 8 , OTX2 IP - Rep 2 , OTX2 IP - Rep 10 "
45,SPP,STAT1,SGPP2,leukocytes,"STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 5"
46,SPP,IFNG,SGPP2,leukocytes,"STAT1 IP - Rep 4, STAT1 IP - Rep 3, IRF1 IP - Rep 1, STAT1 IP - Rep 1, IRF1 IP - Rep 2, STAT1 IP - Rep 5"
47,SPP,EGR1,SGPP2,uterus,EGR1 IP - ECC1 cells
48,SPP,BCL11A,SGPP2,leukocytes,BCL11A IP - GM12878 cells
49,SPP,ELF3,SGPP2,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO"
50,SPP,MXI1,SGPP2,stemcells,MXI1 IP - H1 cells
51,SPP,125DVD3,SGPP2,colon,CEBPB IP | 125DVD3
52,SPP,TBP,SGPP2,leukocytes,TBP IP - GM12878 cells
53,SPP,R1881,SGPP2,prostate,GABPA IP | R1881
54,SPP,SNAI2,SGPP2,stemcells,SNAI2 IP - Rep 1 
55,SPP,GABPA,SGPP2,leukocytes,GABPA IP - GM12878 cells
56,SPP,EGR1,SGPP2,stemcells,EGR1 IP - H1 cells
57,SPP,ZBTB7A,SGPP2,uterus,ZBTB7A IP - ECC1 cells
58,SPP,STAT5A,SGPP2,leukocytes,STAT5A IP - GM12878 cells
59,SPP,TEAD4,SGPP2,stemcells,TEAD4 IP - H1 cells
60,SPP,NFYB,SGPP2,leukocytes,NFYB IP - GM12878 cells
61,SPP,SIX2,SGPP2,kidney,"SIX2 IP - 17 weeks, Rep 1, SIX2 IP - 17 weeks, Rep 2"
62,SPP,RELA,SGPP2,lung,"RELA IP | TNF, RELA IP | DEX + TNF - Rep 2, RELA IP | DEX + TNF - Rep 1"
63,SPP,TNF,SGPP2,lung,RELA IP | TNF
64,SPP,YY1,SGPP2,stemcells,YY1 IP - H1 cells
65,SPP,IKZF1,SGPP2,leukocytes,IKZF1 IP - GM12878 cells
66,SPP,CEBPB,SGPP2,uterus,CEBPB IP - ECC1 cells
67,SPP,FOSL1,SGPP2,stemcells,FOSL1 IP - H1 cells
68,SPP,IRF1,SGPP2,leukocytes,"IRF1 IP - Rep 1, IRF1 IP - Rep 2"
69,SPP,MAFF,SGPP2,liver,MAFF IP - HepG2 cells
70,SPP,FOXA1,SGPP2,pancreas,"FOXA1 IP | KLF5 KO, FOXA1 IP, FOXA1 IP"
71,SPP,JUND,SGPP2,vasculature,JUND IP
72,SPP,CEBPB,SGPP2,lung,"CEBPB ChIP-Seq - A549, CEBPB IP - A549 cells"
73,SPP,TCF12,SGPP2,stemcells,TCF12 IP - H1 cells
74,SPP,MTA3,SGPP2,leukocytes,MTA3 IP - GM12878 cells
75,SPP,CTCF,SGPP2,leukocytes,"CTCF IP, CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF ChIP-Seq - GM12878, CTCF IP - GM12891 cells, Rep 2 "
76,SPP,USF1,SGPP2,stemcells,USF1 IP - H1 cells
77,SPP,JUND,SGPP2,stemcells,JUND IP - H1 cells
78,SPP,DEX; TNF,SGPP2,lung,"RELA IP | DEX + TNF - Rep 2, RELA IP | DEX + TNF - Rep 1"
79,SPP,IRF4,SGPP2,leukocytes,"IRF4 IP - GM12878 cells, IRF4 IP"
80,SPP,MEF2A,SGPP2,leukocytes,MEF2A IP - GM12878 cells
81,SPP,TCF12,SGPP2,leukocytes,TCF12 IP - GM12878 cells
82,SPP,STAT3,SGPP2,leukocytes,STAT3 IP - SU-DHL-2
83,SPP,MAX,SGPP2,colon,MAX IP - HCT116 cells
84,SPP,MAX,SGPP2,uterus,MAX IP - ECC1 cells
85,SPP,ZFP42,SGPP2,stemcells,ZFP42 IP - Rep 3 
86,SPP,BACH1,SGPP2,stemcells,BACH1 IP - H1 cells
87,SPP,EGR1,SGPP2,colon,EGR1 IP - HCT116 cells
88,SPP,GATA2,SGPP2,cns,GATA2 ChIP-Seq SH-SY5Y
89,SPP,MAX,SGPP2,leukocytes,MAX IP - GM12878 cells
90,SPP,ELF1,SGPP2,leukocytes,ELF1 IP - SK-N-SH cells
91,SPP,MAZ,SGPP2,leukocytes,MAZ IP - GM12878 cells
92,SPP,IRF1,SGPP2,pancreas,IRF1 IP
93,SPP,ZNF143,SGPP2,stemcells,ZNF143 IP - H1 cells
94,SPP,MAX,SGPP2,liver,MAX IP - MCF7 cells
95,SPP,E2F6,SGPP2,stemcells,E2F6 IP - H1 cells
96,SPP,RUNX1,SGPP2,hspcs,RUNX1
97,SPP,FOXA1,SGPP2,mammarygland,DHT | FOXA1 ChIP-Seq
98,SPP,SP1,SGPP2,stemcells,SP1 IP - H1 cells
99,SPP,TEAD4,SGPP2,uterus,TEAD4 IP - ECC1 cells
100,SPP,GATA2,SGPP2,hspcs,GATA2 IP
101,SPP,BHLHE40,SGPP2,leukocytes,BHLHE40 IP - GM12878 cells
102,SPP,ATF2,SGPP2,leukocytes,ATF2 IP - GM12878 cells
103,SPP,MAFK,SGPP2,lung,MAFK IP - IMR cells
104,SPP,CEBPB,SGPP2,mammarygland,CEBPB IP - MCF7 cells
105,SPP,MAX,SGPP2,stemcells,MAX IP - H1 cells
106,SPP,NFATC1,SGPP2,leukocytes,NFATC1 IP - GM12878 cells
107,SPP,FLI1,SGPP2,hspcs,FLI1 IP
108,SPP,USF1,SGPP2,uterus,USF1 IP - ECC1 cells
109,SPP,SOX2,SGPP2,stemcells,SOX2 IP
110,SPP,ZEB1,SGPP2,leukocytes,ZEB1 IP - GM12878 cells
