,Database,TF,TargetGene,Tissue,Experiment
0,SPP,SPI1,GK,leukocytes,"SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - GM12891 cells, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 3 , SPI1 IP, SPI1 IP - U-937 cells, Rep 6 , SPI1 IP - K562 cells, SPI1 IP - HL cells, SPI1 IP"
1,SPP,CEBPA,GK,leukocytes,"CEBPA IP - U-937 cells, Rep 2 , CEBPA IP - U-937 cells, Rep 1 "
2,SPP,RBPJ,GK,leukocytes,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
3,SPP,COMPE,GK,leukocytes,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
4,SPP,PBX3,GK,cns,PBX3 IP - SK-N-SH cells
5,SPP,REST,GK,leukocytes,"REST IP - K562 cells, REST IP - HL60 cells"
6,SPP,MYC,GK,leukocytes,"MYC IP - NB4 cells, MYC IP | IFNG - K562 cells, 30 min, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 6 h"
7,SPP,HEY1,GK,liver,HEY1 IP - HepG2 cells
8,SPP,CEBPB,GK,leukocytes,"CEBPB ChIP-Seq - K562, CEBPB IP - K562 cells, CEBPB IP, CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP, CEBPB IP"
9,SPP,GABPA,GK,leukocytes,"GABPA IP - Jurkat, Rep 2"
10,SPP,FOXA1,GK,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
11,SPP,USF1,GK,stemcells,USF1 IP - H1 cells
12,SPP,CREB1,GK,liver,"CREB1 IP, CREB1 IP, CREB1 IP, CREB1 IP - HepG2 cells"
13,SPP,MAX,GK,leukocytes,"MAX IP - K562 cells, Rep 1, MAX IP - GM12878 cells, MAX IP - NB4 cells, MAX IP - K562 cells, MAX IP - K562 cells, Rep 2"
14,SPP,MAX,GK,liver,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
15,SPP,CREB1,GK,leukocytes,"CREB1 IP - K562 cells, CREB1 IP - GM12878 cells"
16,SPP,NFKB1,GK,leukocytes,"NFKB1 IP - Rep 2, NFKB1 IP - Rep 1"
17,SPP,MXI1,GK,uterus,MXI1 IP - HeLa cells
18,SPP,YY1,GK,leukocytes,"YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12891 cells, YY1 IP - GM12892 cells, Rep 1, YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells"
19,SPP,GTF2B,GK,uterus,GTF2B IP - Rep 2
20,SPP,TCF7L2,GK,uterus,TCF7L2 IP - HeLa cells
21,SPP,E2F1,GK,prostate,"BICALU | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4"
22,SPP,BICALU,GK,prostate,"BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
23,SPP,RELA,GK,leukocytes,"RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19099 cells"
24,SPP,TNF,GK,leukocytes,"RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM15510 cells"
25,SPP,CEBPB,GK,colon,"CEBPB IP | 125DVD3, CEBPB IP - HCT116 cells, CEBPB IP"
