,Database,TF,TargetGene,Tissue,Experiment
0,SPP,MAFK,GPAM,lung,MAFK IP - IMR cells
1,SPP,TCF7L2,GPAM,mammarygland,"TCF7L2 ChIP-Seq, DHT | TCF7L2 ChIP-Seq"
2,SPP,MYB,GPAM,leukocytes,"MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 3, MYB IP - MOLT3"
3,SPP,USF1,GPAM,uterus,USF1 IP - ECC1 cells
4,SPP,STAT1,GPAM,leukocytes,"STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2, STAT1 IP - Rep 6, STAT1 IP - Rep 5"
5,SPP,IFNG,GPAM,leukocytes,"STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2, STAT1 IP - Rep 6, MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 5"
6,SPP,FOXA2,GPAM,stemcells,"FOXA2 IP - ES D7, FOXA2 IP - ES D5, FOXA2 IP - Rep 1 , FOXA2 IP - ES D2, FOXA2 IP - Rep 5 , FOXA2 IP - ES D10"
7,SPP,ZNF263,GPAM,kidney,ZNF263 IP - HEK293 cells
8,SPP,ETS1,GPAM,lung,ETS1 IP - A549 cells
9,SPP,GABPA,GPAM,uterus,GABPA IP - HeLa cells
10,SPP,RELA,GPAM,leukocytes,"RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM18951 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP - IVD Th1 cells, PIA, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12891 cells"
11,SPP,FOXA1,GPAM,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2"
12,SPP,DEX,GPAM,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2"
13,SPP,MYC,GPAM,leukocytes,"MYC IP | IFNA1 - K562 cells, 30 min, MYC IP - K562 cells, Rep 1, MYC IP - NB4 cells, MYC IP | IFNA1 - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, MYC IP - K562 cells, Rep 2"
14,SPP,IFNA1,GPAM,leukocytes,"MYC IP | IFNA1 - K562 cells, 30 min, IRF1 IP | IFNA1-13 - K562 cells, 6 h, MYC IP | IFNA1 - K562 cells, 6 h, JUN IP | IFNA1-13 - 30 min "
15,SPP,CREB1,GPAM,prostate,"CREB1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1"
16,SPP,ZKSCAN1,GPAM,uterus,ZKSCAN1 IP - HeLa cells
17,SPP,FOXA1,GPAM,liver,"FOXA1 IP - HepG2 cells, Rep 2, FOXA1 IP - HepG2 cells, Rep 1"
18,SPP,CEBPB,GPAM,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP - H1 cells, CEBPB IP, CEBPB IP, CEBPB IP"
19,SPP,CEBPB,GPAM,bone,"CEBPB IP, CEBPB IP"
20,SPP,FOS,GPAM,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h"
21,SPP,E2F1,GPAM,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP"
22,SPP,BHLHE40,GPAM,leukocytes,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells"
23,SPP,USF1,GPAM,colon,USF1 IP - HCT116 cells
24,SPP,ZNF143,GPAM,leukocytes,"ZNF143 IP - GM12878 cells, ZNF143 IP - K562 cells"
25,SPP,JUN,GPAM,leukocytes,"JUN IP - K562 cells, Rep 1, JUN IP - K562 cells, Rep 2, JUN IP | IFNA1-13 - 30 min "
26,SPP,TP53,GPAM,mammarygland,"TP53 IP | NUTL3 - MCF-7, TP53 IP"
27,SPP,E2F1,GPAM,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2"
28,SPP,HES6,GPAM,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 3"
29,SPP,NFYB,GPAM,leukocytes,NFYB IP - GM12878 cells
30,SPP,ATF3,GPAM,colon,"ATF3 IP, ATF3 IP - HCT116 cells, ATF3 IP | CAMPTO, ATF3 IP | ATF3 KO"
31,SPP,BICALU,GPAM,prostate,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3"
32,SPP,GATA2,GPAM,cns,GATA2 ChIP-Seq SH-SY5Y
33,SPP,MEF2B,GPAM,kidney,"MEF2B IP | MEF2B OE - Rep 2, MEF2B IP | MEF2B D83V OE - Rep 1"
34,SPP,CEBPB,GPAM,uterus,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells"
35,SPP,ETS1,GPAM,leukocytes,"ETS1 IP - K562 cells, ETS1 IP - GM12878 cells, ETS1 IP"
36,SPP,JUN,GPAM,colon,JUN IP 
37,SPP,MAZ,GPAM,uterus,MAZ IP - HeLa cells
38,SPP,TNF,GPAM,leukocytes,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12891 cells"
