TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
CLOCK,"DGAT2,DGAT1,LPIN1",20551151,https://pubmed.ncbi.nlm.nih.gov/20551151/,"DGAT2,DGAT1,LPIN1",Colon,https://aacrjournals.org/mcr/article/8/7/952/90638/Mutations-in-the-Circadian-Gene-CLOCK-in
FOXA2,"AGPAT5,DGAT2,MOGAT1,AGPAT3,AGPAT4,AGPS,LPIN1,LPIN2",19822575,https://pubmed.ncbi.nlm.nih.gov/19822575/,"AGPAT5,DGAT2,MOGAT1,AGPAT3,AGPAT4,AGPS,LPIN1,LPIN2",Liver,https://academic.oup.com/nar/article/37/22/7498/2410146#supplementary-data
NR3C1,"AGPAT5,DGAT2,AGPAT3,GPAM",21868756,https://pubmed.ncbi.nlm.nih.gov/21868756/,not found,,https://aacrjournals.org/cancerres/article/71/20/6360/568755/Activation-of-the-Glucocorticoid-Receptor-Is
HNF4A,"DGAT2,DGAT1,MOGAT2,MOGAT1,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPS,GPD1,LPIN1,LPIN2",19822575,https://pubmed.ncbi.nlm.nih.gov/19822575/,"DGAT2,DGAT1,MOGAT2,MOGAT1,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPS,GPD1,LPIN1,LPIN2",Liver,https://academic.oup.com/nar/article/37/22/7498/2410146#supplementary-data
GATA1,"AGPAT5,MOGAT1,AGPAT3,AGMO,LPIN1,LPIN2",21571218,https://pubmed.ncbi.nlm.nih.gov/21571218/,"AGPAT5,MOGAT1,AGPAT3,AGMO,LPIN1,LPIN2",Skin,https://www.sciencedirect.com/science/article/pii/S1534580711001596?via%3Dihub
SPI1,"DGAT2,AGPAT1,AGPAT4,LPIN1",23127762,https://pubmed.ncbi.nlm.nih.gov/23127762/,"DGAT2,AGPAT1,AGPAT4,LPIN1",Blood,https://www.sciencedirect.com/science/article/pii/S0301472X12005310?via%3Dihub
GATA2,"DGAT1,AGPAT3,AGPAT4,GNPAT,LPIN1",19941826,https://pubmed.ncbi.nlm.nih.gov/19941826/,"DGAT1,AGPAT3,AGPAT4,GNPAT,LPIN1",Erythroid lineage,https://www.cell.com/molecular-cell/fulltext/S1097-2765(09)00814-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276509008144%3Fshowall%3Dtrue
SMAD4,"AGPAT1,AGPS",19686287,https://pubmed.ncbi.nlm.nih.gov/19686287/,"AGPAT1,AGPS",Skin,https://onlinelibrary.wiley.com/doi/10.1111/j.1349-7006.2009.01299.x
STAT6,"LPIN1,LPIN2",20620947,https://pubmed.ncbi.nlm.nih.gov/20620947/,"LPIN1,LPIN2",Leukocytes,https://www.sciencedirect.com/science/article/pii/S1074761310002141?via%3Dihub
AR,"AGPAT3,GPAM,LPIN1,LPIN2",25329375,https://pubmed.ncbi.nlm.nih.gov/25329375/,not found,,https://academic.oup.com/mend/article/28/12/2012/2623249?login=true
