TF,TargetGene,Effect,PMID,DATABASEA,Tissue
AR,AKR1C3,Repression,22971343,UNIPROT,prostate
CREBBP,ALOX15,Activation,12517954,UNIPROT,lung
EP300,ALOX15,Activation,12517954,UNIPROT,lung
SP1,ALOX5,Activation,19781662,UNIPROT,"leukocytes,hspcs,blood"
MECP2,ALOX5,Repression,19781662,UNIPROT,leukocytes
MBD2,ALOX5,Repression,19781662,UNIPROT,leukocytes
MBD1,ALOX5,Repression,19781662,UNIPROT,leukocytes
ARNT,CYP1A1,Activation,17012224,UNIPROT,lung
AHR,CYP1A1,Activation,17012224,UNIPROT,lung
AHR,CYP1A1,Activation,9865727,UNIPROT,liver
ARNT,CYP1A1,Activation,22387692,UNIPROT,liver
AHR,CYP1B1,Activation,16115918,UNIPROT,prostate
ARNT,CYP1B1,Activation,16115918,UNIPROT,prostate
SP1,CYP1B1,Activation,12801909,UNIPROT,"skin,ovary,mammarygland,colon,liver"
HDAC2,HPGD,Repression,19010907,UNIPROT,"rectum,colon"
SNAI1,HPGD,Repression,19010907,UNIPROT,"rectum,colon"
TFAP2B,PTGDS,Activation,15743775,UNIPROT,cns
HES1,PTGDS,Repression,15743775,UNIPROT,cns
EGR1,PTGES,Activation,21983014,UNIPROT,"skin,mammarygland,colon,leukocytes,uterus"
ETS1,TBXAS1,Activation,14586398,UNIPROT,cns
TP53,TBXAS1,Repression,14586398,UNIPROT,cns
PPARA,CPT1A,Activation,17150915,UNIPROT,"kidney,heart,liver"
PPARG,CPT1B,Activation,15356291,UNIPROT,"kidney,skeletalmuscle"
MEF2C,CPT1B,Activation,15356291,UNIPROT,"kidney,skeletalmuscle"
RXRA,CPT1B,Activation,15356291,UNIPROT,"kidney,skeletalmuscle"
PPARD,SLC25A20,Activation,19577614,UNIPROT,liver
PPARA,SLC25A20,Activation,19577614,UNIPROT,liver
HNF1A,AKR1C4,Activation,2044952,UNIPROT,"lung,liver,kidney"
HNF4A,AKR1C4,Activation,2044952,UNIPROT,"lung,liver,kidney"
